dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
ani1ccx,055:0,spice,55,flash_baseline,0,13.62482807599008,baseline,3,10,cuda
ani1ccx,055:0,spice,55,flash_baseline,1,13.349165907129645,baseline,3,10,cuda
ani1ccx,055:0,spice,55,flash_baseline,2,13.3614931255579,baseline,3,10,cuda
ani1ccx,055:0,spice,55,flash_baseline,3,13.506595976650715,baseline,3,10,cuda
ani1ccx,055:0,spice,55,flash_baseline,4,13.309638947248459,baseline,3,10,cuda
ani1ccx,055:0,spice,55,flash_baseline,5,13.315207092091441,baseline,3,10,cuda
ani1ccx,055:0,spice,55,flash_baseline,6,13.292037881910801,baseline,3,10,cuda
ani1ccx,055:0,spice,55,flash_baseline,7,13.324547093361616,baseline,3,10,cuda
ani1ccx,055:0,spice,55,flash_baseline,8,13.321327976882458,baseline,3,10,cuda
ani1ccx,055:0,spice,55,flash_baseline,9,13.254587072879076,baseline,3,10,cuda
ani1ccx,055:0,spice,55,flash_pair_auto,0,16.729206079617143,geometry_only,3,10,cuda
ani1ccx,055:0,spice,55,flash_pair_auto,1,24.8857990372926,geometry_only,3,10,cuda
ani1ccx,055:0,spice,55,flash_pair_auto,2,28.127321042120457,geometry_only,3,10,cuda
ani1ccx,055:0,spice,55,flash_pair_auto,3,27.34322682954371,geometry_only,3,10,cuda
ani1ccx,055:0,spice,55,flash_pair_auto,4,27.407491113990545,geometry_only,3,10,cuda
ani1ccx,055:0,spice,55,flash_pair_auto,5,27.2906799800694,geometry_only,3,10,cuda
ani1ccx,055:0,spice,55,flash_pair_auto,6,27.68710907548666,geometry_only,3,10,cuda
ani1ccx,055:0,spice,55,flash_pair_auto,7,27.829036815091968,geometry_only,3,10,cuda
ani1ccx,055:0,spice,55,flash_pair_auto,8,27.927468065172434,geometry_only,3,10,cuda
ani1ccx,055:0,spice,55,flash_pair_auto,9,27.96163293533027,geometry_only,3,10,cuda
