dataset,sample_id,modal,natoms,case,stage,mean_ms,std_ms,share_mean
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,spherical_harmonics_ms,0.288032041862607,0.0054353084514995025,0.001848981118495221
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,radial_basis_ms,0.04091816954314709,0.0017905452202852093,0.0002626684253578773
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,cutoff_ms,0.08276761509478092,0.0018821522517093253,0.0005313150458660739
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,conv_weight_nn_ms,0.4976807627826929,0.003831274954606561,0.0031947915498319462
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,pair_expand_ms,0.0,0.0,0.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,pair_indexing_ms,0.0,0.0,0.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,conv_message_tp_ms,62.058664206415415,0.11485962042722021,0.3983768528483074
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,conv_aggregation_ms,0.5786910653114319,0.002319902672794094,0.003714825775227859
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,top_force_output_ms,27.11329385638237,0.04391732785299651,0.17404997053965518
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,other_ms,63.588665798306465,0.11731751147930801,0.40819848254054697
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,model_total_ms,155.77879026532173,0.16822616354587222,1.0
ani1x,ani1x-release_416625,spice,63,e3nn_pair_full,spherical_harmonics_ms,0.2941712271422148,0.004083477698775541,0.002522133989177492
ani1x,ani1x-release_416625,spice,63,e3nn_pair_full,radial_basis_ms,0.03991164267063141,0.0008768472198039084,0.0003421901982780991
ani1x,ani1x-release_416625,spice,63,e3nn_pair_full,cutoff_ms,0.08371761068701744,0.0007150243941675386,0.0007177691491370029
ani1x,ani1x-release_416625,spice,63,e3nn_pair_full,conv_weight_nn_ms,0.4832537844777107,0.0051622704625335835,0.004143269914839953
ani1x,ani1x-release_416625,spice,63,e3nn_pair_full,pair_expand_ms,0.07681683637201786,0.0010252830188124096,0.0006586040240478341
ani1x,ani1x-release_416625,spice,63,e3nn_pair_full,pair_indexing_ms,0.2957797609269619,0.0019524173164203586,0.00253592506511195
ani1x,ani1x-release_416625,spice,63,e3nn_pair_full,conv_message_tp_ms,8.33713561296463,0.02271310630264771,0.07148004686289287
ani1x,ani1x-release_416625,spice,63,e3nn_pair_full,conv_aggregation_ms,0.6530861370265484,0.005938908171225812,0.00559936048150275
ani1x,ani1x-release_416625,spice,63,e3nn_pair_full,top_force_output_ms,39.945552591234446,0.14311209043011355,0.3424809315498541
ani1x,ani1x-release_416625,spice,63,e3nn_pair_full,other_ms,10.874703014269471,0.020041030706439724,0.09323637243842467
ani1x,ani1x-release_416625,spice,63,e3nn_pair_full,model_total_ms,116.63584425114095,0.30648541271840335,1.0
