dataset,sample_id,modal,natoms,case,n_repeat,repeat_idx,stage,time_ms,calls,load
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,0,0_convolution.aggregation_ms,0.05607306957244873,1.0,2008.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,0,0_convolution.denominator_ms,0.010662013664841652,1.0,0.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,0,0_convolution.edge_src_gather_ms,0.01884903758764267,1.0,2008.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,0,0_convolution.message_tp_ms,2.675615018233657,1.0,2008.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,0,0_convolution.total_ms,2.915244083851576,1.0,0.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,0,0_convolution.weight_nn_ms,0.09513297118246555,1.0,2008.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,0,1_convolution.aggregation_ms,0.09301700629293919,1.0,2008.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,0,1_convolution.denominator_ms,0.011290190741419792,1.0,0.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,0,1_convolution.edge_src_gather_ms,0.02038991078734398,1.0,2008.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,0,1_convolution.message_tp_ms,12.121882056817412,1.0,2008.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,0,1_convolution.total_ms,12.398496037349105,1.0,0.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,0,1_convolution.weight_nn_ms,0.09551597759127617,1.0,2008.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,0,2_convolution.aggregation_ms,0.18000486306846142,1.0,2008.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,0,2_convolution.denominator_ms,0.01209694892168045,1.0,0.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,0,2_convolution.edge_src_gather_ms,0.02608797512948513,1.0,2008.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,0,2_convolution.message_tp_ms,21.5388429351151,1.0,2008.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,0,2_convolution.total_ms,21.920568076893687,1.0,0.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,0,2_convolution.weight_nn_ms,0.1062548253685236,1.0,2008.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,0,3_convolution.aggregation_ms,0.20290492102503777,1.0,2008.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,0,3_convolution.denominator_ms,0.012960052117705345,1.0,0.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,0,3_convolution.edge_src_gather_ms,0.02736411988735199,1.0,2008.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,0,3_convolution.message_tp_ms,22.726285038515925,1.0,2008.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,0,3_convolution.total_ms,23.13666488043964,1.0,0.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,0,3_convolution.weight_nn_ms,0.11088186874985695,1.0,2008.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,0,4_convolution.aggregation_ms,0.045972177758812904,1.0,2008.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,0,4_convolution.denominator_ms,0.010286923497915268,1.0,0.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,0,4_convolution.edge_src_gather_ms,0.018192222341895103,1.0,2008.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,0,4_convolution.message_tp_ms,3.0282509978860617,1.0,2008.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,0,4_convolution.total_ms,3.2474370673298836,1.0,0.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,0,4_convolution.weight_nn_ms,0.08878298103809357,1.0,2008.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,0,edge_embedding.cutoff_ms,0.08167396299540997,1.0,2008.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,0,edge_embedding.edge_length_norm_ms,0.02245185896754265,1.0,2008.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,0,edge_embedding.radial_basis_ms,0.03992300480604172,1.0,2008.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,0,edge_embedding.radial_combine_ms,0.009272946044802666,1.0,16064.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,0,edge_embedding.spherical_harmonics_ms,0.29181106947362423,1.0,2008.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,0,model_total_ms,155.95709811896086,1.0,0.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,0,top_force_output_ms,27.17675711028278,1.0,0.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,0,top_input_embedding_ms,0.9678618516772985,3.0,0.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,0,top_interaction_other_ms,60.42628898285329,25.0,0.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,0,top_readout_ms,2.767633879557252,4.0,0.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,1,0_convolution.aggregation_ms,0.05640811286866665,1.0,2008.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,1,0_convolution.denominator_ms,0.010652933269739151,1.0,0.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,1,0_convolution.edge_src_gather_ms,0.014686957001686096,1.0,2008.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,1,0_convolution.message_tp_ms,2.654250944033265,1.0,2008.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,1,0_convolution.total_ms,2.8963261283934116,1.0,0.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,1,0_convolution.weight_nn_ms,0.10205991566181183,1.0,2008.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,1,1_convolution.aggregation_ms,0.09398208931088448,1.0,2008.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,1,1_convolution.denominator_ms,0.011216849088668823,1.0,0.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,1,1_convolution.edge_src_gather_ms,0.020110048353672028,1.0,2008.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,1,1_convolution.message_tp_ms,12.241822900250554,1.0,2008.0
