dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
ani1x,ani1x-release_416625,spice,63,flash_baseline,0,13.774577993899584,baseline,3,10,cuda
ani1x,ani1x-release_416625,spice,63,flash_baseline,1,13.456647982820868,baseline,3,10,cuda
ani1x,ani1x-release_416625,spice,63,flash_baseline,2,13.460692018270493,baseline,3,10,cuda
ani1x,ani1x-release_416625,spice,63,flash_baseline,3,13.449908932670951,baseline,3,10,cuda
ani1x,ani1x-release_416625,spice,63,flash_baseline,4,13.497449923306704,baseline,3,10,cuda
ani1x,ani1x-release_416625,spice,63,flash_baseline,5,13.432833831757307,baseline,3,10,cuda
ani1x,ani1x-release_416625,spice,63,flash_baseline,6,13.414567103609443,baseline,3,10,cuda
ani1x,ani1x-release_416625,spice,63,flash_baseline,7,13.446002965793014,baseline,3,10,cuda
ani1x,ani1x-release_416625,spice,63,flash_baseline,8,13.7048598844558,baseline,3,10,cuda
ani1x,ani1x-release_416625,spice,63,flash_baseline,9,13.504468137398362,baseline,3,10,cuda
ani1x,ani1x-release_416625,spice,63,flash_pair_auto,0,15.704205958172679,geometry_only,3,10,cuda
ani1x,ani1x-release_416625,spice,63,flash_pair_auto,1,15.94420988112688,geometry_only,3,10,cuda
ani1x,ani1x-release_416625,spice,63,flash_pair_auto,2,15.871722949668765,geometry_only,3,10,cuda
ani1x,ani1x-release_416625,spice,63,flash_pair_auto,3,16.50948403403163,geometry_only,3,10,cuda
ani1x,ani1x-release_416625,spice,63,flash_pair_auto,4,15.623116865754128,geometry_only,3,10,cuda
ani1x,ani1x-release_416625,spice,63,flash_pair_auto,5,16.186028020456433,geometry_only,3,10,cuda
ani1x,ani1x-release_416625,spice,63,flash_pair_auto,6,15.864968067035079,geometry_only,3,10,cuda
ani1x,ani1x-release_416625,spice,63,flash_pair_auto,7,15.939147910103202,geometry_only,3,10,cuda
ani1x,ani1x-release_416625,spice,63,flash_pair_auto,8,16.12237887457013,geometry_only,3,10,cuda
ani1x,ani1x-release_416625,spice,63,flash_pair_auto,9,16.004712088033557,geometry_only,3,10,cuda
