dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_baseline,0,14.065315015614033,baseline,3,10,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_baseline,1,13.77972587943077,baseline,3,10,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_baseline,2,13.658995972946286,baseline,3,10,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_baseline,3,13.699406059458852,baseline,3,10,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_baseline,4,13.715662062168121,baseline,3,10,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_baseline,5,13.693775981664658,baseline,3,10,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_baseline,6,13.73909693211317,baseline,3,10,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_baseline,7,13.66327004507184,baseline,3,10,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_baseline,8,13.744154013693333,baseline,3,10,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_baseline,9,13.70315789245069,baseline,3,10,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_pair_auto,0,18.16571201197803,geometry_only,3,10,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_pair_auto,1,16.502889106050134,geometry_only,3,10,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_pair_auto,2,16.630633966997266,geometry_only,3,10,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_pair_auto,3,15.809591859579086,geometry_only,3,10,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_pair_auto,4,16.355641884729266,geometry_only,3,10,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_pair_auto,5,15.656920848414302,geometry_only,3,10,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_pair_auto,6,15.91428997926414,geometry_only,3,10,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_pair_auto,7,19.1127210855484,geometry_only,3,10,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_pair_auto,8,19.99969407916069,geometry_only,3,10,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_pair_auto,9,19.547862000763416,geometry_only,3,10,cuda
