dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
md22_dha,md22_DHA_45597,spice,56,flash_baseline,0,13.719890033826232,baseline,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,flash_baseline,1,13.508260948583484,baseline,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,flash_baseline,2,13.524224981665611,baseline,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,flash_baseline,3,13.58842896297574,baseline,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,flash_baseline,4,13.454651925712824,baseline,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,flash_baseline,5,13.448924059048295,baseline,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,flash_baseline,6,13.562086038291454,baseline,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,flash_baseline,7,13.455558102577925,baseline,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,flash_baseline,8,13.439554953947663,baseline,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,flash_baseline,9,13.436019886285067,baseline,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,flash_pair_auto,0,15.938509022817016,geometry_only,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,flash_pair_auto,1,15.869866823777556,geometry_only,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,flash_pair_auto,2,15.803307993337512,geometry_only,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,flash_pair_auto,3,16.663669841364026,geometry_only,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,flash_pair_auto,4,15.563015127554536,geometry_only,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,flash_pair_auto,5,15.980313066393137,geometry_only,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,flash_pair_auto,6,15.89181600138545,geometry_only,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,flash_pair_auto,7,16.16504485718906,geometry_only,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,flash_pair_auto,8,15.856562182307243,geometry_only,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,flash_pair_auto,9,16.04683301411569,geometry_only,3,10,cuda
