dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,flash_baseline,0,28.7911060731858,baseline,3,10,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,flash_baseline,1,30.162525828927755,baseline,3,10,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,flash_baseline,2,28.42413797043264,baseline,3,10,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,flash_baseline,3,27.957716025412083,baseline,3,10,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,flash_baseline,4,27.838353998959064,baseline,3,10,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,flash_baseline,5,27.879567816853523,baseline,3,10,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,flash_baseline,6,27.857411187142134,baseline,3,10,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,flash_baseline,7,27.734420029446483,baseline,3,10,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,flash_baseline,8,27.920658001676202,baseline,3,10,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,flash_baseline,9,28.126067016273737,baseline,3,10,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,flash_pair_auto,0,32.92480297386646,geometry_only,3,10,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,flash_pair_auto,1,32.83369494602084,geometry_only,3,10,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,flash_pair_auto,2,32.34869590960443,geometry_only,3,10,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,flash_pair_auto,3,32.466711942106485,geometry_only,3,10,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,flash_pair_auto,4,32.1428959723562,geometry_only,3,10,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,flash_pair_auto,5,32.059116987511516,geometry_only,3,10,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,flash_pair_auto,6,32.20877889543772,geometry_only,3,10,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,flash_pair_auto,7,32.26386592723429,geometry_only,3,10,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,flash_pair_auto,8,31.99057304300368,geometry_only,3,10,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,flash_pair_auto,9,32.214339124038815,geometry_only,3,10,cuda
