dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
md22_stachyose,md22_stachyose_10546,spice,87,flash_baseline,0,13.973266119137406,baseline,3,10,cuda
md22_stachyose,md22_stachyose_10546,spice,87,flash_baseline,1,13.646173989400268,baseline,3,10,cuda
md22_stachyose,md22_stachyose_10546,spice,87,flash_baseline,2,13.63194384612143,baseline,3,10,cuda
md22_stachyose,md22_stachyose_10546,spice,87,flash_baseline,3,13.650654116645455,baseline,3,10,cuda
md22_stachyose,md22_stachyose_10546,spice,87,flash_baseline,4,13.636020012199879,baseline,3,10,cuda
md22_stachyose,md22_stachyose_10546,spice,87,flash_baseline,5,13.613878982141614,baseline,3,10,cuda
md22_stachyose,md22_stachyose_10546,spice,87,flash_baseline,6,13.634807895869017,baseline,3,10,cuda
md22_stachyose,md22_stachyose_10546,spice,87,flash_baseline,7,13.669359963387251,baseline,3,10,cuda
md22_stachyose,md22_stachyose_10546,spice,87,flash_baseline,8,13.612675946205854,baseline,3,10,cuda
md22_stachyose,md22_stachyose_10546,spice,87,flash_baseline,9,13.648211024701595,baseline,3,10,cuda
md22_stachyose,md22_stachyose_10546,spice,87,flash_pair_auto,0,17.459794878959656,geometry_only,3,10,cuda
md22_stachyose,md22_stachyose_10546,spice,87,flash_pair_auto,1,19.87235201522708,geometry_only,3,10,cuda
md22_stachyose,md22_stachyose_10546,spice,87,flash_pair_auto,2,23.222333984449506,geometry_only,3,10,cuda
md22_stachyose,md22_stachyose_10546,spice,87,flash_pair_auto,3,20.77856892719865,geometry_only,3,10,cuda
md22_stachyose,md22_stachyose_10546,spice,87,flash_pair_auto,4,19.971112022176385,geometry_only,3,10,cuda
md22_stachyose,md22_stachyose_10546,spice,87,flash_pair_auto,5,17.628928879275918,geometry_only,3,10,cuda
md22_stachyose,md22_stachyose_10546,spice,87,flash_pair_auto,6,18.403329886496067,geometry_only,3,10,cuda
md22_stachyose,md22_stachyose_10546,spice,87,flash_pair_auto,7,23.271640995517373,geometry_only,3,10,cuda
md22_stachyose,md22_stachyose_10546,spice,87,flash_pair_auto,8,23.850516881793737,geometry_only,3,10,cuda
md22_stachyose,md22_stachyose_10546,spice,87,flash_pair_auto,9,20.85655787959695,geometry_only,3,10,cuda
