dataset,sample_id,modal,natoms,case,n_repeat,repeat_idx,stage,time_ms,calls,load
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,0,0_convolution.aggregation_ms,0.32671401277184486,1.0,27612.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,0,0_convolution.denominator_ms,0.012385891750454903,1.0,0.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,0,0_convolution.edge_src_gather_ms,0.03365194424986839,1.0,27612.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,0,0_convolution.message_tp_ms,3.5311048850417137,1.0,27612.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,0,0_convolution.total_ms,4.107824061065912,1.0,0.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,0,0_convolution.weight_nn_ms,0.1453461591154337,1.0,27612.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,0,1_convolution.aggregation_ms,1.0269670747220516,1.0,27612.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,0,1_convolution.denominator_ms,0.023851869627833366,1.0,0.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,0,1_convolution.edge_src_gather_ms,0.12405915185809135,1.0,27612.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,0,1_convolution.message_tp_ms,20.100849913433194,1.0,27612.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,0,1_convolution.total_ms,21.66237705387175,1.0,0.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,0,1_convolution.weight_nn_ms,0.32851402647793293,1.0,27612.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,0,2_convolution.aggregation_ms,1.7291719559580088,1.0,27612.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,0,2_convolution.denominator_ms,0.03538397140800953,1.0,0.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,0,2_convolution.edge_src_gather_ms,0.19728904590010643,1.0,27612.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,0,2_convolution.message_tp_ms,36.755340872332454,1.0,27612.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,0,2_convolution.total_ms,39.211203111335635,1.0,0.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,0,2_convolution.weight_nn_ms,0.4309930372983217,1.0,27612.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,0,3_convolution.aggregation_ms,1.9795498810708523,1.0,27612.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,0,3_convolution.denominator_ms,0.039695994928479195,1.0,0.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,0,3_convolution.edge_src_gather_ms,0.2193758264183998,1.0,27612.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,0,3_convolution.message_tp_ms,38.783981930464506,1.0,27612.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,0,3_convolution.total_ms,41.57319199293852,1.0,0.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,0,3_convolution.weight_nn_ms,0.49184286035597324,1.0,27612.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,0,4_convolution.aggregation_ms,0.06355810910463333,1.0,27612.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,0,4_convolution.denominator_ms,0.011049909517168999,1.0,0.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,0,4_convolution.edge_src_gather_ms,0.12274389155209064,1.0,27612.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,0,4_convolution.message_tp_ms,3.1242379918694496,1.0,27612.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,0,4_convolution.total_ms,3.49949998781085,1.0,0.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,0,4_convolution.weight_nn_ms,0.11881696991622448,1.0,27612.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,0,edge_embedding.cutoff_ms,0.0890109222382307,1.0,27612.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,0,edge_embedding.edge_length_norm_ms,0.026851193979382515,1.0,27612.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,0,edge_embedding.radial_basis_ms,0.04326412454247475,1.0,27612.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,0,edge_embedding.radial_combine_ms,0.010399846360087395,1.0,220896.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,0,edge_embedding.spherical_harmonics_ms,0.29980018734931946,1.0,27612.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,0,model_total_ms,542.5597031135112,1.0,0.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,0,top_force_output_ms,366.5362009778619,1.0,0.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,0,top_input_embedding_ms,0.9646129328757524,3.0,0.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,0,top_interaction_other_ms,61.186512000858784,25.0,0.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,0,top_readout_ms,2.768410835415125,4.0,0.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,1,0_convolution.aggregation_ms,0.3265689592808485,1.0,27612.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,1,0_convolution.denominator_ms,0.012707896530628204,1.0,0.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,1,0_convolution.edge_src_gather_ms,0.03512902185320854,1.0,27612.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,1,0_convolution.message_tp_ms,3.522466169670224,1.0,27612.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,1,0_convolution.total_ms,4.097989061847329,1.0,0.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,1,0_convolution.weight_nn_ms,0.14381110668182373,1.0,27612.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,1,1_convolution.aggregation_ms,1.0276329703629017,1.0,27612.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,1,1_convolution.denominator_ms,0.02374197356402874,1.0,0.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,1,1_convolution.edge_src_gather_ms,0.11809892021119595,1.0,27612.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,1,1_convolution.message_tp_ms,20.02003602683544,1.0,27612.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,1,1_convolution.total_ms,21.574341924861073,1.0,0.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,1,1_convolution.weight_nn_ms,0.3270858433097601,1.0,27612.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,1,2_convolution.aggregation_ms,1.7298709135502577,1.0,27612.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,1,2_convolution.denominator_ms,0.035918084904551506,1.0,0.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,1,2_convolution.edge_src_gather_ms,0.19862293265759945,1.0,27612.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,1,2_convolution.message_tp_ms,36.64211300201714,1.0,27612.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,1,2_convolution.total_ms,39.09618011675775,1.0,0.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,1,2_convolution.weight_nn_ms,0.4323259927332401,1.0,27612.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,1,3_convolution.aggregation_ms,1.981105888262391,1.0,27612.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,1,3_convolution.denominator_ms,0.03967108204960823,1.0,0.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,1,3_convolution.edge_src_gather_ms,0.2182568423449993,1.0,27612.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,1,3_convolution.message_tp_ms,38.73823187313974,1.0,27612.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,1,3_convolution.total_ms,41.52162279933691,1.0,0.0
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,1,3_convolution.weight_nn_ms,0.48763095401227474,1.0,27612.0
