dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
mptrj,mp-1204603,mpa,444,flash_baseline,0,33.81590801291168,baseline,3,10,cuda
mptrj,mp-1204603,mpa,444,flash_baseline,1,33.73135696165264,baseline,3,10,cuda
mptrj,mp-1204603,mpa,444,flash_baseline,2,32.79740898869932,baseline,3,10,cuda
mptrj,mp-1204603,mpa,444,flash_baseline,3,32.4397380463779,baseline,3,10,cuda
mptrj,mp-1204603,mpa,444,flash_baseline,4,32.78517187573016,baseline,3,10,cuda
mptrj,mp-1204603,mpa,444,flash_baseline,5,33.16406509838998,baseline,3,10,cuda
mptrj,mp-1204603,mpa,444,flash_baseline,6,32.64428302645683,baseline,3,10,cuda
mptrj,mp-1204603,mpa,444,flash_baseline,7,32.54476096481085,baseline,3,10,cuda
mptrj,mp-1204603,mpa,444,flash_baseline,8,32.53840398974717,baseline,3,10,cuda
mptrj,mp-1204603,mpa,444,flash_baseline,9,32.45063382200897,baseline,3,10,cuda
mptrj,mp-1204603,mpa,444,flash_pair_auto,0,39.12900993600488,geometry_only,3,10,cuda
mptrj,mp-1204603,mpa,444,flash_pair_auto,1,38.50377886556089,geometry_only,3,10,cuda
mptrj,mp-1204603,mpa,444,flash_pair_auto,2,38.494205102324486,geometry_only,3,10,cuda
mptrj,mp-1204603,mpa,444,flash_pair_auto,3,37.61657094582915,geometry_only,3,10,cuda
mptrj,mp-1204603,mpa,444,flash_pair_auto,4,37.71706693805754,geometry_only,3,10,cuda
mptrj,mp-1204603,mpa,444,flash_pair_auto,5,37.7473090775311,geometry_only,3,10,cuda
mptrj,mp-1204603,mpa,444,flash_pair_auto,6,37.83148084767163,geometry_only,3,10,cuda
mptrj,mp-1204603,mpa,444,flash_pair_auto,7,37.644275929778814,geometry_only,3,10,cuda
mptrj,mp-1204603,mpa,444,flash_pair_auto,8,37.85107401199639,geometry_only,3,10,cuda
mptrj,mp-1204603,mpa,444,flash_pair_auto,9,37.75456617586315,geometry_only,3,10,cuda
