dataset,sample_id,modal,natoms,case,stage,mean_ms,std_ms,share_mean
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,spherical_harmonics_ms,0.3134021535515785,0.015015384089438906,0.0011024776966263557
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,radial_basis_ms,0.043866829946637154,0.002317341580329592,0.0001543135587608823
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,cutoff_ms,0.08893604390323162,0.004893659502919864,0.0003128568317682557
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,conv_weight_nn_ms,0.8063603192567825,0.0049547703784577945,0.0028365927207287143
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,pair_expand_ms,0.0,0.0,0.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,pair_indexing_ms,0.0,0.0,0.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,conv_message_tp_ms,74.63384210132062,0.3067145924465383,0.2625449295666611
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,conv_aggregation_ms,2.2026628721505404,0.003633707490973098,0.007748468420569631
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,top_force_output_ms,140.4989083763212,0.0909959535999313,0.4942432945335573
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,other_ms,78.32155567593873,0.31018500962948936,0.27551746954920336
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,model_total_ms,284.2707426287234,0.4523954559475956,1.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_pair_full,spherical_harmonics_ms,0.32639135606586933,0.004861990802250927,0.0014451839140256707
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_pair_full,radial_basis_ms,0.046498747542500496,0.0032790416963168452,0.00020588548293907902
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_pair_full,cutoff_ms,0.0935475341975689,0.0025731566240304407,0.0004142064092892503
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_pair_full,conv_weight_nn_ms,0.63432059250772,0.015325690540068174,0.0028086219184137564
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_pair_full,pair_expand_ms,0.08793314918875694,0.002369957500865261,0.0003893472371601806
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_pair_full,pair_indexing_ms,0.6108881905674934,0.0039588799366873486,0.0027048687713966974
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_pair_full,conv_message_tp_ms,20.004070550203323,2.614446116863863,0.08857330452205428
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_pair_full,conv_aggregation_ms,2.5620742235332727,0.004137554960394253,0.011344260151432618
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_pair_full,top_force_output_ms,133.7220951449126,0.18261386463320656,0.5920898861495504
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_pair_full,other_ms,25.19637830555439,2.624051229567925,0.11156361816010829
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_pair_full,model_total_ms,225.84762596525252,2.6630401239212658,1.0
