dataset,sample_id,modal,natoms,case,n_repeat,repeat_idx,stage,time_ms,calls,load
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,0,0_convolution.aggregation_ms,0.14283601194620132,1.0,10738.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,0,0_convolution.denominator_ms,0.011045020073652267,1.0,0.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,0,0_convolution.edge_src_gather_ms,0.02053799107670784,1.0,10738.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,0,0_convolution.message_tp_ms,2.927544992417097,1.0,10738.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,0,0_convolution.total_ms,3.2752950210124254,1.0,0.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,0,0_convolution.weight_nn_ms,0.11691590771079063,1.0,10738.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,0,1_convolution.aggregation_ms,0.44730911031365395,1.0,10738.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,0,1_convolution.denominator_ms,0.01605111174285412,1.0,0.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,0,1_convolution.edge_src_gather_ms,0.054925912991166115,1.0,10738.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,0,1_convolution.message_tp_ms,14.581468887627125,1.0,10738.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,0,1_convolution.total_ms,15.305601991713047,1.0,0.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,0,1_convolution.weight_nn_ms,0.14923210255801678,1.0,10738.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,0,2_convolution.aggregation_ms,0.7282719016075134,1.0,10738.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,0,2_convolution.denominator_ms,0.021946150809526443,1.0,0.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,0,2_convolution.edge_src_gather_ms,0.09051407687366009,1.0,10738.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,0,2_convolution.message_tp_ms,26.505261892452836,1.0,10738.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,0,2_convolution.total_ms,27.61529292911291,1.0,0.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,0,2_convolution.weight_nn_ms,0.21162698976695538,1.0,10738.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,0,3_convolution.aggregation_ms,0.830142991617322,1.0,10738.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,0,3_convolution.denominator_ms,0.02395501360297203,1.0,0.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,0,3_convolution.edge_src_gather_ms,0.09187380783259869,1.0,10738.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,0,3_convolution.message_tp_ms,28.113297885283828,1.0,10738.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,0,3_convolution.total_ms,29.354250989854336,1.0,0.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,0,3_convolution.weight_nn_ms,0.23743510246276855,1.0,10738.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,0,4_convolution.aggregation_ms,0.0514111015945673,1.0,10738.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,0,4_convolution.denominator_ms,0.010606832802295685,1.0,0.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,0,4_convolution.edge_src_gather_ms,0.05168793722987175,1.0,10738.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,0,4_convolution.message_tp_ms,3.0450811609625816,1.0,10738.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,0,4_convolution.total_ms,3.31947416998446,1.0,0.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,0,4_convolution.weight_nn_ms,0.09883800521492958,1.0,10738.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,0,edge_embedding.cutoff_ms,0.09333807975053787,1.0,10738.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,0,edge_embedding.edge_length_norm_ms,0.027699163183569908,1.0,10738.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,0,edge_embedding.radial_basis_ms,0.045552151277661324,1.0,10738.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,0,edge_embedding.radial_combine_ms,0.010069925338029861,1.0,85904.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,0,edge_embedding.spherical_harmonics_ms,0.327106099575758,1.0,10738.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,0,model_total_ms,285.1445600390434,1.0,0.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,0,top_force_output_ms,140.61014004983008,1.0,0.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,0,top_input_embedding_ms,1.0915400926023722,3.0,0.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,0,top_interaction_other_ms,60.688819736242294,25.0,0.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,0,top_readout_ms,2.7909697964787483,4.0,0.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,1,0_convolution.aggregation_ms,0.14267093501985073,1.0,10738.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,1,0_convolution.denominator_ms,0.011567026376724243,1.0,0.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,1,0_convolution.edge_src_gather_ms,0.021068844944238663,1.0,10738.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,1,0_convolution.message_tp_ms,2.918677870184183,1.0,10738.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,1,0_convolution.total_ms,3.2672451343387365,1.0,0.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,1,0_convolution.weight_nn_ms,0.11628703214228153,1.0,10738.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,1,1_convolution.aggregation_ms,0.4502080846577883,1.0,10738.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,1,1_convolution.denominator_ms,0.016366131603717804,1.0,0.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,1,1_convolution.edge_src_gather_ms,0.05553220398724079,1.0,10738.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,1,1_convolution.message_tp_ms,14.505150029435754,1.0,10738.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,1,1_convolution.total_ms,15.23619401268661,1.0,0.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,1,1_convolution.weight_nn_ms,0.15176180750131607,1.0,10738.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,1,2_convolution.aggregation_ms,0.7279710844159126,1.0,10738.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,1,2_convolution.denominator_ms,0.022140098735690117,1.0,0.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,1,2_convolution.edge_src_gather_ms,0.0875608529895544,1.0,10738.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,1,2_convolution.message_tp_ms,26.385986944660544,1.0,10738.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,1,2_convolution.total_ms,27.48821093700826,1.0,0.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,1,2_convolution.weight_nn_ms,0.20684488117694855,1.0,10738.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,1,3_convolution.aggregation_ms,0.8252928964793682,1.0,10738.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,1,3_convolution.denominator_ms,0.023877015337347984,1.0,0.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,1,3_convolution.edge_src_gather_ms,0.09448686614632607,1.0,10738.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,1,3_convolution.message_tp_ms,27.904223883524537,1.0,10738.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,1,3_convolution.total_ms,29.140705009922385,1.0,0.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,1,3_convolution.weight_nn_ms,0.23648003116250038,1.0,10738.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,1,4_convolution.aggregation_ms,0.05260389298200607,1.0,10738.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,1,4_convolution.denominator_ms,0.010564923286437988,1.0,0.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,1,4_convolution.edge_src_gather_ms,0.05169399082660675,1.0,10738.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,1,4_convolution.message_tp_ms,3.021552925929427,1.0,10738.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,1,4_convolution.total_ms,3.288066014647484,1.0,0.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,1,4_convolution.weight_nn_ms,0.09496696293354034,1.0,10738.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,1,edge_embedding.cutoff_ms,0.08341111242771149,1.0,10738.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,1,edge_embedding.edge_length_norm_ms,0.026371097192168236,1.0,10738.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,1,edge_embedding.radial_basis_ms,0.04089111462235451,1.0,10738.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,1,edge_embedding.radial_combine_ms,0.008870149031281471,1.0,85904.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,1,edge_embedding.spherical_harmonics_ms,0.29488885775208473,1.0,10738.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,1,model_total_ms,284.1106900013983,1.0,0.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,1,top_force_output_ms,140.39803203195333,1.0,0.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,1,top_input_embedding_ms,0.9423161391168833,3.0,0.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,1,top_interaction_other_ms,60.53003342822194,25.0,0.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,1,top_readout_ms,2.807280281558633,4.0,0.0
