dataset,sample_id,modal,natoms,case,stage,mean_ms,std_ms,share_mean
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,spherical_harmonics_ms,0.30959281139075756,0.006997685795228669,0.000919284747893119
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,radial_basis_ms,0.04415321163833141,0.001975690281986425,0.0001311056734401513
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,cutoff_ms,0.09229839779436588,0.0027421568166432547,0.00027406485624189615
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,conv_weight_nn_ms,0.9574889671057463,0.004646374460299727,0.0028431054318805997
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,pair_expand_ms,0.0,0.0,0.0
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,pair_indexing_ms,0.0,0.0,0.0
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,conv_message_tp_ms,79.8431983217597,0.1963843502093992,0.23708119742986505
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,conv_aggregation_ms,2.808481128886342,0.018207378390462804,0.008339321106755965
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,top_force_output_ms,186.6600761655718,0.04638593771527399,0.5542562835640206
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,other_ms,84.39018283970654,0.2365989962901225,0.2505827173698059
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,model_total_ms,336.7757510393858,0.4612005376390664,1.0
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_pair_full,spherical_harmonics_ms,0.31386842019855976,0.007598901354674347,0.001137538950802371
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_pair_full,radial_basis_ms,0.04467661492526531,0.0015633536942406688,0.00016191941080066985
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_pair_full,cutoff_ms,0.09139752946794033,0.003134386265640196,0.00033124788314516367
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_pair_full,conv_weight_nn_ms,0.6840028800070286,0.010931231483878806,0.0024790003338875754
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_pair_full,pair_expand_ms,0.08655935525894165,0.002899700948350366,0.0003137131097836966
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_pair_full,pair_indexing_ms,0.752693647518754,0.0032111817437962256,0.0027279531388740273
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_pair_full,conv_message_tp_ms,23.5517889726907,0.022655682594388563,0.08535767090096173
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_pair_full,conv_aggregation_ms,3.1862426083534956,0.0035309648213792577,0.011547753263661654
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_pair_full,top_force_output_ms,180.29296826571226,0.12795743063380965,0.6534275535852861
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_pair_full,other_ms,29.63183782994747,0.023763928611531093,0.10739331371439174
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_pair_full,model_total_ms,275.91883335262537,0.2257556576232327,1.0
