dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
oc22_s2ef_train,s2ef_train_0,oc22,228,flash_baseline,0,23.17951899021864,baseline,3,10,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,flash_baseline,1,30.2673380356282,baseline,3,10,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,flash_baseline,2,28.77289499156177,baseline,3,10,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,flash_baseline,3,27.699705911800265,baseline,3,10,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,flash_baseline,4,26.331854984164238,baseline,3,10,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,flash_baseline,5,28.33639783784747,baseline,3,10,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,flash_baseline,6,27.888363925740123,baseline,3,10,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,flash_baseline,7,28.238550992682576,baseline,3,10,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,flash_baseline,8,26.119038928300142,baseline,3,10,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,flash_baseline,9,24.34333390556276,baseline,3,10,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,flash_pair_auto,0,23.71057099662721,geometry_only,3,10,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,flash_pair_auto,1,23.89829303137958,geometry_only,3,10,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,flash_pair_auto,2,27.276708045974374,geometry_only,3,10,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,flash_pair_auto,3,27.93341688811779,geometry_only,3,10,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,flash_pair_auto,4,27.823691023513675,geometry_only,3,10,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,flash_pair_auto,5,27.90558198466897,geometry_only,3,10,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,flash_pair_auto,6,27.74962713010609,geometry_only,3,10,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,flash_pair_auto,7,27.249258942902088,geometry_only,3,10,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,flash_pair_auto,8,28.14082195982337,geometry_only,3,10,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,flash_pair_auto,9,28.009288012981415,geometry_only,3,10,cuda
