dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
omat24_1m_official,train:106751,omat24,160,flash_baseline,0,25.87690483778715,baseline,3,10,cuda
omat24_1m_official,train:106751,omat24,160,flash_baseline,1,30.223577050492167,baseline,3,10,cuda
omat24_1m_official,train:106751,omat24,160,flash_baseline,2,28.777220053598285,baseline,3,10,cuda
omat24_1m_official,train:106751,omat24,160,flash_baseline,3,27.714688098058105,baseline,3,10,cuda
omat24_1m_official,train:106751,omat24,160,flash_baseline,4,27.66799903474748,baseline,3,10,cuda
omat24_1m_official,train:106751,omat24,160,flash_baseline,5,27.05165697261691,baseline,3,10,cuda
omat24_1m_official,train:106751,omat24,160,flash_baseline,6,28.13525591045618,baseline,3,10,cuda
omat24_1m_official,train:106751,omat24,160,flash_baseline,7,28.041284065693617,baseline,3,10,cuda
omat24_1m_official,train:106751,omat24,160,flash_baseline,8,28.087323997169733,baseline,3,10,cuda
omat24_1m_official,train:106751,omat24,160,flash_baseline,9,27.938050916418433,baseline,3,10,cuda
omat24_1m_official,train:106751,omat24,160,flash_pair_auto,0,27.24477811716497,geometry_only,3,10,cuda
omat24_1m_official,train:106751,omat24,160,flash_pair_auto,1,30.66412708722055,geometry_only,3,10,cuda
omat24_1m_official,train:106751,omat24,160,flash_pair_auto,2,29.021629132330418,geometry_only,3,10,cuda
omat24_1m_official,train:106751,omat24,160,flash_pair_auto,3,28.149259043857455,geometry_only,3,10,cuda
omat24_1m_official,train:106751,omat24,160,flash_pair_auto,4,27.89389807730913,geometry_only,3,10,cuda
omat24_1m_official,train:106751,omat24,160,flash_pair_auto,5,27.977335965260863,geometry_only,3,10,cuda
omat24_1m_official,train:106751,omat24,160,flash_pair_auto,6,28.022916056215763,geometry_only,3,10,cuda
omat24_1m_official,train:106751,omat24,160,flash_pair_auto,7,27.88129705004394,geometry_only,3,10,cuda
omat24_1m_official,train:106751,omat24,160,flash_pair_auto,8,27.670850977301598,geometry_only,3,10,cuda
omat24_1m_official,train:106751,omat24,160,flash_pair_auto,9,27.815006906166673,geometry_only,3,10,cuda
