dataset,sample_id,modal,natoms,case,stage,mean_ms,std_ms,share_mean
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,spherical_harmonics_ms,0.30814833007752895,0.0025423003858764765,0.0007482114368396592
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,radial_basis_ms,0.04272325895726681,0.000596838437074147,0.00010373585656896765
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,cutoff_ms,0.09009996429085732,0.0014010060850884814,0.00021877069307597182
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,conv_weight_nn_ms,1.1794184800237417,0.002681903970809168,0.0028637325256696622
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,pair_expand_ms,0.0,0.0,0.0
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,pair_indexing_ms,0.0,0.0,0.0
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,conv_message_tp_ms,88.1591153331101,0.025567582127179935,0.21405813991367026
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,conv_aggregation_ms,3.684540605172515,0.006712800423619868,0.008946390913741414
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,top_force_output_ms,252.09154929034412,0.032287413781372565,0.6121006083732747
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,other_ms,93.90592267736793,0.03218078073876866,0.22801189711626824
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,model_total_ms,411.84659162536263,0.11818104225701372,1.0
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_pair_full,spherical_harmonics_ms,0.34053041599690914,0.06600467685664196,0.0009667058005618489
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_pair_full,radial_basis_ms,0.04846761003136635,0.010354125863041215,0.00013759099791284658
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_pair_full,cutoff_ms,0.10260320268571377,0.026731065886841956,0.00029127239897831287
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_pair_full,conv_weight_nn_ms,0.7879454176872969,0.0050240284193046325,0.002236838091465382
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_pair_full,pair_expand_ms,0.09123175404965878,0.020199396799413766,0.0002589908615858784
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_pair_full,pair_indexing_ms,0.955062173306942,0.0028472096877579186,0.0027112530906531615
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_pair_full,conv_message_tp_ms,31.32782350294292,0.030087837645985417,0.08893416645503885
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_pair_full,conv_aggregation_ms,4.3000138364732265,0.0058629814902380175,0.012206981000641682
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_pair_full,top_force_output_ms,246.5400679036975,0.09755658904742696,0.6998837769474893
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_pair_full,other_ms,38.931095600128174,0.04519857312513593,0.1105185151484776
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_pair_full,model_total_ms,352.25858353078365,1.465698246031033,1.0
