dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,flash_baseline,0,28.640143107622862,baseline,3,10,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,flash_baseline,1,29.176225187256932,baseline,3,10,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,flash_baseline,2,27.73773903027177,baseline,3,10,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,flash_baseline,3,27.94186701066792,baseline,3,10,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,flash_baseline,4,27.374901808798313,baseline,3,10,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,flash_baseline,5,27.800069889053702,baseline,3,10,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,flash_baseline,6,27.895866194739938,baseline,3,10,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,flash_baseline,7,27.990381000563502,baseline,3,10,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,flash_baseline,8,28.091933112591505,baseline,3,10,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,flash_baseline,9,27.9695310164243,baseline,3,10,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,flash_pair_auto,0,29.374492820352316,geometry_only,3,10,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,flash_pair_auto,1,33.546739956364036,geometry_only,3,10,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,flash_pair_auto,2,36.57984687015414,geometry_only,3,10,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,flash_pair_auto,3,31.97477711364627,geometry_only,3,10,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,flash_pair_auto,4,29.080938082188368,geometry_only,3,10,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,flash_pair_auto,5,28.527814894914627,geometry_only,3,10,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,flash_pair_auto,6,31.182297971099615,geometry_only,3,10,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,flash_pair_auto,7,28.445071075111628,geometry_only,3,10,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,flash_pair_auto,8,28.568771900609136,geometry_only,3,10,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,flash_pair_auto,9,28.503144159913063,geometry_only,3,10,cuda
