dataset,sample_id,modal,natoms,case,stage,mean_ms,std_ms,share_mean
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,e3nn_baseline,spherical_harmonics_ms,0.31534135341644287,0.015390311917611275,0.0011610092379564087
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,e3nn_baseline,radial_basis_ms,0.04330994561314583,0.003605502666416141,0.000159456558448417
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,e3nn_baseline,cutoff_ms,0.08798958733677864,0.004664865159502154,0.0003239560008073634
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,e3nn_baseline,conv_weight_nn_ms,0.7840626407414675,0.004888864697865007,0.002886725636124179
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,e3nn_baseline,pair_expand_ms,0.0,0.0,0.0
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,e3nn_baseline,pair_indexing_ms,0.0,0.0,0.0
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,e3nn_baseline,conv_message_tp_ms,73.22178795002401,0.27229223750973297,0.26958459874876145
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,e3nn_baseline,conv_aggregation_ms,2.03855880536139,0.006510756146805201,0.007505471703916848
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,e3nn_baseline,top_force_output_ms,129.63164658285677,0.07673964615539207,0.47727181222388104
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,e3nn_baseline,other_ms,76.69943077489734,0.26915285512450643,0.2823884235635129
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,e3nn_baseline,model_total_ms,271.60968501120806,0.37271222836898005,1.0
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,e3nn_pair_full,spherical_harmonics_ms,0.3184951841831207,0.0038894233891560957,0.0015192069514716436
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,e3nn_pair_full,radial_basis_ms,0.04367241635918617,0.0005886468629636741,0.00020831535864697
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,e3nn_pair_full,cutoff_ms,0.09203762747347355,0.0005733029480372009,0.0004390151261259441
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,e3nn_pair_full,conv_weight_nn_ms,0.6228387355804443,0.012045726429396556,0.0029709112844719956
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,e3nn_pair_full,pair_expand_ms,0.08521890267729759,0.0026587717828129983,0.00040649013163633645
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,e3nn_pair_full,pair_indexing_ms,0.572299025952816,0.0025076374082908053,0.0027298392620218664
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,e3nn_pair_full,conv_message_tp_ms,17.41543016396463,0.09056162158623537,0.08307077746190357
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,e3nn_pair_full,conv_aggregation_ms,2.397435111925006,0.0116929423904996,0.011435651992918556
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,e3nn_pair_full,top_force_output_ms,121.36848736554384,0.15077376525732092,0.5789219393324325
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,e3nn_pair_full,other_ms,22.340582450851798,0.09668283833737537,0.10656352072107148
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,e3nn_pair_full,model_total_ms,209.64568643830717,0.3040991183776519,1.0
