dataset,sample_id,modal,natoms,case,stage,mean_ms,std_ms,share_mean
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_baseline,spherical_harmonics_ms,0.2954084426164627,0.01135721907861322,0.0019034658681172784
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_baseline,radial_basis_ms,0.03814860247075558,0.0010107540004337845,0.00024581072252472923
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_baseline,cutoff_ms,0.08214777335524559,0.002593802060704539,0.0005293196136799576
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_baseline,conv_weight_nn_ms,0.4607356619089842,0.014227276551903659,0.0029687526832359386
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_baseline,pair_expand_ms,0.0,0.0,0.0
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_baseline,pair_indexing_ms,0.0,0.0,0.0
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_baseline,conv_message_tp_ms,61.63213434629142,0.371130986862556,0.39712698482249315
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_baseline,conv_aggregation_ms,0.24801921099424362,0.00810884931766785,0.0015981131026030165
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_baseline,top_force_output_ms,27.37137032672763,0.2392676002142429,0.17636756999585032
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_baseline,other_ms,62.74547502398491,0.3814499500019944,0.40430080138916297
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_baseline,model_total_ms,155.1950300578028,0.8483156798195989,1.0
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_pair_full,spherical_harmonics_ms,0.29456219635903835,0.011695055298439741,0.0025373958011069148
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_pair_full,radial_basis_ms,0.04021478816866875,0.0026729771139494297,0.00034641524235923255
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_pair_full,cutoff_ms,0.0826710369437933,0.0030182262951132526,0.0007121387082497533
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_pair_full,conv_weight_nn_ms,0.4557700362056494,0.004636755497224969,0.003926060405690875
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_pair_full,pair_expand_ms,0.07593459449708462,0.00329884880095539,0.0006541101458953277
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_pair_full,pair_indexing_ms,0.225540017709136,0.00265059406129489,0.0019428300745666304
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_pair_full,conv_message_tp_ms,8.123010629788041,0.14053603482824792,0.06997263504665124
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_pair_full,conv_aggregation_ms,0.4385268781334162,0.005578069376476514,0.0037775256737017852
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_pair_full,top_force_output_ms,40.365177765488625,0.8544926649634916,0.34771071725797276
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_pair_full,other_ms,10.296338284388185,0.1658001134905156,0.08869395276282645
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_pair_full,model_total_ms,116.08839118853211,1.3167792315671365,1.0
