dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,flash_baseline,0,13.611647067591548,baseline,3,10,cuda
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,flash_baseline,1,13.328442117199302,baseline,3,10,cuda
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,flash_baseline,2,13.370038941502571,baseline,3,10,cuda
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,flash_baseline,3,13.296114979311824,baseline,3,10,cuda
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,flash_baseline,4,13.325242092832923,baseline,3,10,cuda
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,flash_baseline,5,13.303868006914854,baseline,3,10,cuda
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,flash_baseline,6,13.299350161105394,baseline,3,10,cuda
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,flash_baseline,7,13.307343935593963,baseline,3,10,cuda
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,flash_baseline,8,13.466086937114596,baseline,3,10,cuda
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,flash_baseline,9,13.338689925149083,baseline,3,10,cuda
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,flash_pair_auto,0,14.142894884571433,geometry_only,3,10,cuda
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,flash_pair_auto,1,13.814689125865698,geometry_only,3,10,cuda
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,flash_pair_auto,2,13.718047877773643,geometry_only,3,10,cuda
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,flash_pair_auto,3,13.700538780540228,geometry_only,3,10,cuda
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,flash_pair_auto,4,13.689117971807718,geometry_only,3,10,cuda
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,flash_pair_auto,5,13.621352845802903,geometry_only,3,10,cuda
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,flash_pair_auto,6,13.784790178760886,geometry_only,3,10,cuda
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,flash_pair_auto,7,13.704500859603286,geometry_only,3,10,cuda
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,flash_pair_auto,8,13.78661603666842,geometry_only,3,10,cuda
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,flash_pair_auto,9,13.678950956091285,geometry_only,3,10,cuda
