dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
qm9_hf,0_3057,qcml,29,flash_baseline,0,14.705723151564598,baseline,3,10,cuda
qm9_hf,0_3057,qcml,29,flash_baseline,1,14.05064994469285,baseline,3,10,cuda
qm9_hf,0_3057,qcml,29,flash_baseline,2,13.821967877447605,baseline,3,10,cuda
qm9_hf,0_3057,qcml,29,flash_baseline,3,13.798498082906008,baseline,3,10,cuda
qm9_hf,0_3057,qcml,29,flash_baseline,4,13.633680995553732,baseline,3,10,cuda
qm9_hf,0_3057,qcml,29,flash_baseline,5,13.508431147783995,baseline,3,10,cuda
qm9_hf,0_3057,qcml,29,flash_baseline,6,13.354862108826637,baseline,3,10,cuda
qm9_hf,0_3057,qcml,29,flash_baseline,7,13.865313958376646,baseline,3,10,cuda
qm9_hf,0_3057,qcml,29,flash_baseline,8,13.633770868182182,baseline,3,10,cuda
qm9_hf,0_3057,qcml,29,flash_baseline,9,13.532612007111311,baseline,3,10,cuda
qm9_hf,0_3057,qcml,29,flash_pair_auto,0,14.917060965672135,geometry_only,3,10,cuda
qm9_hf,0_3057,qcml,29,flash_pair_auto,1,14.67869896441698,geometry_only,3,10,cuda
qm9_hf,0_3057,qcml,29,flash_pair_auto,2,14.299698173999786,geometry_only,3,10,cuda
qm9_hf,0_3057,qcml,29,flash_pair_auto,3,14.163349056616426,geometry_only,3,10,cuda
qm9_hf,0_3057,qcml,29,flash_pair_auto,4,14.326958917081356,geometry_only,3,10,cuda
qm9_hf,0_3057,qcml,29,flash_pair_auto,5,15.427303966134787,geometry_only,3,10,cuda
qm9_hf,0_3057,qcml,29,flash_pair_auto,6,14.35983506962657,geometry_only,3,10,cuda
qm9_hf,0_3057,qcml,29,flash_pair_auto,7,14.31497186422348,geometry_only,3,10,cuda
qm9_hf,0_3057,qcml,29,flash_pair_auto,8,14.564116019755602,geometry_only,3,10,cuda
qm9_hf,0_3057,qcml,29,flash_pair_auto,9,14.805690152570605,geometry_only,3,10,cuda
