dataset,sample_id,modal,natoms,case,n_repeat,repeat_idx,stage,time_ms,calls,load
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,5,0,0_convolution.aggregation_ms,0.05107000470161438,1.0,366.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,5,0,0_convolution.denominator_ms,0.010006129741668701,1.0,0.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,5,0,0_convolution.edge_src_gather_ms,0.013323966413736343,1.0,366.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,5,0,0_convolution.message_tp_ms,2.694152994081378,1.0,366.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,5,0,0_convolution.total_ms,2.9185751918703318,1.0,0.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,5,0,0_convolution.weight_nn_ms,0.09210198186337948,1.0,366.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,5,0,1_convolution.aggregation_ms,0.048525165766477585,1.0,366.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,5,0,1_convolution.denominator_ms,0.010491115972399712,1.0,0.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,5,0,1_convolution.edge_src_gather_ms,0.012811040505766869,1.0,366.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,5,0,1_convolution.message_tp_ms,12.091470882296562,1.0,366.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,5,0,1_convolution.total_ms,12.307331897318363,1.0,0.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,5,0,1_convolution.weight_nn_ms,0.08710799738764763,1.0,366.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,5,0,2_convolution.aggregation_ms,0.054927077144384384,1.0,366.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,5,0,2_convolution.denominator_ms,0.010333023965358734,1.0,0.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,5,0,2_convolution.edge_src_gather_ms,0.01419195905327797,1.0,366.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,5,0,2_convolution.message_tp_ms,21.23587718233466,1.0,366.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,5,0,2_convolution.total_ms,21.46238600835204,1.0,0.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,5,0,2_convolution.weight_nn_ms,0.09031710214912891,1.0,366.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,5,0,3_convolution.aggregation_ms,0.056377844884991646,1.0,366.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,5,0,3_convolution.denominator_ms,0.010408926755189896,1.0,0.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,5,0,3_convolution.edge_src_gather_ms,0.014435965567827225,1.0,366.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,5,0,3_convolution.message_tp_ms,22.35752297565341,1.0,366.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,5,0,3_convolution.total_ms,22.583152167499065,1.0,0.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,5,0,3_convolution.weight_nn_ms,0.08788798004388809,1.0,366.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,5,0,4_convolution.aggregation_ms,0.0488809309899807,1.0,366.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,5,0,4_convolution.denominator_ms,0.010157935321331024,1.0,0.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,5,0,4_convolution.edge_src_gather_ms,0.013094162568449974,1.0,366.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,5,0,4_convolution.message_tp_ms,3.0209068208932877,1.0,366.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,5,0,4_convolution.total_ms,3.2316280994564295,1.0,0.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,5,0,4_convolution.weight_nn_ms,0.08420692756772041,1.0,366.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,5,0,edge_embedding.cutoff_ms,0.08786492981016636,1.0,366.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,5,0,edge_embedding.edge_length_norm_ms,0.021878862753510475,1.0,366.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,5,0,edge_embedding.radial_basis_ms,0.03881705924868584,1.0,366.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,5,0,edge_embedding.radial_combine_ms,0.009082956239581108,1.0,2928.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,5,0,edge_embedding.spherical_harmonics_ms,0.28304499574005604,1.0,366.0
