dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
rmd17,rmd17_azobenzene,spice,24,flash_baseline,0,13.726592063903809,baseline,3,10,cuda
rmd17,rmd17_azobenzene,spice,24,flash_baseline,1,14.145012944936752,baseline,3,10,cuda
rmd17,rmd17_azobenzene,spice,24,flash_baseline,2,13.621229911223054,baseline,3,10,cuda
rmd17,rmd17_azobenzene,spice,24,flash_baseline,3,13.463801937177777,baseline,3,10,cuda
rmd17,rmd17_azobenzene,spice,24,flash_baseline,4,13.42581701464951,baseline,3,10,cuda
rmd17,rmd17_azobenzene,spice,24,flash_baseline,5,13.379786862060428,baseline,3,10,cuda
rmd17,rmd17_azobenzene,spice,24,flash_baseline,6,13.452351093292236,baseline,3,10,cuda
rmd17,rmd17_azobenzene,spice,24,flash_baseline,7,14.025145908817649,baseline,3,10,cuda
rmd17,rmd17_azobenzene,spice,24,flash_baseline,8,13.46205291338265,baseline,3,10,cuda
rmd17,rmd17_azobenzene,spice,24,flash_baseline,9,13.39470292441547,baseline,3,10,cuda
rmd17,rmd17_azobenzene,spice,24,flash_pair_auto,0,14.403074979782104,geometry_only,3,10,cuda
rmd17,rmd17_azobenzene,spice,24,flash_pair_auto,1,14.192163944244385,geometry_only,3,10,cuda
rmd17,rmd17_azobenzene,spice,24,flash_pair_auto,2,14.475751901045442,geometry_only,3,10,cuda
rmd17,rmd17_azobenzene,spice,24,flash_pair_auto,3,14.450639951974154,geometry_only,3,10,cuda
rmd17,rmd17_azobenzene,spice,24,flash_pair_auto,4,14.484725194051862,geometry_only,3,10,cuda
rmd17,rmd17_azobenzene,spice,24,flash_pair_auto,5,14.13632114417851,geometry_only,3,10,cuda
rmd17,rmd17_azobenzene,spice,24,flash_pair_auto,6,15.334262046962976,geometry_only,3,10,cuda
rmd17,rmd17_azobenzene,spice,24,flash_pair_auto,7,14.826007885858417,geometry_only,3,10,cuda
rmd17,rmd17_azobenzene,spice,24,flash_pair_auto,8,14.297829009592533,geometry_only,3,10,cuda
rmd17,rmd17_azobenzene,spice,24,flash_pair_auto,9,14.422070933505893,geometry_only,3,10,cuda
