dataset,sample_id,modal,natoms,case,n_repeat,repeat_idx,stage,time_ms,calls,load
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,0,0_convolution.aggregation_ms,0.1292899250984192,1.0,9932.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,0,0_convolution.denominator_ms,0.01027504913508892,1.0,0.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,0,0_convolution.edge_src_gather_ms,0.020584091544151306,1.0,9932.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,0,0_convolution.message_tp_ms,2.87789199501276,1.0,9932.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,0,0_convolution.total_ms,3.210583934560418,1.0,0.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,0,0_convolution.weight_nn_ms,0.1096818596124649,1.0,9932.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,0,1_convolution.aggregation_ms,0.4119020886719227,1.0,9932.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,0,1_convolution.denominator_ms,0.013126060366630554,1.0,0.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,0,1_convolution.edge_src_gather_ms,0.048508867621421814,1.0,9932.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,0,1_convolution.message_tp_ms,14.322062022984028,1.0,9932.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,0,1_convolution.total_ms,15.014515956863761,1.0,0.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,0,1_convolution.weight_nn_ms,0.16208901070058346,1.0,9932.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,0,2_convolution.aggregation_ms,0.662975013256073,1.0,9932.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,0,2_convolution.denominator_ms,0.016486970707774162,1.0,0.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,0,2_convolution.edge_src_gather_ms,0.07942295633256435,1.0,9932.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,0,2_convolution.message_tp_ms,25.82562086172402,1.0,9932.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,0,2_convolution.total_ms,26.838763151317835,1.0,0.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,0,2_convolution.weight_nn_ms,0.19721291027963161,1.0,9932.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,0,3_convolution.aggregation_ms,0.7579971570521593,1.0,9932.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,0,3_convolution.denominator_ms,0.01790490932762623,1.0,0.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,0,3_convolution.edge_src_gather_ms,0.0844229944050312,1.0,9932.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,0,3_convolution.message_tp_ms,27.43548108264804,1.0,9932.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,0,3_convolution.total_ms,28.573688119649887,1.0,0.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,0,3_convolution.weight_nn_ms,0.22085197269916534,1.0,9932.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,0,4_convolution.aggregation_ms,0.05228002555668354,1.0,9932.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,0,4_convolution.denominator_ms,0.01085805706679821,1.0,0.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,0,4_convolution.edge_src_gather_ms,0.047258101403713226,1.0,9932.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,0,4_convolution.message_tp_ms,3.0351809691637754,1.0,9932.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,0,4_convolution.total_ms,3.3000861294567585,1.0,0.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,0,4_convolution.weight_nn_ms,0.09733508341014385,1.0,9932.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,0,edge_embedding.cutoff_ms,0.09132781997323036,1.0,9932.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,0,edge_embedding.edge_length_norm_ms,0.028412090614438057,1.0,9932.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,0,edge_embedding.radial_basis_ms,0.04636403173208237,1.0,9932.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,0,edge_embedding.radial_combine_ms,0.010289018973708153,1.0,79456.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,0,edge_embedding.spherical_harmonics_ms,0.3231130540370941,1.0,9932.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,0,model_total_ms,272.18343992717564,1.0,0.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,0,top_force_output_ms,129.542384063825,1.0,0.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,0,top_input_embedding_ms,1.0738661512732506,3.0,0.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,0,top_interaction_other_ms,60.75000669807196,25.0,0.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,0,top_readout_ms,2.80024204403162,4.0,0.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,1,0_convolution.aggregation_ms,0.13018492609262466,1.0,9932.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,1,0_convolution.denominator_ms,0.010152114555239677,1.0,0.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,1,0_convolution.edge_src_gather_ms,0.020381994545459747,1.0,9932.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,1,0_convolution.message_tp_ms,2.867208095267415,1.0,9932.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,1,0_convolution.total_ms,3.2053817994892597,1.0,0.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,1,0_convolution.weight_nn_ms,0.119413947686553,1.0,9932.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,1,1_convolution.aggregation_ms,0.41260896250605583,1.0,9932.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,1,1_convolution.denominator_ms,0.013364013284444809,1.0,0.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,1,1_convolution.edge_src_gather_ms,0.049215974286198616,1.0,9932.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,1,1_convolution.message_tp_ms,14.233493944630027,1.0,9932.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,1,1_convolution.total_ms,14.928737189620733,1.0,0.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,1,1_convolution.weight_nn_ms,0.1635090447962284,1.0,9932.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,1,2_convolution.aggregation_ms,0.663030194118619,1.0,9932.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,1,2_convolution.denominator_ms,0.016805017367005348,1.0,0.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,1,2_convolution.edge_src_gather_ms,0.07967185229063034,1.0,9932.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,1,2_convolution.message_tp_ms,25.877762818709016,1.0,9932.0
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,1,2_convolution.total_ms,26.89358196221292,1.0,0.0
