dataset,sample_id,modal,natoms,case,n_repeat,repeat_idx,stage,time_ms,calls,load
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,0,0_convolution.aggregation_ms,0.046958914026618004,1.0,728.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,0,0_convolution.denominator_ms,0.01049879938364029,1.0,0.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,0,0_convolution.edge_src_gather_ms,0.01825811341404915,1.0,728.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,0,0_convolution.message_tp_ms,2.658517099916935,1.0,728.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,0,0_convolution.total_ms,2.883956069126725,1.0,0.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,0,0_convolution.weight_nn_ms,0.09393598884344101,1.0,728.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,0,1_convolution.aggregation_ms,0.05658390000462532,1.0,728.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,0,1_convolution.denominator_ms,0.01110718585550785,1.0,0.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,0,1_convolution.edge_src_gather_ms,0.01572398468852043,1.0,728.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,0,1_convolution.message_tp_ms,12.041191104799509,1.0,728.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,0,1_convolution.total_ms,12.271404964849353,1.0,0.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,0,1_convolution.weight_nn_ms,0.0899219885468483,1.0,728.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,0,2_convolution.aggregation_ms,0.07161987014114857,1.0,728.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,0,2_convolution.denominator_ms,0.012425007298588753,1.0,0.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,0,2_convolution.edge_src_gather_ms,0.017062993720173836,1.0,728.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,0,2_convolution.message_tp_ms,21.043013082817197,1.0,728.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,0,2_convolution.total_ms,21.2945151142776,1.0,0.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,0,2_convolution.weight_nn_ms,0.09413203224539757,1.0,728.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,0,3_convolution.aggregation_ms,0.07887091487646103,1.0,728.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,0,3_convolution.denominator_ms,0.013319076970219612,1.0,0.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,0,3_convolution.edge_src_gather_ms,0.018040882423520088,1.0,728.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,0,3_convolution.message_tp_ms,22.400996182113886,1.0,728.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,0,3_convolution.total_ms,22.66259305179119,1.0,0.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,0,3_convolution.weight_nn_ms,0.09575090371072292,1.0,728.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,0,4_convolution.aggregation_ms,0.04539894871413708,1.0,728.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,0,4_convolution.denominator_ms,0.0103069469332695,1.0,0.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,0,4_convolution.edge_src_gather_ms,0.014470890164375305,1.0,728.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,0,4_convolution.message_tp_ms,3.024136880412698,1.0,728.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,0,4_convolution.total_ms,3.2400258351117373,1.0,0.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,0,4_convolution.weight_nn_ms,0.0844320748001337,1.0,728.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,0,edge_embedding.cutoff_ms,0.08649704977869987,1.0,728.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,0,edge_embedding.edge_length_norm_ms,0.024771085008978844,1.0,728.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,0,edge_embedding.radial_basis_ms,0.04027411341667175,1.0,728.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,0,edge_embedding.radial_combine_ms,0.00903196632862091,1.0,5824.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,0,edge_embedding.spherical_harmonics_ms,0.3012667875736952,1.0,728.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,0,model_total_ms,155.0104960333556,1.0,0.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,0,top_force_output_ms,27.62254001572728,1.0,0.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,0,top_input_embedding_ms,0.9637728799134493,3.0,0.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,0,top_interaction_other_ms,60.25757151655853,25.0,0.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,0,top_readout_ms,2.8007400687783957,4.0,0.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,1,0_convolution.aggregation_ms,0.04916614852845669,1.0,728.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,1,0_convolution.denominator_ms,0.01013302244246006,1.0,0.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,1,0_convolution.edge_src_gather_ms,0.013884855434298515,1.0,728.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,1,0_convolution.message_tp_ms,2.6529610622674227,1.0,728.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,1,0_convolution.total_ms,2.8824179898947477,1.0,0.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,1,0_convolution.weight_nn_ms,0.09887502528727055,1.0,728.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,1,1_convolution.aggregation_ms,0.05697808228433132,1.0,728.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,1,1_convolution.denominator_ms,0.010941177606582642,1.0,0.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,1,1_convolution.edge_src_gather_ms,0.014930032193660736,1.0,728.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,1,1_convolution.message_tp_ms,11.94172608666122,1.0,728.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,1,1_convolution.total_ms,12.169481022283435,1.0,0.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,1,1_convolution.weight_nn_ms,0.08896109648048878,1.0,728.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,1,2_convolution.aggregation_ms,0.07012300193309784,1.0,728.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,1,2_convolution.denominator_ms,0.012115109711885452,1.0,0.0
