dataset,case,mode,total_ms_mean,model_ms_mean,resolved_policy,expand_full_edges
mptrj,baseline,step_force,424.69622595235705,420.0979063054546,baseline,True
mptrj,baseline,forward_energy,,54.687976581044495,baseline,True
mptrj,geometry_only,step_force,459.93750765919685,423.8688508979976,geometry_only,True
mptrj,geometry_only,forward_energy,,56.064761988818645,geometry_only,True
mptrj,full_legacy,step_force,464.0428635291755,427.8283375315368,full,True
mptrj,full_legacy,forward_energy,,58.05100260768086,full,True
mptrj,full_no_expand,step_force,465.7058366341517,429.5934734167531,full,False
mptrj,full_no_expand,forward_energy,,58.09740168042481,full,False
qm9_hf,baseline,step_force,29.26130648702383,28.748254920355976,baseline,True
qm9_hf,baseline,forward_energy,,9.234157530590892,baseline,True
qm9_hf,geometry_only,step_force,30.683152587153018,29.1831374168396,geometry_only,True
qm9_hf,geometry_only,forward_energy,,9.448478929698467,geometry_only,True
qm9_hf,full_legacy,step_force,31.326716812327504,29.835279006510973,full,True
qm9_hf,full_legacy,forward_energy,,9.9123306106776,full,True
qm9_hf,full_no_expand,step_force,31.52466509491205,30.026912153698504,full,False
qm9_hf,full_no_expand,forward_energy,,9.93580142967403,full,False
oc20_s2ef_train_20m,baseline,step_force,124.660748,123.303269,,
oc20_s2ef_train_20m,baseline,forward_energy,,18.278144,,
oc20_s2ef_train_20m,geometry_only,step_force,136.537971,124.353689,,
oc20_s2ef_train_20m,geometry_only,forward_energy,,18.641781,,
oc20_s2ef_train_20m,full_legacy,step_force,139.813792,128.214629,,
oc20_s2ef_train_20m,full_legacy,forward_energy,,19.753332,,
oc20_s2ef_train_20m,full_no_expand,step_force,140.763073,129.185363,,
oc20_s2ef_train_20m,full_no_expand,forward_energy,,19.915289,,
