dataset,baseline energy diff (eV),proposal energy diff (eV),baseline force diff (eV/A),proposal force diff (eV/A)
ani1ccx,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,1.252e-06 ± 1.728e-07,1.669e-06 ± 2.443e-07
ani1x,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,1.204e-06 ± 2.699e-07,2.086e-06 ± 4.468e-07
iso17,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,9.209e-07 ± 2.401e-07,1.287e-06 ± 3.148e-07
md22_ac_ala3_nhme,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,1.025e-06 ± 1.527e-07,1.633e-06 ± 2.265e-07
md22_at_at,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,1.268e-06 ± 2.383e-07,1.940e-06 ± 2.415e-07
md22_at_at_cg_cg,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,1.907e-06 ± 3.168e-07,3.195e-06 ± 5.637e-07
md22_buckyball_catcher,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,1.581e-06 ± 1.766e-07,2.588e-06 ± 2.097e-07
md22_dha,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,9.507e-07 ± 1.361e-07,1.365e-06 ± 2.272e-07
md22_double_walled_nanotube,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,2.286e-06 ± 3.106e-07,3.952e-06 ± 4.196e-07
md22_stachyose,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,1.295e-06 ± 2.538e-07,1.431e-06 ± 2.242e-07
mptrj,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,1.164e-06 ± 9.610e-08,2.026e-06 ± 1.148e-07
oc20_s2ef_train_20m,5.493e-05 ± 1.831e-05,4.272e-05 ± 2.797e-05,8.699e-07 ± 1.021e-07,1.107e-06 ± 1.212e-07
oc20_s2ef_train_2m,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,6.411e-07 ± 6.188e-08,1.069e-06 ± 1.395e-07
oc20_s2ef_val_id,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,8.747e-07 ± 1.192e-07,1.931e-06 ± 1.874e-07
oc20_s2ef_val_ood_ads,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,7.783e-07 ± 1.120e-07,1.322e-06 ± 2.783e-07
oc20_s2ef_val_ood_both,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,9.254e-07 ± 1.082e-07,1.626e-06 ± 1.055e-07
oc20_s2ef_val_ood_cat,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,8.821e-07 ± 3.037e-07,1.246e-06 ± 1.773e-07
oc22_s2ef_train,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,1.308e-06 ± 1.337e-07,2.029e-06 ± 1.166e-07
oc22_s2ef_val_id,0.000e+00 ± 0.000e+00,1.221e-05 ± 3.662e-05,8.774e-06 ± 2.443e-06,1.221e-05 ± 4.449e-06
oc22_s2ef_val_ood,6.104e-06 ± 1.831e-05,1.831e-05 ± 2.797e-05,9.852e-07 ± 1.267e-07,1.867e-06 ± 1.557e-07
omat24_1m_official,6.104e-06 ± 1.831e-05,6.104e-06 ± 1.831e-05,8.240e-05 ± 3.067e-05,1.831e-04 ± 5.459e-05
omol25_train_4m,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,1.967e-06 ± 2.834e-07,3.010e-06 ± 2.354e-07
omol25_train_neutral,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,6.485e-06 ± 1.748e-06,1.469e-05 ± 3.197e-06
omol25_validation,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,2.091e-06 ± 1.517e-07,3.242e-06 ± 4.642e-07
phonondb_pbe,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,7.482e-08 ± 1.208e-08,9.118e-08 ± 1.153e-08
qm9_hf,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,5.819e-07 ± 8.151e-08,8.792e-07 ± 2.107e-07
rmd17,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,1.253e-06 ± 4.130e-07,1.563e-06 ± 3.838e-07
salex_train_official,3.662e-05 ± 4.049e-05,6.104e-05 ± 2.730e-05,1.431e-06 ± 1.404e-07,2.448e-06 ± 2.543e-07
salex_val_official,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,1.444e-06 ± 1.175e-07,4.359e-06 ± 3.131e-07
spice_2023,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,9.537e-07 ± 1.066e-07,1.131e-06 ± 1.178e-07
wbm_initial,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,5.175e-07 ± 1.106e-07,6.206e-07 ± 6.053e-08
