dataset,method,timing_ms
ani1ccx,cpu_original,14.061 ± 0.098
ani1ccx,cpu_vectorized,2.471 ± 0.014
ani1ccx,gpu_vectorized_kernel_only,0.647 ± 0.009
ani1x,cpu_original,13.922 ± 0.079
ani1x,cpu_vectorized,2.459 ± 0.011
ani1x,gpu_vectorized_kernel_only,0.645 ± 0.007
iso17,cpu_original,2.385 ± 0.016
iso17,cpu_vectorized,0.552 ± 0.007
iso17,gpu_vectorized_kernel_only,0.526 ± 0.016
md22_ac_ala3_nhme,cpu_original,8.064 ± 0.056
md22_ac_ala3_nhme,cpu_vectorized,1.486 ± 0.028
md22_ac_ala3_nhme,gpu_vectorized_kernel_only,0.604 ± 0.014
md22_at_at,cpu_original,9.167 ± 0.064
md22_at_at,cpu_vectorized,1.686 ± 0.011
md22_at_at,gpu_vectorized_kernel_only,0.603 ± 0.009
md22_at_at_cg_cg,cpu_original,25.558 ± 0.179
md22_at_at_cg_cg,cpu_vectorized,4.412 ± 0.058
md22_at_at_cg_cg,gpu_vectorized_kernel_only,0.676 ± 0.018
md22_buckyball_catcher,cpu_original,46.875 ± 0.262
md22_buckyball_catcher,cpu_vectorized,8.136 ± 0.160
md22_buckyball_catcher,gpu_vectorized_kernel_only,0.706 ± 0.009
md22_dha,cpu_original,9.796 ± 0.102
md22_dha,cpu_vectorized,1.782 ± 0.016
md22_dha,gpu_vectorized_kernel_only,0.612 ± 0.012
md22_double_walled_nanotube,cpu_original,162.437 ± 0.670
md22_double_walled_nanotube,cpu_vectorized,28.088 ± 0.140
md22_double_walled_nanotube,gpu_vectorized_kernel_only,0.842 ± 0.009
md22_stachyose,cpu_original,24.195 ± 0.130
md22_stachyose,cpu_vectorized,4.186 ± 0.017
md22_stachyose,gpu_vectorized_kernel_only,0.669 ± 0.010
mptrj,cpu_original,187.840 ± 0.888
mptrj,cpu_vectorized,32.163 ± 0.161
mptrj,gpu_vectorized_kernel_only,0.870 ± 0.008
oc20_s2ef_train_20m,cpu_original,55.866 ± 0.227
oc20_s2ef_train_20m,cpu_vectorized,10.019 ± 0.136
oc20_s2ef_train_20m,gpu_vectorized_kernel_only,0.730 ± 0.010
oc20_s2ef_train_2m,cpu_original,73.326 ± 0.625
oc20_s2ef_train_2m,cpu_vectorized,12.940 ± 0.430
oc20_s2ef_train_2m,gpu_vectorized_kernel_only,0.765 ± 0.016
oc20_s2ef_val_id,cpu_original,103.087 ± 0.512
oc20_s2ef_val_id,cpu_vectorized,18.188 ± 0.114
oc20_s2ef_val_id,gpu_vectorized_kernel_only,0.778 ± 0.012
oc20_s2ef_val_ood_ads,cpu_original,45.557 ± 0.288
oc20_s2ef_val_ood_ads,cpu_vectorized,8.083 ± 0.172
oc20_s2ef_val_ood_ads,gpu_vectorized_kernel_only,0.705 ± 0.009
oc20_s2ef_val_ood_both,cpu_original,78.206 ± 0.566
oc20_s2ef_val_ood_both,cpu_vectorized,13.962 ± 0.098
oc20_s2ef_val_ood_both,gpu_vectorized_kernel_only,0.760 ± 0.013
oc20_s2ef_val_ood_cat,cpu_original,69.659 ± 0.387
oc20_s2ef_val_ood_cat,cpu_vectorized,12.563 ± 0.149
oc20_s2ef_val_ood_cat,gpu_vectorized_kernel_only,0.783 ± 0.026
