dataset,sample_id,modal,natoms,case,resolved_policy,n_warmup,n_repeat,device,mean_ms,std_ms,median_ms,p95_ms,warmup_mean_ms,warmup_std_ms,abs_energy_diff_vs_e3nn,max_abs_force_diff_vs_e3nn
ani1ccx,055:0,spice,55,e3nn_baseline,baseline,3,30,cuda,31.470498931594197,0.2506285300470784,31.39538608957082,31.943236431106925,216.19910770095885,161.06011826848172,0.0,1.1920928955078125e-06
ani1ccx,055:0,spice,55,e3nn_pair_full,full,3,30,cuda,47.74793928178648,0.1960961526985776,47.79448290355504,47.99997314112261,231.8615623905013,136.4227004113146,0.0,1.6689300537109375e-06
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,baseline,3,30,cuda,31.09031190785269,0.2274192043411734,31.0666881268844,31.600804289337248,111.87518069831032,40.38793798732813,0.0,1.0132789611816406e-06
ani1x,ani1x-release_416625,spice,63,e3nn_pair_full,full,3,30,cuda,48.29717247436444,0.319842508519112,48.26425993815064,48.76969646429643,131.83435704559088,51.56010559108405,0.0,1.7881393432617188e-06
iso17,iso17,spice,19,e3nn_baseline,baseline,3,30,cuda,29.439117829315364,0.1851601176837896,29.403902939520776,29.79397246381268,111.84050639470418,39.82512213953704,0.0,8.344650268554688e-07
iso17,iso17,spice,19,e3nn_pair_full,full,3,30,cuda,48.11779333588978,0.2318863345714152,48.03883796557784,48.514455277472734,131.37897624013326,50.24471855567671,0.0,1.430511474609375e-06
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,e3nn_baseline,baseline,3,30,cuda,29.39163966414829,0.1719568778177628,29.38817045651376,29.602928122039884,112.03099973499776,40.06405002267462,0.0,9.5367431640625e-07
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,e3nn_pair_full,full,3,30,cuda,48.54725728121897,0.2220734746505502,48.537098336964846,48.90800975263119,131.77769561298192,50.593953508416014,0.0,1.6689300537109375e-06
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_baseline,baseline,3,30,cuda,29.43727607683589,0.1673675057077323,29.440880520269275,29.7075972892344,112.12440223122636,39.76107379351381,0.0,1.430511474609375e-06
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_pair_full,full,3,30,cuda,48.90356161631644,1.7798099592258887,48.16209548152983,53.0524022760801,131.8105390916268,50.80847274040749,0.0,3.0994415283203125e-06
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_baseline,baseline,3,30,cuda,54.894260906924806,0.215055078377803,54.84111909754574,55.102502182126045,128.60807093481222,46.27337722091069,0.0,1.9073486328125e-06
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_pair_full,full,3,30,cuda,54.90232432105889,0.2996490610280248,54.89042855333537,55.327393393963575,137.46413472108543,51.7833426605485,0.0,2.6226043701171875e-06
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_baseline,baseline,3,30,cuda,104.09416458569468,0.1532432545740716,104.146106983535,104.26345163723454,173.0994090127448,44.42967918825431,0.0,1.9073486328125e-06
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_pair_full,full,3,30,cuda,97.17878411368775,0.2277156658471805,97.1762698609382,97.54241042537616,171.92178793872395,57.300355791130094,0.0,2.9802322387695312e-06
