dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
iso17,iso17,spice,19,e3nn_baseline,0,30.019385972991586,baseline,3,30,cuda
iso17,iso17,spice,19,e3nn_baseline,1,29.614151921123266,baseline,3,30,cuda
iso17,iso17,spice,19,e3nn_baseline,2,29.270004015415907,baseline,3,30,cuda
iso17,iso17,spice,19,e3nn_baseline,3,29.417275916785,baseline,3,30,cuda
iso17,iso17,spice,19,e3nn_baseline,4,29.650275129824877,baseline,3,30,cuda
iso17,iso17,spice,19,e3nn_baseline,5,29.330192133784294,baseline,3,30,cuda
iso17,iso17,spice,19,e3nn_baseline,6,29.22842395491898,baseline,3,30,cuda
iso17,iso17,spice,19,e3nn_baseline,7,29.45998404175043,baseline,3,30,cuda
iso17,iso17,spice,19,e3nn_baseline,8,29.484677128493786,baseline,3,30,cuda
iso17,iso17,spice,19,e3nn_baseline,9,29.304725816473365,baseline,3,30,cuda
iso17,iso17,spice,19,e3nn_baseline,10,29.501955024898052,baseline,3,30,cuda
iso17,iso17,spice,19,e3nn_baseline,11,29.563140822574496,baseline,3,30,cuda
iso17,iso17,spice,19,e3nn_baseline,12,29.328462202101946,baseline,3,30,cuda
iso17,iso17,spice,19,e3nn_baseline,13,29.470330802723765,baseline,3,30,cuda
iso17,iso17,spice,19,e3nn_baseline,14,29.2565340641886,baseline,3,30,cuda
iso17,iso17,spice,19,e3nn_baseline,15,29.442537110298872,baseline,3,30,cuda
iso17,iso17,spice,19,e3nn_baseline,16,29.35851807706058,baseline,3,30,cuda
iso17,iso17,spice,19,e3nn_baseline,17,29.327891068533063,baseline,3,30,cuda
iso17,iso17,spice,19,e3nn_baseline,18,29.352509882301092,baseline,3,30,cuda
iso17,iso17,spice,19,e3nn_baseline,19,29.15321895852685,baseline,3,30,cuda
iso17,iso17,spice,19,e3nn_baseline,20,29.32394901290536,baseline,3,30,cuda
iso17,iso17,spice,19,e3nn_baseline,21,29.39052996225655,baseline,3,30,cuda
iso17,iso17,spice,19,e3nn_baseline,22,29.329797020182014,baseline,3,30,cuda
iso17,iso17,spice,19,e3nn_baseline,23,29.477055184543133,baseline,3,30,cuda
iso17,iso17,spice,19,e3nn_baseline,24,29.342426918447018,baseline,3,30,cuda
iso17,iso17,spice,19,e3nn_baseline,25,29.9115430098027,baseline,3,30,cuda
iso17,iso17,spice,19,e3nn_baseline,26,29.632485006004572,baseline,3,30,cuda
iso17,iso17,spice,19,e3nn_baseline,27,29.497098876163363,baseline,3,30,cuda
iso17,iso17,spice,19,e3nn_baseline,28,29.476872878149152,baseline,3,30,cuda
iso17,iso17,spice,19,e3nn_baseline,29,29.25758296623826,baseline,3,30,cuda
iso17,iso17,spice,19,e3nn_pair_full,0,48.39907982386649,full,3,30,cuda
iso17,iso17,spice,19,e3nn_pair_full,1,48.30934596247971,full,3,30,cuda
iso17,iso17,spice,19,e3nn_pair_full,2,47.76295996271074,full,3,30,cuda
iso17,iso17,spice,19,e3nn_pair_full,3,48.13028313219547,full,3,30,cuda
iso17,iso17,spice,19,e3nn_pair_full,4,48.032307997345924,full,3,30,cuda
iso17,iso17,spice,19,e3nn_pair_full,5,48.039485001936555,full,3,30,cuda
iso17,iso17,spice,19,e3nn_pair_full,6,48.319807974621654,full,3,30,cuda
iso17,iso17,spice,19,e3nn_pair_full,7,48.50025102496147,full,3,30,cuda
iso17,iso17,spice,19,e3nn_pair_full,8,47.82358300872147,full,3,30,cuda
iso17,iso17,spice,19,e3nn_pair_full,9,48.671405063942075,full,3,30,cuda
iso17,iso17,spice,19,e3nn_pair_full,10,48.27024904079735,full,3,30,cuda
iso17,iso17,spice,19,e3nn_pair_full,11,47.99789912067354,full,3,30,cuda
iso17,iso17,spice,19,e3nn_pair_full,12,48.50659309886396,full,3,30,cuda
iso17,iso17,spice,19,e3nn_pair_full,13,48.15343604423106,full,3,30,cuda
iso17,iso17,spice,19,e3nn_pair_full,14,47.858271980658174,full,3,30,cuda
iso17,iso17,spice,19,e3nn_pair_full,15,47.89728298783302,full,3,30,cuda
iso17,iso17,spice,19,e3nn_pair_full,16,47.887830063700676,full,3,30,cuda
iso17,iso17,spice,19,e3nn_pair_full,17,47.839558916166425,full,3,30,cuda
iso17,iso17,spice,19,e3nn_pair_full,18,47.962622018530965,full,3,30,cuda
iso17,iso17,spice,19,e3nn_pair_full,19,48.3165979385376,full,3,30,cuda
iso17,iso17,spice,19,e3nn_pair_full,20,47.93637292459607,full,3,30,cuda
iso17,iso17,spice,19,e3nn_pair_full,21,48.10544406063855,full,3,30,cuda
iso17,iso17,spice,19,e3nn_pair_full,22,47.97876998782158,full,3,30,cuda
iso17,iso17,spice,19,e3nn_pair_full,23,48.52088796906173,full,3,30,cuda
iso17,iso17,spice,19,e3nn_pair_full,24,48.22208499535918,full,3,30,cuda
iso17,iso17,spice,19,e3nn_pair_full,25,47.984475968405604,full,3,30,cuda
iso17,iso17,spice,19,e3nn_pair_full,26,48.0471639893949,full,3,30,cuda
iso17,iso17,spice,19,e3nn_pair_full,27,48.01245406270027,full,3,30,cuda
iso17,iso17,spice,19,e3nn_pair_full,28,48.03819092921913,full,3,30,cuda
iso17,iso17,spice,19,e3nn_pair_full,29,48.009105026721954,full,3,30,cuda
