dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_baseline,0,29.76910094730556,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_baseline,1,29.37711589038372,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_baseline,2,29.621685855090618,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_baseline,3,29.57361680455506,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_baseline,4,29.684334993362427,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_baseline,5,29.16264603845775,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_baseline,6,29.4452088419348,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_baseline,7,29.19585886411369,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_baseline,8,29.35690013691783,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_baseline,9,29.569237027317286,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_baseline,10,29.230969958007336,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_baseline,11,29.608180047944188,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_baseline,12,29.424387961626053,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_baseline,13,29.398996848613024,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_baseline,14,29.602634022012353,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_baseline,15,29.27078609354794,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_baseline,16,29.509615851566195,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_baseline,17,29.427033150568604,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_baseline,18,29.153323965147138,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_baseline,19,29.565131990239024,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_baseline,20,29.18696589767933,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_baseline,21,29.454750008881092,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_baseline,22,29.255155008286238,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_baseline,23,29.33953795582056,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_baseline,24,29.470463981851935,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_baseline,25,29.558264883235097,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_baseline,26,29.43965792655945,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_baseline,27,29.4421031139791,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_baseline,28,29.29798816330731,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_baseline,29,29.726630076766014,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_pair_full,0,48.40940190479159,full,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_pair_full,1,47.977232839912176,full,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_pair_full,2,47.568754060193896,full,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_pair_full,3,48.300293972715735,full,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_pair_full,4,47.970419051125646,full,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_pair_full,5,47.70237999036908,full,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_pair_full,6,48.18750103004277,full,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_pair_full,7,47.23740019835532,full,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_pair_full,8,47.96167206950486,full,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_pair_full,9,47.89721197448671,full,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_pair_full,10,47.84061596728861,full,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_pair_full,11,47.93046903796494,full,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_pair_full,12,47.80392092652619,full,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_pair_full,13,48.10002981685102,full,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_pair_full,14,48.00972086377442,full,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_pair_full,15,48.069820972159505,full,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_pair_full,16,48.46240091137588,full,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_pair_full,17,48.556342953816056,full,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_pair_full,18,48.40614087879658,full,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_pair_full,19,48.167865024879575,full,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_pair_full,20,48.28108288347721,full,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_pair_full,21,47.8622040245682,full,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_pair_full,22,48.15632593818009,full,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_pair_full,23,48.29872818663716,full,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_pair_full,24,51.122901029884815,full,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_pair_full,25,51.78958014585078,full,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_pair_full,26,52.579900017008185,full,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_pair_full,27,53.513898979872465,full,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_pair_full,28,53.43899503350258,full,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_pair_full,29,51.50363780558109,full,3,30,cuda
