dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_baseline,0,103.7375379819423,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_baseline,1,103.96316996775568,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_baseline,2,104.2490100953728,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_baseline,3,104.11247401498258,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_baseline,4,104.21816213056445,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_baseline,5,104.19111396186054,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_baseline,6,104.07871915958822,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_baseline,7,104.1396630462259,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_baseline,8,104.24182284623384,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_baseline,9,104.03243196196854,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_baseline,10,104.16574496775866,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_baseline,11,103.8256490137428,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_baseline,12,104.25104689784348,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_baseline,13,104.18864106759429,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_baseline,14,104.09261495806277,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_baseline,15,103.96151314489543,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_baseline,16,104.2957459576428,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_baseline,17,104.21008197590709,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_baseline,18,104.15255092084408,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_baseline,19,104.27360096946359,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_baseline,20,104.22038217075169,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_baseline,21,104.17274292558432,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_baseline,22,104.18338607996702,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_baseline,23,103.8200561888516,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_baseline,24,104.1364180855453,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_baseline,25,103.95154892466962,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_baseline,26,103.84002001956105,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_baseline,27,103.90164516866207,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_baseline,28,103.97509695030749,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_baseline,29,104.24234601669014,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_pair_full,0,97.49322012066841,full,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_pair_full,1,96.95939416997135,full,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_pair_full,2,96.63049108348787,full,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_pair_full,3,96.94447298534214,full,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_pair_full,4,97.04679204151034,full,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_pair_full,5,96.98102599941194,full,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_pair_full,6,96.95058292709291,full,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_pair_full,7,97.46138704940677,full,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_pair_full,8,97.55895682610571,full,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_pair_full,9,97.2147008869797,full,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_pair_full,10,97.70389087498188,full,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_pair_full,11,97.16010582633317,full,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_pair_full,12,96.96679702028632,full,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_pair_full,13,97.046690993011,full,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_pair_full,14,97.36850019544363,full,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_pair_full,15,97.39871718920767,full,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_pair_full,16,97.52218704670668,full,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_pair_full,17,97.12057397700846,full,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_pair_full,18,97.20241907052696,full,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_pair_full,19,97.00487414374948,full,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_pair_full,20,97.05701493658125,full,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_pair_full,21,97.2930840216577,full,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_pair_full,22,97.22962905652821,full,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_pair_full,23,96.92699904553592,full,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_pair_full,24,97.02295809984207,full,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_pair_full,25,97.19243389554322,full,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_pair_full,26,97.31596685014665,full,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_pair_full,27,97.23617392592132,full,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_pair_full,28,97.13553008623421,full,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_pair_full,29,97.21795306541026,full,3,30,cuda
