dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,0,29.75440095178783,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,1,29.27387203089893,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,2,29.447878012433648,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,3,29.363652924075723,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,4,29.267105972394347,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,5,29.342345194891095,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,6,29.457515804097056,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,7,29.37485510483384,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,8,29.465486062690616,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,9,29.35864799655974,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,10,29.106901958584785,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,11,29.41745682619512,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,12,29.275006847456098,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,13,29.501695884391665,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,14,29.12206994369626,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,15,29.10643396899104,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,16,29.573532985523343,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,17,29.452631948515773,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,18,29.09212396480143,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,19,29.336907900869846,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,20,29.396714875474572,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,21,29.28218012675643,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,22,29.19258805923164,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,23,29.19922792352736,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,24,29.063675086945295,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,25,30.60587588697672,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,26,30.361181823536754,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,27,29.5161718968302,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,28,29.383237939327955,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,29,29.37445999123156,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,0,48.8584958948195,full,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,1,48.3193201944232,full,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,2,48.487157095223665,full,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,3,48.47667692229152,full,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,4,48.52849501185119,full,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,5,48.259174916893244,full,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,6,48.64356783218682,full,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,7,47.962852055206895,full,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,8,48.18104789592326,full,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,9,48.04161284118891,full,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,10,48.050743993371725,full,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,11,48.13187685795128,full,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,12,48.221180913969874,full,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,13,47.894102055579424,full,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,14,47.89409600198269,full,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,15,48.0408500880003,full,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,16,48.07589901611209,full,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,17,48.148745903745294,full,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,18,48.36808005347848,full,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,19,47.90238896384835,full,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,20,48.434507101774216,full,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,21,48.30731404945254,full,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,22,49.552492098882794,full,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,23,48.649166943505406,full,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,24,50.044792937114835,full,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,25,49.69394393265247,full,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,26,49.03995501808822,full,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,27,49.13245397619903,full,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,28,48.727873945608735,full,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,29,48.92602702602744,full,3,30,cuda
