dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_baseline,0,367.51098302192986,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_baseline,1,367.665195139125,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_baseline,2,367.5149851478636,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_baseline,3,367.581409169361,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_baseline,4,367.615079972893,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_baseline,5,368.11358691193163,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_baseline,6,367.9019589908421,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_baseline,7,367.6435691304505,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_baseline,8,367.634013062343,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_baseline,9,367.5648651551455,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_baseline,10,367.4148400314152,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_baseline,11,367.43251513689756,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_baseline,12,367.40422807633877,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_baseline,13,367.61386995203793,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_baseline,14,367.74859693832695,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_baseline,15,367.5384360831231,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_baseline,16,367.42730205878615,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_baseline,17,367.4924219958484,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_baseline,18,367.615741211921,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_baseline,19,367.75871203280985,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_baseline,20,367.86147695966065,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_baseline,21,367.7968019619584,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_baseline,22,367.52157099545,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_baseline,23,367.5344758667052,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_baseline,24,367.3825040459633,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_baseline,25,367.28049092926085,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_baseline,26,367.5432940945029,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_baseline,27,367.37421806901693,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_baseline,28,367.33422009274364,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_baseline,29,367.3718781210482,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_pair_full,0,363.80859394557774,full,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_pair_full,1,363.7917200103402,full,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_pair_full,2,363.78902522847056,full,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_pair_full,3,364.01101504452527,full,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_pair_full,4,363.8967089354992,full,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_pair_full,5,363.902622833848,full,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_pair_full,6,363.4186920244247,full,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_pair_full,7,363.6560239829123,full,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_pair_full,8,364.0326058957726,full,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_pair_full,9,363.80690801888704,full,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_pair_full,10,364.0342790167779,full,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_pair_full,11,364.34409487992525,full,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_pair_full,12,363.6136951390654,full,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_pair_full,13,363.93597396090627,full,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_pair_full,14,363.8375080190599,full,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_pair_full,15,363.59112802892923,full,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_pair_full,16,363.9224851503968,full,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_pair_full,17,363.8955701608211,full,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_pair_full,18,363.22794994339347,full,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_pair_full,19,364.71883091144264,full,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_pair_full,20,364.23553503118455,full,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_pair_full,21,363.8548019807786,full,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_pair_full,22,364.18978101573884,full,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_pair_full,23,363.328211940825,full,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_pair_full,24,363.6508078780025,full,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_pair_full,25,363.78820007666945,full,3,30,cuda
