dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
md22_stachyose,md22_stachyose_10546,spice,87,e3nn_baseline,0,52.76711191982031,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,e3nn_baseline,1,52.585318917408586,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,e3nn_baseline,2,51.79658601991832,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,e3nn_baseline,3,51.72993405722082,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,e3nn_baseline,4,51.821826957166195,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,e3nn_baseline,5,51.770480116829276,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,e3nn_baseline,6,51.823843037709594,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,e3nn_baseline,7,51.821614848449826,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,e3nn_baseline,8,51.88447888940573,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,e3nn_baseline,9,51.93308414891362,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,e3nn_baseline,10,51.77460890263319,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,e3nn_baseline,11,51.70739907771349,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,e3nn_baseline,12,51.763554103672504,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,e3nn_baseline,13,51.640004850924015,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,e3nn_baseline,14,51.78552004508674,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,e3nn_baseline,15,51.89838609658182,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,e3nn_baseline,16,51.74751509912312,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,e3nn_baseline,17,51.68293393217027,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,e3nn_baseline,18,51.760588074103,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,e3nn_baseline,19,51.787203876301646,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,e3nn_baseline,20,51.71730509027839,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,e3nn_baseline,21,51.69351794756949,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,e3nn_baseline,22,51.70463304966688,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,e3nn_baseline,23,51.81080708280206,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,e3nn_baseline,24,51.78668908774853,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,e3nn_baseline,25,52.06861789338291,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,e3nn_baseline,26,51.767027005553246,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,e3nn_baseline,27,51.79280391894281,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,e3nn_baseline,28,51.906534004956484,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,e3nn_baseline,29,51.89091502688825,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,e3nn_pair_full,0,53.16802696324885,full,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,e3nn_pair_full,1,52.82786698080599,full,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,e3nn_pair_full,2,52.493083057925105,full,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,e3nn_pair_full,3,52.47230501845479,full,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,e3nn_pair_full,4,52.56614298559725,full,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,e3nn_pair_full,5,52.5560958776623,full,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,e3nn_pair_full,6,52.798124961555004,full,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,e3nn_pair_full,7,52.36828979104757,full,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,e3nn_pair_full,8,52.67611099407077,full,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,e3nn_pair_full,9,51.95181700401008,full,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,e3nn_pair_full,10,52.98805586062372,full,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,e3nn_pair_full,11,52.101182052865624,full,3,30,cuda
