dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
mptrj,mp-1204603,mpa,444,e3nn_baseline,0,425.4470178857446,baseline,3,30,cuda
mptrj,mp-1204603,mpa,444,e3nn_baseline,1,425.5009109620005,baseline,3,30,cuda
mptrj,mp-1204603,mpa,444,e3nn_baseline,2,425.6076351739466,baseline,3,30,cuda
mptrj,mp-1204603,mpa,444,e3nn_baseline,3,425.6240660324693,baseline,3,30,cuda
mptrj,mp-1204603,mpa,444,e3nn_baseline,4,425.97477906383574,baseline,3,30,cuda
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,425.4722751211375,baseline,3,30,cuda
mptrj,mp-1204603,mpa,444,e3nn_baseline,6,425.3703150898218,baseline,3,30,cuda
mptrj,mp-1204603,mpa,444,e3nn_baseline,7,425.22858502343297,baseline,3,30,cuda
mptrj,mp-1204603,mpa,444,e3nn_baseline,8,425.39017903618515,baseline,3,30,cuda
mptrj,mp-1204603,mpa,444,e3nn_baseline,9,425.4175068344921,baseline,3,30,cuda
mptrj,mp-1204603,mpa,444,e3nn_baseline,10,425.3978109918535,baseline,3,30,cuda
mptrj,mp-1204603,mpa,444,e3nn_baseline,11,425.4840980283916,baseline,3,30,cuda
mptrj,mp-1204603,mpa,444,e3nn_baseline,12,425.69510405883193,baseline,3,30,cuda
mptrj,mp-1204603,mpa,444,e3nn_baseline,13,425.5705219693482,baseline,3,30,cuda
mptrj,mp-1204603,mpa,444,e3nn_baseline,14,425.4071391187608,baseline,3,30,cuda
mptrj,mp-1204603,mpa,444,e3nn_baseline,15,425.5254880990833,baseline,3,30,cuda
mptrj,mp-1204603,mpa,444,e3nn_baseline,16,426.41774588264525,baseline,3,30,cuda
mptrj,mp-1204603,mpa,444,e3nn_baseline,17,426.10669997520745,baseline,3,30,cuda
mptrj,mp-1204603,mpa,444,e3nn_baseline,18,425.6476100999862,baseline,3,30,cuda
mptrj,mp-1204603,mpa,444,e3nn_baseline,19,425.7756529841572,baseline,3,30,cuda
mptrj,mp-1204603,mpa,444,e3nn_baseline,20,425.5359068047255,baseline,3,30,cuda
mptrj,mp-1204603,mpa,444,e3nn_baseline,21,425.34072883427143,baseline,3,30,cuda
mptrj,mp-1204603,mpa,444,e3nn_baseline,22,425.61240890063345,baseline,3,30,cuda
mptrj,mp-1204603,mpa,444,e3nn_baseline,23,425.8153960108757,baseline,3,30,cuda
mptrj,mp-1204603,mpa,444,e3nn_baseline,24,425.94817210920155,baseline,3,30,cuda
mptrj,mp-1204603,mpa,444,e3nn_baseline,25,426.35387694463134,baseline,3,30,cuda
mptrj,mp-1204603,mpa,444,e3nn_baseline,26,425.64465501345694,baseline,3,30,cuda
mptrj,mp-1204603,mpa,444,e3nn_baseline,27,425.6248560268432,baseline,3,30,cuda
mptrj,mp-1204603,mpa,444,e3nn_baseline,28,425.70151877589524,baseline,3,30,cuda
mptrj,mp-1204603,mpa,444,e3nn_baseline,29,426.3015161268413,baseline,3,30,cuda
mptrj,mp-1204603,mpa,444,e3nn_pair_full,0,421.0171059239656,full,3,30,cuda
mptrj,mp-1204603,mpa,444,e3nn_pair_full,1,421.14316998049617,full,3,30,cuda
mptrj,mp-1204603,mpa,444,e3nn_pair_full,2,420.75976612977684,full,3,30,cuda
mptrj,mp-1204603,mpa,444,e3nn_pair_full,3,420.6360359676182,full,3,30,cuda
mptrj,mp-1204603,mpa,444,e3nn_pair_full,4,420.7128039561212,full,3,30,cuda
mptrj,mp-1204603,mpa,444,e3nn_pair_full,5,421.14856094121933,full,3,30,cuda
mptrj,mp-1204603,mpa,444,e3nn_pair_full,6,420.5869969446212,full,3,30,cuda
