dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,0,232.63778281398118,baseline,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,1,232.47074405662715,baseline,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,2,232.86306601949036,baseline,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,3,232.89776616729796,baseline,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,4,232.44977905414999,baseline,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,5,232.50331287272274,baseline,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,6,232.34260198660195,baseline,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,7,232.52220498397946,baseline,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,8,232.39280213601887,baseline,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,9,232.2737369686365,baseline,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,10,232.47869801707566,baseline,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,11,232.4156449176371,baseline,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,12,232.57941310293972,baseline,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,13,232.6139227952808,baseline,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,14,232.32742911204696,baseline,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,15,232.3114040773362,baseline,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,16,232.37925581634045,baseline,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,17,232.2458780836314,baseline,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,18,232.16193192638457,baseline,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,19,232.35786310397089,baseline,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,20,232.5911840889603,baseline,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,21,232.31148906052113,baseline,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,22,232.34584601595998,baseline,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,23,232.3550300206989,baseline,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,24,232.50460112467408,baseline,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,25,232.5899510178715,baseline,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,26,232.3977709747851,baseline,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,27,232.61486692354083,baseline,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,28,232.54168801940978,baseline,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,29,232.52926114946604,baseline,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,0,230.06058600731194,full,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,1,229.75204698741436,full,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,2,230.0341238733381,full,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,3,229.57770409993827,full,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,4,229.8833942040801,full,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,5,229.97898189350963,full,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,6,230.34842684864998,full,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,7,229.2822089511901,full,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,8,229.43748719990253,full,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,9,228.95454382523894,full,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,10,229.08839606679976,full,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,11,229.64531695470214,full,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,12,229.6060228254646,full,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,13,229.2590260040015,full,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,14,229.69143209047616,full,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,15,229.26514502614737,full,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,16,229.13743881508708,full,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,17,229.7854849603027,full,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,18,229.10270490683615,full,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,19,228.8109220098704,full,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,20,229.16186903603375,full,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,21,229.2889398522675,full,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,22,229.19069416821003,full,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,23,229.32247701101005,full,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,24,229.72991201095283,full,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,25,229.64950604364276,full,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,26,229.47105602361262,full,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,27,229.0377849712968,full,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,28,229.85902894288301,full,3,30,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,29,229.63265795260668,full,3,30,cuda
