dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
qm9_hf,0_3057,qcml,29,e3nn_baseline,0,29.968698043376207,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_baseline,1,29.69022886827588,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_baseline,2,29.624244896695018,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_baseline,3,29.262620024383068,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_baseline,4,29.530810192227364,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_baseline,5,29.633603058755398,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_baseline,6,29.487327905371785,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_baseline,7,29.57270503975451,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_baseline,8,29.547941870987415,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_baseline,9,29.373846016824245,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_baseline,10,29.49633402749896,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_baseline,11,29.541746014729142,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_baseline,12,29.323252150788903,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_baseline,13,29.6084510628134,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_baseline,14,29.52288812957704,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_baseline,15,29.319657012820244,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_baseline,16,29.60046916268766,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_baseline,17,29.51758005656302,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_baseline,18,29.89869611337781,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_baseline,19,29.547282960265875,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_baseline,20,29.39020306803286,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_baseline,21,29.671238968148828,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_baseline,22,29.629483120515943,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_baseline,23,29.710124945268035,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_baseline,24,29.645834118127823,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_baseline,25,29.714283999055624,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_baseline,26,29.761014971882105,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_baseline,27,29.916350031271577,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_baseline,28,29.593167826533318,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_baseline,29,29.683770844712853,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_pair_full,0,49.191131023690104,full,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_pair_full,1,48.27839508652687,full,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_pair_full,2,48.37048682384193,full,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_pair_full,3,48.34121000021696,full,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_pair_full,4,48.47519798204303,full,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_pair_full,5,48.39715291745961,full,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_pair_full,6,48.33599296398461,full,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_pair_full,7,48.27286093495786,full,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_pair_full,8,48.17262105643749,full,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_pair_full,9,49.046004889532924,full,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_pair_full,10,48.81181684322655,full,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_pair_full,11,48.44583896920085,full,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_pair_full,12,47.79782518744469,full,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_pair_full,13,48.49288519471884,full,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_pair_full,14,48.4265701379627,full,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_pair_full,15,48.087445087730885,full,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_pair_full,16,48.92182513140142,full,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_pair_full,17,48.756637843325734,full,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_pair_full,18,48.37109497748315,full,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_pair_full,19,48.7663468811661,full,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_pair_full,20,48.76156500540674,full,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_pair_full,21,48.28160488978028,full,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_pair_full,22,48.247445141896605,full,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_pair_full,23,48.43956185504794,full,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_pair_full,24,48.78544993698597,full,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_pair_full,25,48.676793929189444,full,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_pair_full,26,48.43814694322646,full,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_pair_full,27,48.61350101418793,full,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_pair_full,28,48.57506207190454,full,3,30,cuda
qm9_hf,0_3057,qcml,29,e3nn_pair_full,29,48.41820592992008,full,3,30,cuda
