dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,0,29.858184978365898,baseline,3,30,cuda
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,1,29.544047079980373,baseline,3,30,cuda
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,2,29.47373897768557,baseline,3,30,cuda
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,3,29.560378985479474,baseline,3,30,cuda
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,4,29.63605080731213,baseline,3,30,cuda
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,5,29.58988700993359,baseline,3,30,cuda
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,6,29.671798925846815,baseline,3,30,cuda
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,7,29.506232123821974,baseline,3,30,cuda
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,8,29.68913596123457,baseline,3,30,cuda
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,9,29.579294845461845,baseline,3,30,cuda
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,10,29.51867994852364,baseline,3,30,cuda
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,11,29.56867008469999,baseline,3,30,cuda
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,12,29.59860092960298,baseline,3,30,cuda
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,13,29.615404084324837,baseline,3,30,cuda
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,14,29.364875983446836,baseline,3,30,cuda
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,15,29.506106162443757,baseline,3,30,cuda
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,16,29.464899096637964,baseline,3,30,cuda
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,17,29.431357979774475,baseline,3,30,cuda
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,18,29.59054009988904,baseline,3,30,cuda
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,19,29.56630988046527,baseline,3,30,cuda
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,20,29.453645925968885,baseline,3,30,cuda
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,21,29.44599208422005,baseline,3,30,cuda
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,22,29.521452030166984,baseline,3,30,cuda
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,23,29.30998709052801,baseline,3,30,cuda
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,24,29.844654956832528,baseline,3,30,cuda
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,25,29.605690157040954,baseline,3,30,cuda
