dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,0,151.7475489526987,baseline,3,30,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,1,152.00932091102004,baseline,3,30,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,2,151.68034192174673,baseline,3,30,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,3,151.9458880648017,baseline,3,30,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,4,151.77786210551858,baseline,3,30,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,151.8547679297626,baseline,3,30,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,6,151.89480991102755,baseline,3,30,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,7,151.84824913740158,baseline,3,30,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,8,151.78073989227414,baseline,3,30,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,9,151.72082092612982,baseline,3,30,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,10,151.96176199242473,baseline,3,30,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,11,152.03864010982215,baseline,3,30,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,12,151.98685484938323,baseline,3,30,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,13,151.92037308588624,baseline,3,30,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,14,152.03764894977212,baseline,3,30,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,15,151.77658293396235,baseline,3,30,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,16,151.69465402141213,baseline,3,30,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,17,152.09769899956882,baseline,3,30,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,18,151.92694403231144,baseline,3,30,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,19,151.7233201302588,baseline,3,30,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,20,152.62877708300948,baseline,3,30,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,21,152.42111589759588,baseline,3,30,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,22,151.96700114756823,baseline,3,30,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,23,151.77740016952157,baseline,3,30,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,24,152.033502003178,baseline,3,30,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,25,151.80864580906928,baseline,3,30,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,26,151.9470310304314,baseline,3,30,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,27,152.17200294137,baseline,3,30,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,28,152.07499009557068,baseline,3,30,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,29,151.82487410493195,baseline,3,30,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_pair_full,0,148.175718029961,full,3,30,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_pair_full,1,147.57435396313667,full,3,30,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_pair_full,2,147.5751029793173,full,3,30,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_pair_full,3,147.6160199381411,full,3,30,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_pair_full,4,147.56580209359527,full,3,30,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_pair_full,5,147.79280801303685,full,3,30,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_pair_full,6,147.92305696755648,full,3,30,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_pair_full,7,147.4807111080736,full,3,30,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_pair_full,8,148.26512685976923,full,3,30,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_pair_full,9,147.6465098094195,full,3,30,cuda
