dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,0,35.34397203475237,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,1,35.45023803599179,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,2,34.63817108422518,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,3,34.69924419187009,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,4,34.4983150716871,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,5,34.511146834120154,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,6,34.71311298198998,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,7,34.90857686847448,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,8,34.6017989795655,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,9,34.548728028312325,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,10,34.49800913222134,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,11,34.73604912869632,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,12,34.70109379850328,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,13,34.53128505498171,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,14,34.54486816190183,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,15,34.81310303322971,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,16,34.601168939843774,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,17,34.520882880315185,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,18,34.32511095888913,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,19,34.46258301846683,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,20,34.27390707656741,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,21,34.41934194415808,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,22,34.24831316806376,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,23,34.31186988018453,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,24,34.334650030359626,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,25,34.605690045282245,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,26,34.319426864385605,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,27,34.31841800920665,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,28,34.32407206855714,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,29,34.57440505735576,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_pair_full,0,49.59488892927766,full,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_pair_full,1,49.85311417840421,full,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_pair_full,2,48.72567392885685,full,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_pair_full,3,49.0950180683285,full,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_pair_full,4,49.17893488891423,full,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_pair_full,5,49.271429190412164,full,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_pair_full,6,49.03494706377387,full,3,30,cuda
