system,category,case,mode,stage,mean_ms,std_ms,num_edges,num_pairs
bulk_large,large_dense,baseline,forward_energy,conv_message_gather_ms,0.1145747567837437,0.0019877197381694385,12408,0
bulk_large,large_dense,baseline,forward_energy,conv_message_tp_ms,0.6466706050559878,0.04397449045605533,12408,0
bulk_large,large_dense,baseline,forward_energy,conv_src_gather_ms,0.037813729917009674,0.0007329036235666333,12408,0
bulk_large,large_dense,baseline,forward_energy,conv_weight_expand_ms,0.0,0.0,12408,0
bulk_large,large_dense,baseline,forward_energy,conv_weight_nn_ms,0.22421171112606922,0.021745632157961072,12408,0
bulk_large,large_dense,baseline,forward_energy,edge_attr_expand_ms,0.0,0.0,12408,0
bulk_large,large_dense,baseline,forward_energy,edge_attr_sign_ms,0.0,0.0,12408,0
bulk_large,large_dense,baseline,forward_energy,edge_embedding_expand_ms,0.0,0.0,12408,0
bulk_large,large_dense,baseline,forward_energy,edge_length_expand_ms,0.0,0.0,12408,0
bulk_large,large_dense,baseline,forward_energy,edge_length_norm_ms,0.013246286349991957,0.00023475334845605932,12408,0
bulk_large,large_dense,baseline,forward_energy,edge_pair_vec_select_ms,0.0,0.0,12408,0
bulk_large,large_dense,baseline,forward_energy,model_total_ms,2.9971545174097023,0.08105167356212692,12408,0
bulk_large,large_dense,baseline,forward_energy,radial_basis_cutoff_ms,0.09461034399767716,0.008726562606406323,12408,0
bulk_large,large_dense,baseline,forward_energy,spherical_harmonics_ms,0.12643839387844005,0.028881240190296465,12408,0
bulk_large,large_dense,geometry_only,forward_energy,conv_message_gather_ms,0.11591596994549036,0.003218695519951234,12408,6204
bulk_large,large_dense,geometry_only,forward_energy,conv_message_tp_ms,0.6413696721817056,0.010751032876209836,12408,6204
bulk_large,large_dense,geometry_only,forward_energy,conv_src_gather_ms,0.029076503900190193,0.001501325604222054,12408,6204
bulk_large,large_dense,geometry_only,forward_energy,conv_weight_expand_ms,0.036219561782975994,0.0014208407873565736,12408,6204
bulk_large,large_dense,geometry_only,forward_energy,conv_weight_nn_ms,0.22100780624896288,0.00793506961750277,12408,6204
bulk_large,large_dense,geometry_only,forward_energy,edge_attr_expand_ms,0.010019812422494093,0.0007855347348729716,12408,6204
bulk_large,large_dense,geometry_only,forward_energy,edge_attr_sign_ms,0.01890770314882199,0.00048704545532777133,12408,6204
bulk_large,large_dense,geometry_only,forward_energy,edge_embedding_expand_ms,0.0,0.0,12408,6204
bulk_large,large_dense,geometry_only,forward_energy,edge_length_expand_ms,0.0,0.0,12408,6204
bulk_large,large_dense,geometry_only,forward_energy,edge_length_norm_ms,0.012523657642304897,0.0002176109272432401,12408,6204
bulk_large,large_dense,geometry_only,forward_energy,edge_pair_vec_select_ms,0.009682107095917067,0.00023973128897802751,12408,6204
bulk_large,large_dense,geometry_only,forward_energy,model_total_ms,3.1065175853048763,0.05214852260415564,12408,6204
bulk_large,large_dense,geometry_only,forward_energy,radial_basis_cutoff_ms,0.08605596764634053,0.010318074837039767,12408,6204
bulk_large,large_dense,geometry_only,forward_energy,spherical_harmonics_ms,0.0953213544562459,0.009069625355211376,12408,6204
bulk_small,small_dense,baseline,forward_energy,conv_message_gather_ms,0.10884190754344066,0.001602215538775591,960,0
bulk_small,small_dense,baseline,forward_energy,conv_message_tp_ms,0.6148864359905323,0.014818830231155121,960,0
bulk_small,small_dense,baseline,forward_energy,conv_src_gather_ms,0.034545703480641045,0.0077315147163782025,960,0
bulk_small,small_dense,baseline,forward_energy,conv_weight_expand_ms,0.0,0.0,960,0
bulk_small,small_dense,baseline,forward_energy,conv_weight_nn_ms,0.2329145014906923,0.023109308904955737,960,0
bulk_small,small_dense,baseline,forward_energy,edge_attr_expand_ms,0.0,0.0,960,0
bulk_small,small_dense,baseline,forward_energy,edge_attr_sign_ms,0.0,0.0,960,0
bulk_small,small_dense,baseline,forward_energy,edge_embedding_expand_ms,0.0,0.0,960,0
bulk_small,small_dense,baseline,forward_energy,edge_length_expand_ms,0.0,0.0,960,0
bulk_small,small_dense,baseline,forward_energy,edge_length_norm_ms,0.013405169981221357,0.0007953573467605624,960,0
bulk_small,small_dense,baseline,forward_energy,edge_pair_vec_select_ms,0.0,0.0,960,0
bulk_small,small_dense,baseline,forward_energy,model_total_ms,2.9400413235028586,0.05667072638125733,960,0
bulk_small,small_dense,baseline,forward_energy,radial_basis_cutoff_ms,0.093575621334215,0.00868716620279213,960,0
bulk_small,small_dense,baseline,forward_energy,spherical_harmonics_ms,0.1244512852281332,0.023979862343343972,960,0
bulk_small,small_dense,geometry_only,forward_energy,conv_message_gather_ms,0.11081322251508634,0.0046804214114112164,960,480
bulk_small,small_dense,geometry_only,forward_energy,conv_message_tp_ms,0.6182170783480009,0.017166960310917512,960,480
bulk_small,small_dense,geometry_only,forward_energy,conv_src_gather_ms,0.02407113400598367,0.0007213111298135263,960,480
bulk_small,small_dense,geometry_only,forward_energy,conv_weight_expand_ms,0.033816322684288025,0.005863150715577983,960,480
bulk_small,small_dense,geometry_only,forward_energy,conv_weight_nn_ms,0.2304876921698451,0.007205726204838127,960,480
bulk_small,small_dense,geometry_only,forward_energy,edge_attr_expand_ms,0.00938117348899444,0.00012674061909830007,960,480
bulk_small,small_dense,geometry_only,forward_energy,edge_attr_sign_ms,0.019027905849119026,0.0011079206799436863,960,480
bulk_small,small_dense,geometry_only,forward_energy,edge_embedding_expand_ms,0.0,0.0,960,480
bulk_small,small_dense,geometry_only,forward_energy,edge_length_expand_ms,0.0,0.0,960,480
bulk_small,small_dense,geometry_only,forward_energy,edge_length_norm_ms,0.01229246457417806,0.00017545481281389233,960,480
bulk_small,small_dense,geometry_only,forward_energy,edge_pair_vec_select_ms,0.009683985263109207,0.00017568010549193734,960,480
bulk_small,small_dense,geometry_only,forward_energy,model_total_ms,3.0470838226998844,0.05997926858241205,960,480
bulk_small,small_dense,geometry_only,forward_energy,radial_basis_cutoff_ms,0.08237305252502362,0.0014268924349931575,960,480
bulk_small,small_dense,geometry_only,forward_energy,spherical_harmonics_ms,0.09207137239476045,0.0012107609357882114,960,480
dimer_small,small_sparse,baseline,forward_energy,conv_message_gather_ms,0.109369905355076,0.006560848158524086,2,0
dimer_small,small_sparse,baseline,forward_energy,conv_message_tp_ms,0.5907134696220359,0.014093416446183048,2,0
dimer_small,small_sparse,baseline,forward_energy,conv_src_gather_ms,0.0345014501363039,0.008502584170846834,2,0
dimer_small,small_sparse,baseline,forward_energy,conv_weight_expand_ms,0.0,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,conv_weight_nn_ms,0.20957032684236765,0.010367529467860718,2,0
dimer_small,small_sparse,baseline,forward_energy,edge_attr_expand_ms,0.0,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,edge_attr_sign_ms,0.0,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,edge_embedding_expand_ms,0.0,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,edge_length_expand_ms,0.0,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,edge_length_norm_ms,0.013457549115022024,0.0010465686821007037,2,0
dimer_small,small_sparse,baseline,forward_energy,edge_pair_vec_select_ms,0.0,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,model_total_ms,2.8304812343170247,0.08381336762472456,2,0
dimer_small,small_sparse,baseline,forward_energy,radial_basis_cutoff_ms,0.09133690036833286,0.009166686808463729,2,0
dimer_small,small_sparse,baseline,forward_energy,spherical_harmonics_ms,0.10617746350665887,0.026794213014933087,2,0
dimer_small,small_sparse,geometry_only,forward_energy,conv_message_gather_ms,0.1066368306055665,0.001116390864235888,2,1
dimer_small,small_sparse,geometry_only,forward_energy,conv_message_tp_ms,0.589898694306612,0.013154773071858694,2,1
dimer_small,small_sparse,geometry_only,forward_energy,conv_src_gather_ms,0.02396619723488887,0.0008691627910652606,2,1
dimer_small,small_sparse,geometry_only,forward_energy,conv_weight_expand_ms,0.03165820768723885,0.0004597376861092021,2,1
dimer_small,small_sparse,geometry_only,forward_energy,conv_weight_nn_ms,0.21376886870712042,0.005184224889587466,2,1
dimer_small,small_sparse,geometry_only,forward_energy,edge_attr_expand_ms,0.009288258540133635,0.0007970904039244293,2,1
dimer_small,small_sparse,geometry_only,forward_energy,edge_attr_sign_ms,0.01831794312844674,0.002241369126249787,2,1
dimer_small,small_sparse,geometry_only,forward_energy,edge_embedding_expand_ms,0.0,0.0,2,1
dimer_small,small_sparse,geometry_only,forward_energy,edge_length_expand_ms,0.0,0.0,2,1
dimer_small,small_sparse,geometry_only,forward_energy,edge_length_norm_ms,0.01193922944366932,0.00020618793590028805,2,1
dimer_small,small_sparse,geometry_only,forward_energy,edge_pair_vec_select_ms,0.00956749233106772,0.000239331304909022,2,1
