dataset,sample_id,modal,natoms,case,n_warmup,n_repeat,device,resolved_policy,abs_energy_diff_mean,abs_energy_diff_std,abs_energy_diff_max,max_force_diff_mean,max_force_diff_std,max_force_diff_max,mean_force_diff_mean,mean_force_diff_std,mean_force_diff_max
ani1ccx,055:0,spice,55,sevennet_baseline,2,30,cuda,baseline,0.0,0.0,0.0,1.0768572489420573e-06,1.9340663788537912e-07,1.6689300537109375e-06,1.9684584534237123e-07,1.638514326654639e-08,2.3189367936993222e-07
ani1ccx,055:0,spice,55,sevennet_geometry_only,2,30,cuda,geometry_only,0.0,0.0,0.0,1.7027060190836588e-06,3.0302121833036794e-07,2.5033950805664062e-06,3.158391412701652e-07,1.6371732510456683e-08,3.525930765135854e-07
ani1x,ani1x-release_416625,spice,63,sevennet_baseline,2,30,cuda,baseline,0.0,0.0,0.0,1.2536843617757162e-06,3.317694450797507e-07,2.1457672119140625e-06,2.0402797341982176e-07,1.2566955603144969e-08,2.2837606650227826e-07
ani1x,ani1x-release_416625,spice,63,sevennet_geometry_only,2,30,cuda,geometry_only,0.0,0.0,0.0,1.491109530131022e-06,2.954774979446177e-07,2.6226043701171875e-06,2.680329956206151e-07,1.9387762018366594e-08,3.1382120369016775e-07
iso17,iso17,spice,19,sevennet_baseline,2,30,cuda,baseline,0.0,0.0,0.0,9.874502817789713e-07,2.0758244016343717e-07,1.5497207641601562e-06,2.2742134812384998e-07,2.788502542539419e-08,2.8070388680134783e-07
iso17,iso17,spice,19,sevennet_geometry_only,2,30,cuda,geometry_only,0.0,0.0,0.0,1.3053417205810546e-06,2.966691089460069e-07,2.086162567138672e-06,3.1611157851330064e-07,3.300857102505299e-08,4.323950975049229e-07
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_baseline,2,30,cuda,baseline,0.0,0.0,0.0,1.189112663269043e-06,2.3166074486846902e-07,1.7881393432617188e-06,2.1618017361409633e-07,1.5935055038084783e-08,2.461500230310776e-07
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_geometry_only,2,30,cuda,geometry_only,0.0,0.0,0.0,1.8715858459472655e-06,3.6438544503822325e-07,2.5033950805664062e-06,3.2479800893270294e-07,3.2957716763911796e-08,3.926928968667198e-07
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,2,30,cuda,baseline,0.0,0.0,0.0,1.4414389928181966e-06,1.7487697595766252e-07,1.9073486328125e-06,2.787041433786423e-07,1.8648272199930203e-08,3.1689802426626557e-07
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_geometry_only,2,30,cuda,geometry_only,0.0,0.0,0.0,2.0133952299753826e-06,2.9741216722457754e-07,2.86102294921875e-06,3.5733941482855396e-07,2.6583850907512374e-08,4.150516588197206e-07
