dataset,sample_id,modal,natoms,case,repeat_idx,energy,abs_energy_diff_vs_reference,max_abs_force_diff_vs_reference,mean_abs_force_diff_vs_reference,n_warmup,n_repeat,device,resolved_policy
ani1ccx,055:0,spice,55,sevennet_baseline,0,-22310.2578125,0.0,9.5367431640625e-07,1.8917701538612164e-07,2,30,cuda,baseline
ani1ccx,055:0,spice,55,sevennet_baseline,1,-22310.2578125,0.0,9.5367431640625e-07,2.0708098702471034e-07,2,30,cuda,baseline
ani1ccx,055:0,spice,55,sevennet_baseline,2,-22310.2578125,0.0,7.152557373046875e-07,1.9017042518498783e-07,2,30,cuda,baseline
ani1ccx,055:0,spice,55,sevennet_baseline,3,-22310.2578125,0.0,1.1920928955078125e-06,1.9030589726298786e-07,2,30,cuda,baseline
ani1ccx,055:0,spice,55,sevennet_baseline,4,-22310.2578125,0.0,1.1920928955078125e-06,1.889060854409763e-07,2,30,cuda,baseline
ani1ccx,055:0,spice,55,sevennet_baseline,5,-22310.2578125,0.0,9.5367431640625e-07,1.5709436240740615e-07,2,30,cuda,baseline
ani1ccx,055:0,spice,55,sevennet_baseline,6,-22310.2578125,0.0,1.6689300537109375e-06,2.0678747603142256e-07,2,30,cuda,baseline
ani1ccx,055:0,spice,55,sevennet_baseline,7,-22310.2578125,0.0,9.5367431640625e-07,2.0263321687252756e-07,2,30,cuda,baseline
ani1ccx,055:0,spice,55,sevennet_baseline,8,-22310.2578125,0.0,1.1920928955078125e-06,2.1347042888919532e-07,2,30,cuda,baseline
ani1ccx,055:0,spice,55,sevennet_baseline,9,-22310.2578125,0.0,9.5367431640625e-07,2.020010470005218e-07,2,30,cuda,baseline
ani1ccx,055:0,spice,55,sevennet_baseline,10,-22310.2578125,0.0,8.344650268554688e-07,1.7109242378410272e-07,2,30,cuda,baseline
ani1ccx,055:0,spice,55,sevennet_baseline,11,-22310.2578125,0.0,9.5367431640625e-07,1.801685840518985e-07,2,30,cuda,baseline
ani1ccx,055:0,spice,55,sevennet_baseline,12,-22310.2578125,0.0,1.1920928955078125e-06,1.8888350439283386e-07,2,30,cuda,baseline
