dataset,sample_id,modal,natoms,case,repeat_idx,energy,abs_energy_diff_vs_reference,max_abs_force_diff_vs_reference,mean_abs_force_diff_vs_reference,n_warmup,n_repeat,device,resolved_policy
iso17,iso17,spice,19,sevennet_baseline,0,-11519.1826171875,0.0,9.5367431640625e-07,2.4096746642499056e-07,2,30,cuda,baseline
iso17,iso17,spice,19,sevennet_baseline,1,-11519.1826171875,0.0,1.0132789611816406e-06,2.6521453833083797e-07,2,30,cuda,baseline
iso17,iso17,spice,19,sevennet_baseline,2,-11519.1826171875,0.0,1.0728836059570312e-06,2.2861517834371625e-07,2,30,cuda,baseline
iso17,iso17,spice,19,sevennet_baseline,3,-11519.1826171875,0.0,1.0728836059570312e-06,2.2397490795356134e-07,2,30,cuda,baseline
iso17,iso17,spice,19,sevennet_baseline,4,-11519.1826171875,0.0,8.344650268554688e-07,2.1397544003320945e-07,2,30,cuda,baseline
iso17,iso17,spice,19,sevennet_baseline,5,-11519.1826171875,0.0,9.5367431640625e-07,2.347586445239358e-07,2,30,cuda,baseline
iso17,iso17,spice,19,sevennet_baseline,6,-11519.1826171875,0.0,1.0132789611816406e-06,2.6240422812406905e-07,2,30,cuda,baseline
iso17,iso17,spice,19,sevennet_baseline,7,-11519.1826171875,0.0,8.344650268554688e-07,2.1351794998736295e-07,2,30,cuda,baseline
iso17,iso17,spice,19,sevennet_baseline,8,-11519.1826171875,0.0,9.5367431640625e-07,2.641034768657846e-07,2,30,cuda,baseline
iso17,iso17,spice,19,sevennet_baseline,9,-11519.1826171875,0.0,6.556510925292969e-07,2.101194382930771e-07,2,30,cuda,baseline
iso17,iso17,spice,19,sevennet_baseline,10,-11519.1826171875,0.0,7.152557373046875e-07,2.036492077195362e-07,2,30,cuda,baseline
iso17,iso17,spice,19,sevennet_baseline,11,-11519.1826171875,0.0,8.344650268554688e-07,2.1639361591496709e-07,2,30,cuda,baseline
iso17,iso17,spice,19,sevennet_baseline,12,-11519.1826171875,0.0,8.344650268554688e-07,2.068516522513164e-07,2,30,cuda,baseline
iso17,iso17,spice,19,sevennet_baseline,13,-11519.1826171875,0.0,9.5367431640625e-07,2.3194833431716688e-07,2,30,cuda,baseline
iso17,iso17,spice,19,sevennet_baseline,14,-11519.1826171875,0.0,8.344650268554688e-07,2.3037979701712175e-07,2,30,cuda,baseline
iso17,iso17,spice,19,sevennet_baseline,15,-11519.1826171875,0.0,8.344650268554688e-07,2.0482561069457006e-07,2,30,cuda,baseline
iso17,iso17,spice,19,sevennet_baseline,16,-11519.1826171875,0.0,1.5497207641601562e-06,2.4462738679176255e-07,2,30,cuda,baseline
iso17,iso17,spice,19,sevennet_baseline,17,-11519.1826171875,0.0,1.1920928955078125e-06,2.8070388680134783e-07,2,30,cuda,baseline
iso17,iso17,spice,19,sevennet_baseline,18,-11519.1826171875,0.0,9.5367431640625e-07,2.050216778570757e-07,2,30,cuda,baseline
iso17,iso17,spice,19,sevennet_baseline,19,-11519.1826171875,0.0,5.960464477539062e-07,1.7182084377509454e-07,2,30,cuda,baseline
iso17,iso17,spice,19,sevennet_baseline,20,-11519.1826171875,0.0,6.556510925292969e-07,1.8815984503817162e-07,2,30,cuda,baseline
iso17,iso17,spice,19,sevennet_baseline,21,-11519.1826171875,0.0,1.3113021850585938e-06,2.691358815809508e-07,2,30,cuda,baseline
iso17,iso17,spice,19,sevennet_baseline,22,-11519.1826171875,0.0,1.2516975402832031e-06,2.7508326638781e-07,2,30,cuda,baseline
iso17,iso17,spice,19,sevennet_baseline,23,-11519.1826171875,0.0,1.0728836059570312e-06,2.031263619528545e-07,2,30,cuda,baseline
iso17,iso17,spice,19,sevennet_baseline,24,-11519.1826171875,0.0,1.1026859283447266e-06,2.1907321468006558e-07,2,30,cuda,baseline
iso17,iso17,spice,19,sevennet_baseline,25,-11519.1826171875,0.0,1.3113021850585938e-06,2.0384527488204185e-07,2,30,cuda,baseline
iso17,iso17,spice,19,sevennet_baseline,26,-11519.1826171875,0.0,1.0728836059570312e-06,2.429935079817369e-07,2,30,cuda,baseline
iso17,iso17,spice,19,sevennet_baseline,27,-11519.1826171875,0.0,1.0728836059570312e-06,1.7829108855949016e-07,2,30,cuda,baseline
iso17,iso17,spice,19,sevennet_baseline,28,-11519.1826171875,0.0,1.0728836059570312e-06,2.416210236333427e-07,2,30,cuda,baseline
iso17,iso17,spice,19,sevennet_baseline,29,-11519.1826171875,0.0,1.043081283569336e-06,2.4743769699853146e-07,2,30,cuda,baseline
iso17,iso17,spice,19,sevennet_geometry_only,0,-11519.1826171875,0.0,1.1920928955078125e-06,3.3756359130165947e-07,2,30,cuda,geometry_only
iso17,iso17,spice,19,sevennet_geometry_only,1,-11519.1826171875,0.0,1.6689300537109375e-06,3.634445420175325e-07,2,30,cuda,geometry_only
iso17,iso17,spice,19,sevennet_geometry_only,2,-11519.1826171875,0.0,1.1920928955078125e-06,3.202442542260542e-07,2,30,cuda,geometry_only
iso17,iso17,spice,19,sevennet_geometry_only,3,-11519.1826171875,0.0,2.0265579223632812e-06,3.194599855760316e-07,2,30,cuda,geometry_only
iso17,iso17,spice,19,sevennet_geometry_only,4,-11519.1826171875,0.0,1.3113021850585938e-06,3.3050514502974693e-07,2,30,cuda,geometry_only
iso17,iso17,spice,19,sevennet_geometry_only,5,-11519.1826171875,0.0,9.5367431640625e-07,3.2959016493805393e-07,2,30,cuda,geometry_only
