dataset,sample_id,modal,natoms,case,repeat_idx,energy,abs_energy_diff_vs_reference,max_abs_force_diff_vs_reference,mean_abs_force_diff_vs_reference,n_warmup,n_repeat,device,resolved_policy
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,0,-50179.5546875,0.0,1.430511474609375e-06,2.6217765025648987e-07,2,30,cuda,baseline
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,1,-50179.5546875,0.0,1.430511474609375e-06,2.862678627479909e-07,2,30,cuda,baseline
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,2,-50179.5546875,0.0,1.1920928955078125e-06,2.603977975468297e-07,2,30,cuda,baseline
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,3,-50179.5546875,0.0,1.6689300537109375e-06,3.0615677815148956e-07,2,30,cuda,baseline
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,4,-50179.5546875,0.0,1.3113021850585938e-06,2.632331472796068e-07,2,30,cuda,baseline
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,5,-50179.5546875,0.0,1.3113021850585938e-06,2.640816774146515e-07,2,30,cuda,baseline
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,6,-50179.5546875,0.0,1.430511474609375e-06,2.765821136563318e-07,2,30,cuda,baseline
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,7,-50179.5546875,0.0,1.1324882507324219e-06,2.5058787400666915e-07,2,30,cuda,baseline
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,8,-50179.5546875,0.0,1.430511474609375e-06,2.834945860286098e-07,2,30,cuda,baseline
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,9,-50179.5546875,0.0,1.6689300537109375e-06,3.1689802426626557e-07,2,30,cuda,baseline
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,10,-50179.5546875,0.0,1.3113021850585938e-06,2.3321352671246132e-07,2,30,cuda,baseline
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,11,-50179.5546875,0.0,1.430511474609375e-06,2.827391938353685e-07,2,30,cuda,baseline
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,12,-50179.5546875,0.0,1.3113021850585938e-06,2.855435070614476e-07,2,30,cuda,baseline
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,13,-50179.5546875,0.0,1.430511474609375e-06,2.7977964123238053e-07,2,30,cuda,baseline
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,14,-50179.5546875,0.0,1.430511474609375e-06,2.840120032487903e-07,2,30,cuda,baseline
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,15,-50179.5546875,0.0,1.430511474609375e-06,2.5438558282075974e-07,2,30,cuda,baseline
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,16,-50179.5546875,0.0,1.6689300537109375e-06,2.850571547696745e-07,2,30,cuda,baseline
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,17,-50179.5546875,0.0,1.430511474609375e-06,2.795416378376103e-07,2,30,cuda,baseline
