dataset,sample_id,modal,natoms,case,repeat_idx,energy,abs_energy_diff_vs_reference,max_abs_force_diff_vs_reference,mean_abs_force_diff_vs_reference,n_warmup,n_repeat,device,resolved_policy
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,0,-101233.21875,0.0,1.7881393432617188e-06,3.060841606838949e-07,2,30,cuda,baseline
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,1,-101233.21875,0.0,1.996755599975586e-06,3.424636361160083e-07,2,30,cuda,baseline
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,2,-101233.21875,0.0,1.6689300537109375e-06,3.4339495869062375e-07,2,30,cuda,baseline
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,3,-101233.21875,0.0,1.9073486328125e-06,3.1134061373450095e-07,2,30,cuda,baseline
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,4,-101233.21875,0.0,2.384185791015625e-06,3.3430271173529036e-07,2,30,cuda,baseline
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,5,-101233.21875,0.0,1.7285346984863281e-06,3.013959712916403e-07,2,30,cuda,baseline
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,6,-101233.21875,0.0,2.1457672119140625e-06,3.052633417155448e-07,2,30,cuda,baseline
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,7,-101233.21875,0.0,1.9073486328125e-06,3.2003296723814856e-07,2,30,cuda,baseline
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,8,-101233.21875,0.0,1.7881393432617188e-06,2.9670781032109517e-07,2,30,cuda,baseline
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,9,-101233.21875,0.0,2.0265579223632812e-06,2.9430319159473584e-07,2,30,cuda,baseline
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,10,-101233.21875,0.0,1.5497207641601562e-06,3.134242376745533e-07,2,30,cuda,baseline
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,11,-101233.21875,0.0,2.1457672119140625e-06,3.194752196122863e-07,2,30,cuda,baseline
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,12,-101233.21875,0.0,1.9073486328125e-06,3.2417918305327476e-07,2,30,cuda,baseline
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,13,-101233.21875,0.0,2.4437904357910156e-06,3.32808383518568e-07,2,30,cuda,baseline
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,14,-101233.21875,0.0,1.7881393432617188e-06,3.378280553079094e-07,2,30,cuda,baseline
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,15,-101233.21875,0.0,2.3245811462402344e-06,3.042478340375965e-07,2,30,cuda,baseline
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,16,-101233.21875,0.0,1.996755599975586e-06,3.157130947784026e-07,2,30,cuda,baseline
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,17,-101233.21875,0.0,2.1457672119140625e-06,3.338817862186261e-07,2,30,cuda,baseline
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,18,-101233.21875,0.0,2.1457672119140625e-06,3.4898815215456125e-07,2,30,cuda,baseline
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,19,-101233.21875,0.0,2.86102294921875e-06,3.2623125889585936e-07,2,30,cuda,baseline
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,20,-101233.21875,0.0,2.1457672119140625e-06,3.1093546226657054e-07,2,30,cuda,baseline
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,21,-101233.21875,0.0,1.9073486328125e-06,3.07862620729793e-07,2,30,cuda,baseline
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,22,-101233.21875,0.0,1.7285346984863281e-06,3.6850383366981987e-07,2,30,cuda,baseline
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,23,-101233.21875,0.0,1.9073486328125e-06,3.3108781849477964e-07,2,30,cuda,baseline
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,24,-101233.21875,0.0,2.6226043701171875e-06,3.461415474248497e-07,2,30,cuda,baseline
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,25,-101233.21875,0.0,2.384185791015625e-06,3.463204620857141e-07,2,30,cuda,baseline
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,26,-101233.21875,0.0,1.9073486328125e-06,3.2514734016331204e-07,2,30,cuda,baseline
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,27,-101233.21875,0.0,2.1457672119140625e-06,3.595220903207519e-07,2,30,cuda,baseline
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,28,-101233.21875,0.0,2.2649765014648438e-06,3.189227300026687e-07,2,30,cuda,baseline
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,29,-101233.21875,0.0,2.7418136596679688e-06,3.409324733638641e-07,2,30,cuda,baseline
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_geometry_only,0,-101233.21875,0.0,2.682209014892578e-06,4.6663470243402116e-07,2,30,cuda,geometry_only
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_geometry_only,1,-101233.21875,0.0,2.1457672119140625e-06,4.1416492990720144e-07,2,30,cuda,geometry_only
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_geometry_only,2,-101233.21875,0.0,2.4437904357910156e-06,4.82382972677442e-07,2,30,cuda,geometry_only
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_geometry_only,3,-101233.21875,0.0,3.0994415283203125e-06,4.650404150652321e-07,2,30,cuda,geometry_only
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_geometry_only,4,-101233.21875,0.0,3.814697265625e-06,4.5972080897627166e-07,2,30,cuda,geometry_only
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_geometry_only,5,-101233.21875,0.0,2.384185791015625e-06,4.644774094231252e-07,2,30,cuda,geometry_only
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_geometry_only,6,-101233.21875,0.0,3.159046173095703e-06,4.2925552179440274e-07,2,30,cuda,geometry_only
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_geometry_only,7,-101233.21875,0.0,2.3245811462402344e-06,4.819988816961995e-07,2,30,cuda,geometry_only
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_geometry_only,8,-101233.21875,0.0,2.428889274597168e-06,4.297132818464888e-07,2,30,cuda,geometry_only
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_geometry_only,9,-101233.21875,0.0,3.5762786865234375e-06,4.391843617668201e-07,2,30,cuda,geometry_only
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_geometry_only,10,-101233.21875,0.0,2.9206275939941406e-06,4.226836551879387e-07,2,30,cuda,geometry_only
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_geometry_only,11,-101233.21875,0.0,3.3974647521972656e-06,4.824619281862397e-07,2,30,cuda,geometry_only
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_geometry_only,12,-101233.21875,0.0,3.874301910400391e-06,4.962055299984058e-07,2,30,cuda,geometry_only
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_geometry_only,13,-101233.21875,0.0,4.291534423828125e-06,4.5500632950279396e-07,2,30,cuda,geometry_only
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_geometry_only,14,-101233.21875,0.0,2.9206275939941406e-06,4.5305949925023015e-07,2,30,cuda,geometry_only
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_geometry_only,15,-101233.21875,0.0,2.384185791015625e-06,4.41841535803178e-07,2,30,cuda,geometry_only
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_geometry_only,16,-101233.21875,0.0,3.635883331298828e-06,4.587947444179008e-07,2,30,cuda,geometry_only
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_geometry_only,17,-101233.21875,0.0,2.86102294921875e-06,4.699811597674852e-07,2,30,cuda,geometry_only
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_geometry_only,18,-101233.21875,0.0,2.384185791015625e-06,4.342541330970562e-07,2,30,cuda,geometry_only
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_geometry_only,19,-101233.21875,0.0,2.4437904357910156e-06,4.388949719213997e-07,2,30,cuda,geometry_only
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_geometry_only,20,-101233.21875,0.0,2.6226043701171875e-06,4.216891795749689e-07,2,30,cuda,geometry_only
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_geometry_only,21,-101233.21875,0.0,2.682209014892578e-06,4.492184473292582e-07,2,30,cuda,geometry_only
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_geometry_only,22,-101233.21875,0.0,2.384185791015625e-06,4.3602207711046503e-07,2,30,cuda,geometry_only
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_geometry_only,23,-101233.21875,0.0,2.4437904357910156e-06,4.261669062088913e-07,2,30,cuda,geometry_only
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_geometry_only,24,-101233.21875,0.0,2.1457672119140625e-06,4.38068894936805e-07,2,30,cuda,geometry_only
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_geometry_only,25,-101233.21875,0.0,2.9206275939941406e-06,4.736169785246602e-07,2,30,cuda,geometry_only
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_geometry_only,26,-101233.21875,0.0,2.6226043701171875e-06,3.9483342106905184e-07,2,30,cuda,geometry_only
