dataset,sample_id,modal,natoms,case,repeat_idx,energy,abs_energy_diff_vs_reference,max_abs_force_diff_vs_reference,mean_abs_force_diff_vs_reference,n_warmup,n_repeat,device,resolved_policy
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,0,-338922.90625,0.0,2.1457672119140625e-06,4.0527299915993353e-07,2,30,cuda,baseline
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,1,-338922.90625,0.0,2.205371856689453e-06,3.977166898039286e-07,2,30,cuda,baseline
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,2,-338922.90625,0.0,3.0994415283203125e-06,4.147959771216847e-07,2,30,cuda,baseline
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,3,-338922.90625,0.0,3.337860107421875e-06,4.17322297607825e-07,2,30,cuda,baseline
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,4,-338922.90625,0.0,3.814697265625e-06,4.0433494064018305e-07,2,30,cuda,baseline
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,5,-338922.90625,0.0,2.1457672119140625e-06,4.139804445912887e-07,2,30,cuda,baseline
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,6,-338922.90625,0.0,3.2782554626464844e-06,4.3066117427770223e-07,2,30,cuda,baseline
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,7,-338922.90625,0.0,2.6226043701171875e-06,4.2302349356759805e-07,2,30,cuda,baseline
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,8,-338922.90625,0.0,2.682209014892578e-06,4.183509361155302e-07,2,30,cuda,baseline
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,9,-338922.90625,0.0,3.814697265625e-06,4.337806842613645e-07,2,30,cuda,baseline
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,10,-338922.90625,0.0,3.0994415283203125e-06,4.4420394829103316e-07,2,30,cuda,baseline
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,11,-338922.90625,0.0,2.2649765014648438e-06,4.072665262810915e-07,2,30,cuda,baseline
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,12,-338922.90625,0.0,2.5331974029541016e-06,4.3333517396604293e-07,2,30,cuda,baseline
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,13,-338922.90625,0.0,2.384185791015625e-06,4.2544829170765297e-07,2,30,cuda,baseline
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,14,-338922.90625,0.0,2.205371856689453e-06,4.3451231590552197e-07,2,30,cuda,baseline
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,15,-338922.90625,0.0,2.6226043701171875e-06,4.374187199118751e-07,2,30,cuda,baseline
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,16,-338922.90625,0.0,2.6226043701171875e-06,4.27079356768445e-07,2,30,cuda,baseline
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,17,-338922.90625,0.0,2.6226043701171875e-06,4.0759206854090735e-07,2,30,cuda,baseline
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,18,-338922.90625,0.0,2.384185791015625e-06,4.3096909507767123e-07,2,30,cuda,baseline
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,19,-338922.90625,0.0,2.86102294921875e-06,4.278957419501239e-07,2,30,cuda,baseline
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,20,-338922.90625,0.0,3.337860107421875e-06,4.00634007746703e-07,2,30,cuda,baseline
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,21,-338922.90625,0.0,3.5762786865234375e-06,4.3134500060659775e-07,2,30,cuda,baseline
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,22,-338922.90625,0.0,2.86102294921875e-06,4.180749044735421e-07,2,30,cuda,baseline
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,23,-338922.90625,0.0,2.4437904357910156e-06,4.3096909507767123e-07,2,30,cuda,baseline
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,24,-338922.90625,0.0,3.039836883544922e-06,4.4605400262298645e-07,2,30,cuda,baseline
