dataset,sample_id,modal,natoms,case,repeat_idx,energy,abs_energy_diff_vs_reference,max_abs_force_diff_vs_reference,mean_abs_force_diff_vs_reference,n_warmup,n_repeat,device,resolved_policy
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,0,-68594.703125,0.0,1.6689300537109375e-06,2.0873044093150384e-07,2,30,cuda,baseline
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,1,-68594.703125,0.0,1.1920928955078125e-06,2.0907299358441378e-07,2,30,cuda,baseline
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,2,-68594.703125,0.0,1.0728836059570312e-06,2.2748535855043883e-07,2,30,cuda,baseline
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,3,-68594.703125,0.0,9.5367431640625e-07,1.7785762906896707e-07,2,30,cuda,baseline
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,4,-68594.703125,0.0,1.430511474609375e-06,2.2765662777146645e-07,2,30,cuda,baseline
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,5,-68594.703125,0.0,1.3113021850585938e-06,2.2004904565164907e-07,2,30,cuda,baseline
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,6,-68594.703125,0.0,1.9073486328125e-06,2.4111619723043987e-07,2,30,cuda,baseline
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,7,-68594.703125,0.0,1.430511474609375e-06,2.2253257725424191e-07,2,30,cuda,baseline
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,8,-68594.703125,0.0,1.1920928955078125e-06,2.2978332481216057e-07,2,30,cuda,baseline
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,9,-68594.703125,0.0,9.5367431640625e-07,1.9588460986597056e-07,2,30,cuda,baseline
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,10,-68594.703125,0.0,1.430511474609375e-06,2.1555300122599874e-07,2,30,cuda,baseline
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,11,-68594.703125,0.0,1.1920928955078125e-06,2.390037820987345e-07,2,30,cuda,baseline
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,12,-68594.703125,0.0,1.1920928955078125e-06,2.340938181077945e-07,2,30,cuda,baseline
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,13,-68594.703125,0.0,1.1920928955078125e-06,2.283131976810182e-07,2,30,cuda,baseline
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,14,-68594.703125,0.0,1.1920928955078125e-06,2.1635230496031e-07,2,30,cuda,baseline
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,15,-68594.703125,0.0,1.3709068298339844e-06,2.0303545511524135e-07,2,30,cuda,baseline
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,16,-68594.703125,0.0,1.430511474609375e-06,2.451983220908005e-07,2,30,cuda,baseline
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,17,-68594.703125,0.0,1.0728836059570312e-06,1.946000338648446e-07,2,30,cuda,baseline
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,18,-68594.703125,0.0,1.4901161193847656e-06,1.9224496838887717e-07,2,30,cuda,baseline
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,19,-68594.703125,0.0,1.430511474609375e-06,1.940005631695385e-07,2,30,cuda,baseline
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,20,-68594.703125,0.0,1.1920928955078125e-06,2.1989204412875551e-07,2,30,cuda,baseline
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,21,-68594.703125,0.0,1.5497207641601562e-06,2.2865575033392815e-07,2,30,cuda,baseline
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,22,-68594.703125,0.0,1.430511474609375e-06,2.3306614593820996e-07,2,30,cuda,baseline
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,23,-68594.703125,0.0,1.9073486328125e-06,2.1224163049282652e-07,2,30,cuda,baseline
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,24,-68594.703125,0.0,1.1622905731201172e-06,2.009658572887929e-07,2,30,cuda,baseline
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,25,-68594.703125,0.0,1.1920928955078125e-06,1.9355809399712598e-07,2,30,cuda,baseline
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,26,-68594.703125,0.0,1.3113021850585938e-06,2.2497327734072314e-07,2,30,cuda,baseline
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,27,-68594.703125,0.0,1.430511474609375e-06,2.3035426011119853e-07,2,30,cuda,baseline
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,28,-68594.703125,0.0,9.5367431640625e-07,2.0962964697446296e-07,2,30,cuda,baseline
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,29,-68594.703125,0.0,9.5367431640625e-07,2.0780268528142187e-07,2,30,cuda,baseline
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_geometry_only,0,-68594.703125,0.0,1.1920928955078125e-06,2.9815169000357855e-07,2,30,cuda,geometry_only
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_geometry_only,1,-68594.703125,0.0,2.384185791015625e-06,3.2668370408828196e-07,2,30,cuda,geometry_only
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_geometry_only,2,-68594.703125,0.0,1.6093254089355469e-06,3.187335551046999e-07,2,30,cuda,geometry_only
