dataset,sample_id,modal,natoms,case,repeat_idx,energy,abs_energy_diff_vs_reference,max_abs_force_diff_vs_reference,mean_abs_force_diff_vs_reference,n_warmup,n_repeat,device,resolved_policy
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,sevennet_baseline,0,-987.1482543945312,6.103515625e-05,7.152557373046875e-07,1.4592443164929136e-07,2,30,cuda,baseline
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,sevennet_baseline,1,-987.1482543945312,6.103515625e-05,8.046627044677734e-07,1.3989614444653853e-07,2,30,cuda,baseline
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,sevennet_baseline,2,-987.148193359375,0.0,8.344650268554688e-07,1.4266852588207257e-07,2,30,cuda,baseline
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,sevennet_baseline,3,-987.148193359375,0.0,8.270144462585449e-07,1.4014212013080396e-07,2,30,cuda,baseline
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,sevennet_baseline,4,-987.148193359375,0.0,8.419156074523926e-07,1.4708251683259732e-07,2,30,cuda,baseline
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,sevennet_baseline,5,-987.148193359375,0.0,9.5367431640625e-07,1.4790948910103907e-07,2,30,cuda,baseline
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,sevennet_baseline,6,-987.148193359375,0.0,7.748603820800781e-07,1.391650954474244e-07,2,30,cuda,baseline
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,sevennet_baseline,7,-987.148193359375,0.0,7.152557373046875e-07,1.481466682662358e-07,2,30,cuda,baseline
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,sevennet_baseline,8,-987.148193359375,0.0,5.811452865600586e-07,1.4089063427036308e-07,2,30,cuda,baseline
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,sevennet_baseline,9,-987.148193359375,0.0,8.046627044677734e-07,1.4143557791612693e-07,2,30,cuda,baseline
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,sevennet_baseline,10,-987.148193359375,0.0,1.0654330253601074e-06,1.4771765677323856e-07,2,30,cuda,baseline
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,sevennet_baseline,11,-987.148193359375,0.0,8.642673492431641e-07,1.5056217250730697e-07,2,30,cuda,baseline
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,sevennet_baseline,12,-987.148193359375,0.0,8.344650268554688e-07,1.4583427798697812e-07,2,30,cuda,baseline
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,sevennet_baseline,13,-987.1482543945312,6.103515625e-05,7.748603820800781e-07,1.397427098481785e-07,2,30,cuda,baseline
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,sevennet_baseline,14,-987.148193359375,0.0,7.152557373046875e-07,1.505699600556909e-07,2,30,cuda,baseline
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,sevennet_baseline,15,-987.148193359375,0.0,6.705522537231445e-07,1.3943210319666832e-07,2,30,cuda,baseline
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,sevennet_baseline,16,-987.148193359375,0.0,7.227063179016113e-07,1.4869350195567677e-07,2,30,cuda,baseline
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,sevennet_baseline,17,-987.148193359375,0.0,7.748603820800781e-07,1.3853470193225803e-07,2,30,cuda,baseline
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,sevennet_baseline,18,-987.148193359375,0.0,9.313225746154785e-07,1.444324340127423e-07,2,30,cuda,baseline
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,sevennet_baseline,19,-987.148193359375,0.0,6.556510925292969e-07,1.3926620567872305e-07,2,30,cuda,baseline
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,sevennet_baseline,20,-987.148193359375,0.0,8.940696716308594e-07,1.4592076524877484e-07,2,30,cuda,baseline
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,sevennet_baseline,21,-987.148193359375,0.0,7.748603820800781e-07,1.361118506792991e-07,2,30,cuda,baseline
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,sevennet_baseline,22,-987.1482543945312,6.103515625e-05,7.152557373046875e-07,1.37712234504761e-07,2,30,cuda,baseline
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,sevennet_baseline,23,-987.1482543945312,6.103515625e-05,7.152557373046875e-07,1.385921564178716e-07,2,30,cuda,baseline
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,sevennet_baseline,24,-987.1482543945312,6.103515625e-05,7.152557373046875e-07,1.4488296073977835e-07,2,30,cuda,baseline
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,sevennet_baseline,25,-987.148193359375,0.0,7.078051567077637e-07,1.4207250842446228e-07,2,30,cuda,baseline
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,sevennet_baseline,26,-987.148193359375,0.0,8.940696716308594e-07,1.3709130541883496e-07,2,30,cuda,baseline
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,sevennet_baseline,27,-987.148193359375,0.0,8.344650268554688e-07,1.3838587165082572e-07,2,30,cuda,baseline
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,sevennet_baseline,28,-987.148193359375,0.0,7.152557373046875e-07,1.4169833661981102e-07,2,30,cuda,baseline
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,sevennet_baseline,29,-987.148193359375,0.0,9.98377799987793e-07,1.4329263819945481e-07,2,30,cuda,baseline
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,sevennet_geometry_only,0,-987.148193359375,0.0,1.1324882507324219e-06,2.0920946042224386e-07,2,30,cuda,geometry_only
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,sevennet_geometry_only,1,-987.148193359375,0.0,9.98377799987793e-07,2.14404835219284e-07,2,30,cuda,geometry_only
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,sevennet_geometry_only,2,-987.148193359375,0.0,1.1920928955078125e-06,2.1893742996326182e-07,2,30,cuda,geometry_only
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,sevennet_geometry_only,3,-987.1482543945312,6.103515625e-05,1.1920928955078125e-06,2.1452208898153913e-07,2,30,cuda,geometry_only
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,sevennet_geometry_only,4,-987.148193359375,0.0,8.977949619293213e-07,2.1040581543729786e-07,2,30,cuda,geometry_only
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,sevennet_geometry_only,5,-987.1482543945312,6.103515625e-05,1.1473894119262695e-06,2.1387292292729398e-07,2,30,cuda,geometry_only
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,sevennet_geometry_only,6,-987.1482543945312,6.103515625e-05,1.043081283569336e-06,2.1447375786465273e-07,2,30,cuda,geometry_only
