dataset,sample_id,modal,natoms,case,repeat_idx,energy,abs_energy_diff_vs_reference,max_abs_force_diff_vs_reference,mean_abs_force_diff_vs_reference,n_warmup,n_repeat,device,resolved_policy
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,0,-1551.4423828125,0.0,1.1920928955078125e-06,2.5053870444935455e-07,2,30,cuda,baseline
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,1,-1551.4423828125,0.0,1.1920928955078125e-06,2.3865720777394017e-07,2,30,cuda,baseline
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,2,-1551.4423828125,0.0,1.3113021850585938e-06,2.465519912675518e-07,2,30,cuda,baseline
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,3,-1551.4423828125,0.0,1.4007091522216797e-06,2.35144995031078e-07,2,30,cuda,baseline
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,4,-1551.4423828125,0.0,1.430511474609375e-06,2.387974404882698e-07,2,30,cuda,baseline
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,5,-1551.4423828125,0.0,1.1920928955078125e-06,2.479149259215774e-07,2,30,cuda,baseline
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,6,-1551.4423828125,0.0,1.519918441772461e-06,2.422323746031907e-07,2,30,cuda,baseline
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,7,-1551.4423828125,0.0,1.3597309589385986e-06,2.3644768987196585e-07,2,30,cuda,baseline
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,8,-1551.4423828125,0.0,1.1622905731201172e-06,2.486610810592538e-07,2,30,cuda,baseline
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,9,-1551.4423828125,0.0,1.1920928955078125e-06,2.472940536790702e-07,2,30,cuda,baseline
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,10,-1551.4423828125,0.0,1.1920928955078125e-06,2.595268426830444e-07,2,30,cuda,baseline
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,11,-1551.4423828125,0.0,1.3113021850585938e-06,2.347358361021179e-07,2,30,cuda,baseline
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,12,-1551.4423828125,0.0,1.1920928955078125e-06,2.4011816890379123e-07,2,30,cuda,baseline
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,13,-1551.4423828125,0.0,1.3709068298339844e-06,2.3757031897275738e-07,2,30,cuda,baseline
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,14,-1551.4423828125,0.0,1.430511474609375e-06,2.546180155604816e-07,2,30,cuda,baseline
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,15,-1551.4423828125,0.0,1.6242265701293945e-06,2.350775929471638e-07,2,30,cuda,baseline
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,16,-1551.4423828125,0.0,1.1920928955078125e-06,2.5346201937281876e-07,2,30,cuda,baseline
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,17,-1551.4423828125,0.0,1.1920928955078125e-06,2.391429347881058e-07,2,30,cuda,baseline
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,18,-1551.4423828125,0.0,1.4826655387878418e-06,2.458752987877233e-07,2,30,cuda,baseline
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,19,-1551.4423828125,0.0,1.1026859283447266e-06,2.2174566538524232e-07,2,30,cuda,baseline
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,20,-1551.4423828125,0.0,1.1920928955078125e-06,2.4080713956209365e-07,2,30,cuda,baseline
