dataset,sample_id,modal,natoms,case,repeat_idx,energy,abs_energy_diff_vs_reference,max_abs_force_diff_vs_reference,mean_abs_force_diff_vs_reference,n_warmup,n_repeat,device,resolved_policy
omat24_1m_official,train:106751,omat24,160,sevennet_baseline,0,-532.0814819335938,6.103515625e-05,0.0001220703125,1.2211113471494173e-06,2,30,cuda,baseline
omat24_1m_official,train:106751,omat24,160,sevennet_baseline,1,-532.0814208984375,0.0,0.000244140625,1.6361552752641728e-06,2,30,cuda,baseline
omat24_1m_official,train:106751,omat24,160,sevennet_baseline,2,-532.0814208984375,0.0,0.00018310546875,1.5469423715330777e-06,2,30,cuda,baseline
omat24_1m_official,train:106751,omat24,160,sevennet_baseline,3,-532.0814208984375,0.0,0.0001220703125,1.2487017784224008e-06,2,30,cuda,baseline
omat24_1m_official,train:106751,omat24,160,sevennet_baseline,4,-532.0814208984375,0.0,0.0003662109375,2.24248515223735e-06,2,30,cuda,baseline
omat24_1m_official,train:106751,omat24,160,sevennet_baseline,5,-532.0814208984375,0.0,0.0001220703125,1.2923575241075014e-06,2,30,cuda,baseline
omat24_1m_official,train:106751,omat24,160,sevennet_baseline,6,-532.0814819335938,6.103515625e-05,0.000244140625,1.8430407635605661e-06,2,30,cuda,baseline
omat24_1m_official,train:106751,omat24,160,sevennet_baseline,7,-532.0814208984375,0.0,0.0001220703125,1.3776744935967145e-06,2,30,cuda,baseline
omat24_1m_official,train:106751,omat24,160,sevennet_baseline,8,-532.0814819335938,6.103515625e-05,0.0001220703125,1.3099983107167645e-06,2,30,cuda,baseline
omat24_1m_official,train:106751,omat24,160,sevennet_baseline,9,-532.0814208984375,0.0,6.103515625e-05,1.1302220173092792e-06,2,30,cuda,baseline
omat24_1m_official,train:106751,omat24,160,sevennet_baseline,10,-532.0814819335938,6.103515625e-05,0.0001220703125,1.189570525639283e-06,2,30,cuda,baseline
omat24_1m_official,train:106751,omat24,160,sevennet_baseline,11,-532.0814208984375,0.0,0.00018310546875,1.7487909644842148e-06,2,30,cuda,baseline
omat24_1m_official,train:106751,omat24,160,sevennet_baseline,12,-532.0814208984375,0.0,0.000244140625,2.055490995189757e-06,2,30,cuda,baseline
omat24_1m_official,train:106751,omat24,160,sevennet_baseline,13,-532.0814208984375,0.0,0.000244140625,1.9922774754377315e-06,2,30,cuda,baseline
omat24_1m_official,train:106751,omat24,160,sevennet_baseline,14,-532.0814208984375,0.0,0.00030517578125,2.1748167000623653e-06,2,30,cuda,baseline
omat24_1m_official,train:106751,omat24,160,sevennet_baseline,15,-532.0814208984375,0.0,0.0001220703125,1.0590767942630919e-06,2,30,cuda,baseline
omat24_1m_official,train:106751,omat24,160,sevennet_baseline,16,-532.0814208984375,0.0,0.00018310546875,1.3982100881548831e-06,2,30,cuda,baseline
omat24_1m_official,train:106751,omat24,160,sevennet_baseline,17,-532.0814208984375,0.0,0.0001220703125,1.181894958790508e-06,2,30,cuda,baseline
omat24_1m_official,train:106751,omat24,160,sevennet_baseline,18,-532.0814819335938,6.103515625e-05,0.0001220703125,1.4815867643847014e-06,2,30,cuda,baseline
omat24_1m_official,train:106751,omat24,160,sevennet_baseline,19,-532.0814208984375,0.0,0.0001220703125,1.364348804600013e-06,2,30,cuda,baseline
omat24_1m_official,train:106751,omat24,160,sevennet_baseline,20,-532.0814208984375,0.0,0.000244140625,1.7755431827026769e-06,2,30,cuda,baseline
omat24_1m_official,train:106751,omat24,160,sevennet_baseline,21,-532.0814208984375,0.0,0.00018310546875,1.5658558822906343e-06,2,30,cuda,baseline
omat24_1m_official,train:106751,omat24,160,sevennet_baseline,22,-532.0814208984375,0.0,0.0001220703125,1.1974867675235146e-06,2,30,cuda,baseline
omat24_1m_official,train:106751,omat24,160,sevennet_baseline,23,-532.0814819335938,6.103515625e-05,6.103515625e-05,7.955434853101906e-07,2,30,cuda,baseline
omat24_1m_official,train:106751,omat24,160,sevennet_baseline,24,-532.0814208984375,0.0,0.0001220703125,1.2078400004611467e-06,2,30,cuda,baseline
omat24_1m_official,train:106751,omat24,160,sevennet_baseline,25,-532.0814819335938,6.103515625e-05,1.52587890625e-05,6.024415029060037e-07,2,30,cuda,baseline
omat24_1m_official,train:106751,omat24,160,sevennet_baseline,26,-532.0814208984375,0.0,0.00018310546875,1.4959058489694144e-06,2,30,cuda,baseline
omat24_1m_official,train:106751,omat24,160,sevennet_baseline,27,-532.0814208984375,0.0,0.0001220703125,1.303704152633145e-06,2,30,cuda,baseline
omat24_1m_official,train:106751,omat24,160,sevennet_baseline,28,-532.0814208984375,0.0,0.0001220703125,1.1904708117072005e-06,2,30,cuda,baseline
omat24_1m_official,train:106751,omat24,160,sevennet_baseline,29,-532.0814208984375,0.0,6.103515625e-05,1.0173379223488155e-06,2,30,cuda,baseline
omat24_1m_official,train:106751,omat24,160,sevennet_geometry_only,0,-532.0814208984375,0.0,0.00030517578125,1.993794739973964e-06,2,30,cuda,geometry_only
omat24_1m_official,train:106751,omat24,160,sevennet_geometry_only,1,-532.0814819335938,6.103515625e-05,0.00030517578125,2.0953905277565354e-06,2,30,cuda,geometry_only
omat24_1m_official,train:106751,omat24,160,sevennet_geometry_only,2,-532.0814208984375,0.0,0.000244140625,2.0085367395950016e-06,2,30,cuda,geometry_only
omat24_1m_official,train:106751,omat24,160,sevennet_geometry_only,3,-532.0814208984375,0.0,0.0003662109375,2.4708356249902863e-06,2,30,cuda,geometry_only
omat24_1m_official,train:106751,omat24,160,sevennet_geometry_only,4,-532.0814208984375,0.0,0.00030517578125,2.0844433947786456e-06,2,30,cuda,geometry_only
omat24_1m_official,train:106751,omat24,160,sevennet_geometry_only,5,-532.0814819335938,6.103515625e-05,0.00018310546875,1.9273099951533368e-06,2,30,cuda,geometry_only
omat24_1m_official,train:106751,omat24,160,sevennet_geometry_only,6,-532.0814208984375,0.0,0.00030517578125,2.227952563771396e-06,2,30,cuda,geometry_only
omat24_1m_official,train:106751,omat24,160,sevennet_geometry_only,7,-532.0814208984375,0.0,0.000244140625,1.7441886939195683e-06,2,30,cuda,geometry_only
omat24_1m_official,train:106751,omat24,160,sevennet_geometry_only,8,-532.0814819335938,6.103515625e-05,0.000244140625,1.9312660697323736e-06,2,30,cuda,geometry_only
omat24_1m_official,train:106751,omat24,160,sevennet_geometry_only,9,-532.0814208984375,0.0,0.000244140625,1.7962768197321566e-06,2,30,cuda,geometry_only
omat24_1m_official,train:106751,omat24,160,sevennet_geometry_only,10,-532.0814208984375,0.0,0.00048828125,3.434009386182879e-06,2,30,cuda,geometry_only
omat24_1m_official,train:106751,omat24,160,sevennet_geometry_only,11,-532.0814208984375,0.0,0.00030517578125,2.1988196294842055e-06,2,30,cuda,geometry_only
omat24_1m_official,train:106751,omat24,160,sevennet_geometry_only,12,-532.0814208984375,0.0,0.000244140625,2.110922196152387e-06,2,30,cuda,geometry_only
omat24_1m_official,train:106751,omat24,160,sevennet_geometry_only,13,-532.0814208984375,0.0,0.00042724609375,2.920936140071717e-06,2,30,cuda,geometry_only
omat24_1m_official,train:106751,omat24,160,sevennet_geometry_only,14,-532.0814208984375,0.0,0.00030517578125,2.070700702461181e-06,2,30,cuda,geometry_only
omat24_1m_official,train:106751,omat24,160,sevennet_geometry_only,15,-532.0814208984375,0.0,0.00030517578125,2.123043032042915e-06,2,30,cuda,geometry_only
omat24_1m_official,train:106751,omat24,160,sevennet_geometry_only,16,-532.0814208984375,0.0,0.00030517578125,2.157175913453102e-06,2,30,cuda,geometry_only
omat24_1m_official,train:106751,omat24,160,sevennet_geometry_only,17,-532.0814208984375,0.0,0.00018310546875,1.9263263766333694e-06,2,30,cuda,geometry_only
omat24_1m_official,train:106751,omat24,160,sevennet_geometry_only,18,-532.0814208984375,0.0,0.00030517578125,2.11055930776638e-06,2,30,cuda,geometry_only
omat24_1m_official,train:106751,omat24,160,sevennet_geometry_only,19,-532.0814208984375,0.0,0.00042724609375,2.939754722319776e-06,2,30,cuda,geometry_only
omat24_1m_official,train:106751,omat24,160,sevennet_geometry_only,20,-532.0814208984375,0.0,0.00048828125,3.275471271990682e-06,2,30,cuda,geometry_only
omat24_1m_official,train:106751,omat24,160,sevennet_geometry_only,21,-532.0814208984375,0.0,0.0003662109375,2.7009539280697936e-06,2,30,cuda,geometry_only
omat24_1m_official,train:106751,omat24,160,sevennet_geometry_only,22,-532.0814208984375,0.0,0.00030517578125,2.0445286281756125e-06,2,30,cuda,geometry_only
omat24_1m_official,train:106751,omat24,160,sevennet_geometry_only,23,-532.0814208984375,0.0,0.00030517578125,2.107796490236069e-06,2,30,cuda,geometry_only
omat24_1m_official,train:106751,omat24,160,sevennet_geometry_only,24,-532.0814208984375,0.0,0.000244140625,1.7750755887391279e-06,2,30,cuda,geometry_only
omat24_1m_official,train:106751,omat24,160,sevennet_geometry_only,25,-532.0814208984375,0.0,0.00042724609375,3.069747890549479e-06,2,30,cuda,geometry_only
omat24_1m_official,train:106751,omat24,160,sevennet_geometry_only,26,-532.0814208984375,0.0,0.00030517578125,2.3392922230414115e-06,2,30,cuda,geometry_only
omat24_1m_official,train:106751,omat24,160,sevennet_geometry_only,27,-532.0814208984375,0.0,0.000244140625,1.996363607759122e-06,2,30,cuda,geometry_only
omat24_1m_official,train:106751,omat24,160,sevennet_geometry_only,28,-532.0814819335938,6.103515625e-05,0.00018310546875,1.6042497463786276e-06,2,30,cuda,geometry_only
omat24_1m_official,train:106751,omat24,160,sevennet_geometry_only,29,-532.0814208984375,0.0,0.000244140625,1.9459985196590424e-06,2,30,cuda,geometry_only
