dataset,sample_id,modal,natoms,case,repeat_idx,energy,abs_energy_diff_vs_reference,max_abs_force_diff_vs_reference,mean_abs_force_diff_vs_reference,n_warmup,n_repeat,device,resolved_policy
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,0,-292497.6875,0.0,2.86102294921875e-06,2.383352040169484e-07,2,30,cuda,baseline
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,1,-292497.6875,0.0,1.7583370208740234e-06,2.1833571395291074e-07,2,30,cuda,baseline
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,2,-292497.6875,0.0,2.384185791015625e-06,2.229355686722556e-07,2,30,cuda,baseline
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,3,-292497.6875,0.0,1.9073486328125e-06,2.3181772235147946e-07,2,30,cuda,baseline
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,4,-292497.6875,0.0,2.205371856689453e-06,2.301094070844556e-07,2,30,cuda,baseline
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,5,-292497.6875,0.0,1.7881393432617188e-06,2.37506768030471e-07,2,30,cuda,baseline
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,6,-292497.6875,0.0,1.9073486328125e-06,2.230136146863515e-07,2,30,cuda,baseline
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,7,-292497.6875,0.0,2.384185791015625e-06,2.4020673095037637e-07,2,30,cuda,baseline
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,8,-292497.6875,0.0,2.2649765014648438e-06,2.320039840242316e-07,2,30,cuda,baseline
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,9,-292497.6875,0.0,2.86102294921875e-06,2.2916388786597963e-07,2,30,cuda,baseline
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,10,-292497.6875,0.0,3.337860107421875e-06,2.2373029651134857e-07,2,30,cuda,baseline
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,11,-292497.6875,0.0,2.384185791015625e-06,2.2490641526928812e-07,2,30,cuda,baseline
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,12,-292497.6875,0.0,1.9669532775878906e-06,2.258324229842401e-07,2,30,cuda,baseline
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,13,-292497.6875,0.0,1.9073486328125e-06,2.1026957597314322e-07,2,30,cuda,baseline
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,14,-292497.6875,0.0,2.1457672119140625e-06,2.1891757739922468e-07,2,30,cuda,baseline
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,15,-292497.6875,0.0,1.6689300537109375e-06,2.3382227709589642e-07,2,30,cuda,baseline
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,16,-292497.6875,0.0,2.1457672119140625e-06,2.1773789171675162e-07,2,30,cuda,baseline
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,17,-292497.6875,0.0,1.7285346984863281e-06,2.2882684902469919e-07,2,30,cuda,baseline
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,18,-292497.6875,0.0,1.9073486328125e-06,2.3311447705509636e-07,2,30,cuda,baseline
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,19,-292497.6875,0.0,1.9073486328125e-06,2.2483368411485571e-07,2,30,cuda,baseline
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,20,-292497.6875,0.0,2.1457672119140625e-06,2.3519000080796104e-07,2,30,cuda,baseline
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,21,-292497.6875,0.0,2.384185791015625e-06,2.326355144077752e-07,2,30,cuda,baseline
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,22,-292497.6875,0.0,2.86102294921875e-06,2.4035395540522586e-07,2,30,cuda,baseline
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,23,-292497.6875,0.0,2.86102294921875e-06,2.303985553453458e-07,2,30,cuda,baseline
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,24,-292497.6875,0.0,1.9073486328125e-06,2.3007747529391054e-07,2,30,cuda,baseline
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,25,-292497.6875,0.0,1.9371509552001953e-06,2.2087246520641202e-07,2,30,cuda,baseline
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,26,-292497.6875,0.0,1.9073486328125e-06,2.1801818661515426e-07,2,30,cuda,baseline
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,27,-292497.6875,0.0,2.6226043701171875e-06,2.186709906482065e-07,2,30,cuda,baseline
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,28,-292497.6875,0.0,2.3245811462402344e-06,2.269056551540416e-07,2,30,cuda,baseline
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,29,-292497.6875,0.0,2.0265579223632812e-06,2.2848979597256402e-07,2,30,cuda,baseline
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_geometry_only,0,-292497.6875,0.0,2.8014183044433594e-06,4.5596223685606674e-07,2,30,cuda,geometry_only
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_geometry_only,1,-292497.6875,0.0,3.516674041748047e-06,4.5890209321441944e-07,2,30,cuda,geometry_only
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_geometry_only,2,-292497.6875,0.0,3.725290298461914e-06,4.4860033199256577e-07,2,30,cuda,geometry_only
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_geometry_only,3,-292497.6875,0.0,3.159046173095703e-06,4.4912277985531546e-07,2,30,cuda,geometry_only
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_geometry_only,4,-292497.6875,0.0,3.1888484954833984e-06,4.53990054438691e-07,2,30,cuda,geometry_only
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_geometry_only,5,-292497.6875,0.0,3.516674041748047e-06,4.508395079483307e-07,2,30,cuda,geometry_only
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_geometry_only,6,-292497.6875,0.0,3.516674041748047e-06,4.396906945203227e-07,2,30,cuda,geometry_only
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_geometry_only,7,-292497.6875,0.0,3.516674041748047e-06,4.451970312402409e-07,2,30,cuda,geometry_only
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_geometry_only,8,-292497.6875,0.0,2.86102294921875e-06,4.610197663623694e-07,2,30,cuda,geometry_only
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_geometry_only,9,-292497.6875,0.0,3.337860107421875e-06,4.5708867446592194e-07,2,30,cuda,geometry_only
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_geometry_only,10,-292497.6875,0.0,3.516674041748047e-06,4.3974259256174264e-07,2,30,cuda,geometry_only
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_geometry_only,11,-292497.6875,0.0,2.9802322387695312e-06,4.330494789428485e-07,2,30,cuda,geometry_only
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_geometry_only,12,-292497.6875,0.0,3.039836883544922e-06,4.408717018122843e-07,2,30,cuda,geometry_only
