dataset,sample_id,modal,natoms,case,repeat_idx,energy,abs_energy_diff_vs_reference,max_abs_force_diff_vs_reference,mean_abs_force_diff_vs_reference,n_warmup,n_repeat,device,resolved_policy
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,sevennet_baseline,0,-115890.6328125,0.0,7.62939453125e-06,3.901641321135685e-07,2,30,cuda,baseline
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,sevennet_baseline,1,-115890.6328125,0.0,7.62939453125e-06,4.274856451047526e-07,2,30,cuda,baseline
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,sevennet_baseline,2,-115890.6328125,0.0,3.814697265625e-06,3.6480059861787595e-07,2,30,cuda,baseline
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,sevennet_baseline,3,-115890.6328125,0.0,3.814697265625e-06,3.74875355646509e-07,2,30,cuda,baseline
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,sevennet_baseline,4,-115890.6328125,0.0,7.62939453125e-06,4.1339745848745224e-07,2,30,cuda,baseline
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,sevennet_baseline,5,-115890.6328125,0.0,3.814697265625e-06,3.9433535903299344e-07,2,30,cuda,baseline
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,sevennet_baseline,6,-115890.6328125,0.0,3.814697265625e-06,3.7667967944798875e-07,2,30,cuda,baseline
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,sevennet_baseline,7,-115890.6328125,0.0,5.7220458984375e-06,4.054872135839105e-07,2,30,cuda,baseline
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,sevennet_baseline,8,-115890.6328125,0.0,3.814697265625e-06,3.7503656358239823e-07,2,30,cuda,baseline
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,sevennet_baseline,9,-115890.6328125,0.0,3.814697265625e-06,3.9446570099244127e-07,2,30,cuda,baseline
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,sevennet_baseline,10,-115890.6328125,0.0,3.814697265625e-06,3.723026225088688e-07,2,30,cuda,baseline
