dataset,sample_id,modal,natoms,case,repeat_idx,energy,abs_energy_diff_vs_reference,max_abs_force_diff_vs_reference,mean_abs_force_diff_vs_reference,n_warmup,n_repeat,device,resolved_policy
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,0,-15593.1962890625,0.0,9.5367431640625e-07,2.2682878864088707e-07,2,30,cuda,baseline
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,1,-15593.1962890625,0.0,9.5367431640625e-07,1.9681949936511955e-07,2,30,cuda,baseline
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,2,-15593.1962890625,0.0,9.5367431640625e-07,1.735364349997326e-07,2,30,cuda,baseline
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,3,-15593.1962890625,0.0,2.3245811462402344e-06,3.000928359142563e-07,2,30,cuda,baseline
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,4,-15593.1962890625,0.0,1.430511474609375e-06,2.8219074010849e-07,2,30,cuda,baseline
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,5,-15593.1962890625,0.0,1.0728836059570312e-06,2.1606683731079102e-07,2,30,cuda,baseline
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,6,-15593.1962890625,0.0,1.0728836059570312e-06,1.9764735270655365e-07,2,30,cuda,baseline
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,7,-15593.1962890625,0.0,1.430511474609375e-06,2.4152299715751724e-07,2,30,cuda,baseline
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,8,-15593.1962890625,0.0,9.5367431640625e-07,2.250696269356922e-07,2,30,cuda,baseline
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,9,-15593.1962890625,0.0,9.5367431640625e-07,2.164807568760807e-07,2,30,cuda,baseline
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,10,-15593.1962890625,0.0,9.5367431640625e-07,1.945429346505989e-07,2,30,cuda,baseline
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,11,-15593.1962890625,0.0,1.1920928955078125e-06,2.734983866048424e-07,2,30,cuda,baseline
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,12,-15593.1962890625,0.0,7.152557373046875e-07,2.2310349834242515e-07,2,30,cuda,baseline
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,13,-15593.1962890625,0.0,1.3113021850585938e-06,2.3986729047464905e-07,2,30,cuda,baseline
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,14,-15593.1962890625,0.0,1.1920928955078125e-06,2.0095870922887116e-07,2,30,cuda,baseline
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,15,-15593.1962890625,0.0,1.7285346984863281e-06,2.555963192207855e-07,2,30,cuda,baseline
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,16,-15593.1962890625,0.0,1.1920928955078125e-06,1.9537077378117829e-07,2,30,cuda,baseline
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,17,-15593.1962890625,0.0,9.5367431640625e-07,1.9319769251069374e-07,2,30,cuda,baseline
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,18,-15593.1962890625,0.0,1.0728836059570312e-06,2.556997742431122e-07,2,30,cuda,baseline
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,19,-15593.1962890625,0.0,9.5367431640625e-07,1.8284966074588738e-07,2,30,cuda,baseline
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,20,-15593.1962890625,0.0,7.748603820800781e-07,1.9143853080549889e-07,2,30,cuda,baseline
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,21,-15593.1962890625,0.0,9.5367431640625e-07,1.7219119285982742e-07,2,30,cuda,baseline
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,22,-15593.1962890625,0.0,9.5367431640625e-07,2.078919010273239e-07,2,30,cuda,baseline
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,23,-15593.1962890625,0.0,9.5367431640625e-07,1.9392206240809173e-07,2,30,cuda,baseline
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,24,-15593.1962890625,0.0,1.1920928955078125e-06,2.0499444985944137e-07,2,30,cuda,baseline
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,25,-15593.1962890625,0.0,9.5367431640625e-07,2.341758857937748e-07,2,30,cuda,baseline
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,26,-15593.1962890625,0.0,9.5367431640625e-07,2.3169235419118195e-07,2,30,cuda,baseline
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,27,-15593.1962890625,0.0,9.5367431640625e-07,2.167911929973343e-07,2,30,cuda,baseline
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,28,-15593.1962890625,0.0,9.5367431640625e-07,2.167911929973343e-07,2,30,cuda,baseline
