dataset,sample_id,modal,natoms,case,repeat_idx,energy,abs_energy_diff_vs_reference,max_abs_force_diff_vs_reference,mean_abs_force_diff_vs_reference,n_warmup,n_repeat,device,resolved_policy
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_baseline,0,-60925.50390625,0.0,9.5367431640625e-07,2.1975375830152188e-07,2,30,cuda,baseline
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_baseline,1,-60925.50390625,0.0,1.430511474609375e-06,2.648967551976966e-07,2,30,cuda,baseline
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_baseline,2,-60925.50390625,0.0,1.430511474609375e-06,2.772341645140841e-07,2,30,cuda,baseline
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_baseline,3,-60925.50390625,0.0,1.430511474609375e-06,2.704951498344599e-07,2,30,cuda,baseline
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_baseline,4,-60925.50390625,0.0,1.1920928955078125e-06,2.4564940304117044e-07,2,30,cuda,baseline
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_baseline,5,-60925.50390625,0.0,1.1920928955078125e-06,2.503095117845078e-07,2,30,cuda,baseline
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_baseline,6,-60925.50390625,0.0,1.1920928955078125e-06,2.5428593630749674e-07,2,30,cuda,baseline
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_baseline,7,-60925.50390625,0.0,1.430511474609375e-06,2.708509327931097e-07,2,30,cuda,baseline
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_baseline,8,-60925.50390625,0.0,1.1920928955078125e-06,2.488096413344465e-07,2,30,cuda,baseline
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_baseline,9,-60925.50390625,0.0,1.0728836059570312e-06,2.517012660518958e-07,2,30,cuda,baseline
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_baseline,10,-60925.50390625,0.0,1.430511474609375e-06,2.3993590048121405e-07,2,30,cuda,baseline
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_baseline,11,-60925.50390625,0.0,9.5367431640625e-07,2.0738147554766329e-07,2,30,cuda,baseline
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_baseline,12,-60925.50390625,0.0,1.1920928955078125e-06,2.5312789375675493e-07,2,30,cuda,baseline
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_baseline,13,-60925.50390625,0.0,9.5367431640625e-07,2.6323291990593134e-07,2,30,cuda,baseline
