dataset,sample_id,modal,natoms,case,repeat_idx,energy,abs_energy_diff_vs_reference,max_abs_force_diff_vs_reference,mean_abs_force_diff_vs_reference,n_warmup,n_repeat,device,resolved_policy
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_baseline,0,-437.61041259765625,0.0,5.662441253662109e-07,1.0314397513866425e-07,2,30,cuda,baseline
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_baseline,1,-437.61041259765625,0.0,6.332993507385254e-07,1.0043615361610136e-07,2,30,cuda,baseline
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_baseline,2,-437.61041259765625,0.0,5.513429641723633e-07,9.723473226586066e-08,2,30,cuda,baseline
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_baseline,3,-437.61041259765625,0.0,6.109476089477539e-07,9.640197617954982e-08,2,30,cuda,baseline
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_baseline,4,-437.61041259765625,0.0,5.662441253662109e-07,1.0913471015783216e-07,2,30,cuda,baseline
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_baseline,5,-437.61041259765625,0.0,5.438923835754395e-07,1.0152425033993495e-07,2,30,cuda,baseline
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_baseline,6,-437.61041259765625,0.0,4.76837158203125e-07,1.0701439379090516e-07,2,30,cuda,baseline
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_baseline,7,-437.61041259765625,0.0,4.391185939311981e-07,9.731157035730575e-08,2,30,cuda,baseline
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_baseline,8,-437.61041259765625,0.0,5.662441253662109e-07,9.363439801290951e-08,2,30,cuda,baseline
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_baseline,9,-437.61041259765625,0.0,5.21540641784668e-07,9.666274536357378e-08,2,30,cuda,baseline
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_baseline,10,-437.61041259765625,0.0,5.364418029785156e-07,1.0770823166694754e-07,2,30,cuda,baseline
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_baseline,11,-437.61041259765625,0.0,7.599592208862305e-07,1.044198896238413e-07,2,30,cuda,baseline
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_baseline,12,-437.61041259765625,0.0,4.3213367462158203e-07,9.821572888313312e-08,2,30,cuda,baseline
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_baseline,13,-437.61041259765625,0.0,5.513429641723633e-07,9.914317189441135e-08,2,30,cuda,baseline
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_baseline,14,-437.61041259765625,0.0,4.470348358154297e-07,9.218152996481876e-08,2,30,cuda,baseline
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_baseline,15,-437.61041259765625,0.0,5.21540641784668e-07,1.0380676940258127e-07,2,30,cuda,baseline
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_baseline,16,-437.61041259765625,0.0,4.917383193969727e-07,1.0021884833122385e-07,2,30,cuda,baseline
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_baseline,17,-437.61041259765625,0.0,5.513429641723633e-07,1.0012726647801173e-07,2,30,cuda,baseline
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_baseline,18,-437.61041259765625,0.0,5.550682544708252e-07,1.029476237590643e-07,2,30,cuda,baseline
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_baseline,19,-437.61041259765625,0.0,6.556510925292969e-07,1.0687081442029012e-07,2,30,cuda,baseline
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_baseline,20,-437.61041259765625,0.0,4.76837158203125e-07,1.0060922761567781e-07,2,30,cuda,baseline
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_baseline,21,-437.61041259765625,0.0,6.360933184623718e-07,1.0736752642515057e-07,2,30,cuda,baseline
