dataset,baseline_mean_ms,baseline_std_ms,proposal_mean_ms,proposal_std_ms,speedup_baseline_over_proposal,natoms,num_edges,avg_neighbors_directed,density_bucket
ani1ccx,31.503597980675597,0.29136525588039236,32.034811711249255,0.2680706533934413,0.9834176103370972,55,2042,37.127272727272725,small_sparse
ani1x,31.193397209669154,0.2639929461132996,31.758344476111233,0.30016820854986087,0.9822110605649789,63,2008,31.873015873015873,small_sparse
iso17,29.4515020136411,0.18632527506482022,30.282967056458194,0.5052612467043713,0.9725434749749935,19,340,17.894736842105264,small_sparse
md22_ac_ala3_nhme,29.601589489417773,0.19610952534318873,30.1890762289986,0.5168360422258303,0.9805397576552373,42,1142,27.19047619047619,small_sparse
md22_at_at,29.59902728907764,0.34142081220608117,29.98077884161224,0.2002425972649629,0.9872667900139825,60,1312,21.866666666666667,small_sparse
md22_at_at_cg_cg,55.007344290303685,0.2655908004227465,55.76762359123677,0.17200239762861388,0.986367012758052,118,3740,31.694915254237287,large_sparse
md22_buckyball_catcher,104.21181734806548,0.2953759615888487,105.21889642501871,0.23423571865880877,0.9904287242009718,148,6872,46.432432432432435,large_dense
md22_dha,29.688049697627623,0.4819683366594839,29.95319313680132,0.1579068905301601,0.9911480743317501,56,1406,25.107142857142858,small_sparse
md22_double_walled_nanotube,367.59222746671486,0.1799312007662994,372.02451871708035,0.26194438894628774,0.9880860238307675,370,24024,64.92972972972973,large_dense
md22_stachyose,51.894765657683216,0.20318317811814143,52.73565351186941,0.2663973021880316,0.9840546613498034,87,3532,40.59770114942529,large_dense
mptrj,425.5722912649314,0.11662375881630348,430.63195664435625,0.1621110495371466,0.9882506040219318,444,27612,62.189189189189186,large_dense
oc20_s2ef_train_20m,125.69860833852242,0.22610556136049836,127.11754569318146,0.19085487397759637,0.9888375963607426,225,8260,36.71111111111111,large_sparse
oc20_s2ef_train_2m,163.50460357498378,0.14169185124617084,165.5365243786946,0.16547080259963676,0.9877252418380947,225,10738,47.724444444444444,large_dense
oc20_s2ef_val_id,230.8716060128063,0.47533467294204834,233.71218570973724,0.2878896189361722,0.9878458211825598,225,15230,67.68888888888888,large_dense
oc20_s2ef_val_ood_ads,102.72656773061802,0.16603784762238363,103.95463144717117,0.1589706194651811,0.9881865415762909,225,6686,29.715555555555557,large_sparse
oc20_s2ef_val_ood_both,174.3932388102015,0.15283220924931862,176.60148795694113,0.2633968765522446,0.9874958633005513,223,11486,51.506726457399104,large_dense
oc20_s2ef_val_ood_cat,156.20095712753633,0.2841369218512325,158.0439614908149,0.22085781950988925,0.9883386600418411,225,10270,45.644444444444446,large_dense
oc22_s2ef_train,216.28689307253808,0.1010631404492708,218.61789834996065,0.19908512987411217,0.9893375368850581,228,14238,62.44736842105263,large_dense
oc22_s2ef_val_id,179.22637752878168,0.1647342632702516,181.3476067579662,0.2928770598844261,0.9883029654093225,200,11704,58.52,large_dense
oc22_s2ef_val_ood,280.2864677350347,0.15829693517757276,283.8040851599847,0.33271100551314475,0.9876054728987884,216,18264,84.55555555555556,large_dense
omat24_1m_official,232.48456125923744,0.14397394840243327,235.4198444634676,0.24071565590914745,0.9875317086759623,160,15224,95.15,large_dense
omol25_train_4m,293.35616984559846,0.16326399770681654,296.8213089508936,0.16654949318616125,0.9883258411684035,350,19152,54.72,large_dense
omol25_train_neutral,150.16477313668778,0.1558607610503983,152.02721908378103,0.22353267139805444,0.9877492599133392,181,9926,54.83977900552486,large_dense
omol25_validation,274.2365039496993,0.2054621997502051,277.808187281092,0.953869317831312,0.9871433474788891,350,17972,51.348571428571425,large_dense
phonondb_pbe,29.711676264802616,0.7446636517505695,29.970964859239757,0.17667635533737583,0.9913486737695999,8,208,26.0,small_sparse
qm9_hf,29.55186665058136,0.13680823238177092,30.01928561522315,0.15246805686889178,0.984429377479764,29,570,19.655172413793103,small_sparse
rmd17,29.5005994848907,0.1478600444166269,30.019226064905524,0.18239099160497055,0.9827235192908209,24,366,15.25,small_sparse
salex_train_official,152.0152042309443,0.16511511732491058,153.88048199626306,0.18463487182252744,0.9878783992542729,132,9932,75.24242424242425,large_dense
salex_val_official,200.99349472050866,0.14075088293361718,203.51513172499835,0.1679086307936028,0.9876095846873093,128,13088,102.25,large_dense
spice_2023,30.800468265078962,0.22384815636080965,31.165943791468937,0.19846102011942912,0.9882732405334692,89,728,8.179775280898877,small_sparse
wbm_initial,34.57587415662905,0.35114583444128117,35.327861085534096,0.8237064323165135,0.9787140544092275,100,2260,22.6,small_sparse
