dataset,sample_id,modal,natoms,case,n_warmup,n_repeat,device,resolved_policy,repeat_idx_mean,timing_ms_mean,repeat_idx_std,timing_ms_std
ani1ccx,055:0,spice,55,sevennet_baseline,3,30,cuda,baseline,14.5,31.503597980675597,8.65544144839919,0.29136525588039297
ani1ccx,055:0,spice,55,sevennet_geometry_only,3,30,cuda,geometry_only,14.5,32.034811711249255,8.65544144839919,0.2680706533934411
ani1x,ani1x-release_416625,spice,63,sevennet_baseline,3,30,cuda,baseline,14.5,31.193397209669154,8.65544144839919,0.2639929461133007
ani1x,ani1x-release_416625,spice,63,sevennet_geometry_only,3,30,cuda,geometry_only,14.5,31.758344476111233,8.65544144839919,0.3001682085498616
iso17,iso17,spice,19,sevennet_baseline,3,30,cuda,baseline,14.5,29.4515020136411,8.65544144839919,0.18632527506481955
iso17,iso17,spice,19,sevennet_geometry_only,3,30,cuda,geometry_only,14.5,30.282967056458194,8.65544144839919,0.5052612467043713
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_baseline,3,30,cuda,baseline,14.5,29.601589489417773,8.65544144839919,0.196109525343189
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_geometry_only,3,30,cuda,geometry_only,14.5,30.1890762289986,8.65544144839919,0.5168360422258309
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,3,30,cuda,baseline,14.5,29.59902728907764,8.65544144839919,0.3414208122060816
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_geometry_only,3,30,cuda,geometry_only,14.5,29.98077884161224,8.65544144839919,0.20024259726496238
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,3,30,cuda,baseline,14.5,55.007344290303685,8.65544144839919,0.26559080042274663
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_geometry_only,3,30,cuda,geometry_only,14.5,55.76762359123677,8.65544144839919,0.1720023976286147
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,sevennet_baseline,3,30,cuda,baseline,14.5,104.21181734806548,8.65544144839919,0.2953759615888498
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,sevennet_geometry_only,3,30,cuda,geometry_only,14.5,105.21889642501871,8.65544144839919,0.23423571865881043
md22_dha,md22_DHA_45597,spice,56,sevennet_baseline,3,30,cuda,baseline,14.5,29.688049697627623,8.65544144839919,0.48196833665948424
md22_dha,md22_DHA_45597,spice,56,sevennet_geometry_only,3,30,cuda,geometry_only,14.5,29.95319313680132,8.65544144839919,0.15790689053015952
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,3,30,cuda,baseline,14.5,367.59222746671486,8.65544144839919,0.1799312007662954
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_geometry_only,3,30,cuda,geometry_only,14.5,372.02451871708035,8.65544144839919,0.26194438894628874
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,3,30,cuda,baseline,14.5,51.894765657683216,8.65544144839919,0.20318317811814102
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_geometry_only,3,30,cuda,geometry_only,14.5,52.73565351186941,8.65544144839919,0.2663973021880324
mptrj,mp-1204603,mpa,444,sevennet_baseline,3,30,cuda,baseline,14.5,425.5722912649314,8.65544144839919,0.11662375881629912
mptrj,mp-1204603,mpa,444,sevennet_geometry_only,3,30,cuda,geometry_only,14.5,430.63195664435625,8.65544144839919,0.1621110495371382
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,sevennet_baseline,3,30,cuda,baseline,14.5,125.69860833852242,8.65544144839919,0.22610556136049717
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,sevennet_geometry_only,3,30,cuda,geometry_only,14.5,127.11754569318146,8.65544144839919,0.19085487397759784
oc20_s2ef_train_2m,frame27,oc20,225,sevennet_baseline,3,30,cuda,baseline,14.5,163.50460357498378,8.65544144839919,0.1416918512461728
oc20_s2ef_train_2m,frame27,oc20,225,sevennet_geometry_only,3,30,cuda,geometry_only,14.5,165.5365243786946,8.65544144839919,0.16547080259963717
oc20_s2ef_val_id,OC20_S2EF_val_id__file_0049__config_3636,oc20,225,sevennet_baseline,3,30,cuda,baseline,14.5,230.8716060128063,8.65544144839919,0.47533467294204834
oc20_s2ef_val_id,OC20_S2EF_val_id__file_0049__config_3636,oc20,225,sevennet_geometry_only,3,30,cuda,geometry_only,14.5,233.71218570973724,8.65544144839919,0.2878896189361618
oc20_s2ef_val_ood_ads,OC20_S2EF_val_ood_ads__file_0071__config_1575,oc20,225,sevennet_baseline,3,30,cuda,baseline,14.5,102.72656773061802,8.65544144839919,0.16603784762238305
oc20_s2ef_val_ood_ads,OC20_S2EF_val_ood_ads__file_0071__config_1575,oc20,225,sevennet_geometry_only,3,30,cuda,geometry_only,14.5,103.95463144717117,8.65544144839919,0.1589706194651819
oc20_s2ef_val_ood_both,OC20_S2EF_val_ood_both__file_0113__config_496,oc20,223,sevennet_baseline,3,30,cuda,baseline,14.5,174.3932388102015,8.65544144839919,0.15283220924931598
oc20_s2ef_val_ood_both,OC20_S2EF_val_ood_both__file_0113__config_496,oc20,223,sevennet_geometry_only,3,30,cuda,geometry_only,14.5,176.60148795694113,8.65544144839919,0.26339687655223754
oc20_s2ef_val_ood_cat,OC20_S2EF_val_ood_cat__file_0023__config_854,oc20,225,sevennet_baseline,3,30,cuda,baseline,14.5,156.20095712753633,8.65544144839919,0.28413692185122524
oc20_s2ef_val_ood_cat,OC20_S2EF_val_ood_cat__file_0023__config_854,oc20,225,sevennet_geometry_only,3,30,cuda,geometry_only,14.5,158.0439614908149,8.65544144839919,0.22085781950988762
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,3,30,cuda,baseline,14.5,216.28689307253808,8.65544144839919,0.10106314044926834
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_geometry_only,3,30,cuda,geometry_only,14.5,218.61789834996065,8.65544144839919,0.19908512987411026
oc22_s2ef_val_id,s2ef_val_id_0,oc22,200,sevennet_baseline,3,30,cuda,baseline,14.5,179.22637752878168,8.65544144839919,0.16473426327025353
oc22_s2ef_val_id,s2ef_val_id_0,oc22,200,sevennet_geometry_only,3,30,cuda,geometry_only,14.5,181.3476067579662,8.65544144839919,0.29287705988442575
oc22_s2ef_val_ood,is2re_val_ood_43,oc22,216,sevennet_baseline,3,30,cuda,baseline,14.5,280.2864677350347,8.65544144839919,0.15829693517755716
oc22_s2ef_val_ood,is2re_val_ood_43,oc22,216,sevennet_geometry_only,3,30,cuda,geometry_only,14.5,283.8040851599847,8.65544144839919,0.3327110055131405
omat24_1m_official,train:106751,omat24,160,sevennet_baseline,3,30,cuda,baseline,14.5,232.48456125923744,8.65544144839919,0.14397394840243388
omat24_1m_official,train:106751,omat24,160,sevennet_geometry_only,3,30,cuda,geometry_only,14.5,235.4198444634676,8.65544144839919,0.24071565590913896
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,3,30,cuda,baseline,14.5,293.35616984559846,8.65544144839919,0.16326399770682157
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_geometry_only,3,30,cuda,geometry_only,14.5,296.8213089508936,8.65544144839919,0.1665494931861646
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,sevennet_baseline,3,30,cuda,baseline,14.5,150.16477313668778,8.65544144839919,0.15586076105039742
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,sevennet_geometry_only,3,30,cuda,geometry_only,14.5,152.02721908378103,8.65544144839919,0.2235326713980577
omol25_validation,OMol25_validation_data0012_18589,omol25_low,350,sevennet_baseline,3,30,cuda,baseline,14.5,274.2365039496993,8.65544144839919,0.2054621997501819
omol25_validation,OMol25_validation_data0012_18589,omol25_low,350,sevennet_geometry_only,3,30,cuda,geometry_only,14.5,277.808187281092,8.65544144839919,0.9538693178313262
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,sevennet_baseline,3,30,cuda,baseline,14.5,29.711676264802616,8.65544144839919,0.7446636517505701
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,sevennet_geometry_only,3,30,cuda,geometry_only,14.5,29.970964859239757,8.65544144839919,0.1766763553373751
qm9_hf,0_3057,qcml,29,sevennet_baseline,3,30,cuda,baseline,14.5,29.55186665058136,8.65544144839919,0.13680823238177084
qm9_hf,0_3057,qcml,29,sevennet_geometry_only,3,30,cuda,geometry_only,14.5,30.01928561522315,8.65544144839919,0.15246805686889187
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,3,30,cuda,baseline,14.5,29.5005994848907,8.65544144839919,0.14786004441662692
rmd17,rmd17_azobenzene,spice,24,sevennet_geometry_only,3,30,cuda,geometry_only,14.5,30.019226064905524,8.65544144839919,0.18239099160497022
salex_train_official,alex_go_aao_005:4493,omat24,132,sevennet_baseline,3,30,cuda,baseline,14.5,152.0152042309443,8.65544144839919,0.16511511732490963
salex_train_official,alex_go_aao_005:4493,omat24,132,sevennet_geometry_only,3,30,cuda,geometry_only,14.5,153.88048199626306,8.65544144839919,0.18463487182252372
salex_val_official,alex_go_aao_006:1039,omat24,128,sevennet_baseline,3,30,cuda,baseline,14.5,200.99349472050866,8.65544144839919,0.14075088293361956
salex_val_official,alex_go_aao_006:1039,omat24,128,sevennet_geometry_only,3,30,cuda,geometry_only,14.5,203.51513172499835,8.65544144839919,0.1679086307935991
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_baseline,3,30,cuda,baseline,14.5,30.800468265078962,8.65544144839919,0.22384815636080937
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_geometry_only,3,30,cuda,geometry_only,14.5,31.165943791468937,8.65544144839919,0.19846102011942904
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_baseline,3,30,cuda,baseline,14.5,34.57587415662905,8.65544144839919,0.35114583444128317
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_geometry_only,3,30,cuda,geometry_only,14.5,35.327861085534096,8.65544144839919,0.8237064323165144
