dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
ani1x,ani1x-release_416625,spice,63,sevennet_baseline,0,31.694226898252964,baseline,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_baseline,1,31.500193988904357,baseline,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_baseline,2,31.544785015285015,baseline,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_baseline,3,31.551996944472194,baseline,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_baseline,4,31.725907931104302,baseline,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_baseline,5,31.433210941031575,baseline,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_baseline,6,31.770233996212482,baseline,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_baseline,7,31.477229204028845,baseline,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_baseline,8,31.010937178507447,baseline,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_baseline,9,31.105948146432638,baseline,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_baseline,10,31.11637895926833,baseline,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_baseline,11,31.01119282655418,baseline,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_baseline,12,31.084887916222215,baseline,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_baseline,13,31.1282470356673,baseline,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_baseline,14,31.280264956876636,baseline,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_baseline,15,31.209351029247046,baseline,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_baseline,16,31.03538602590561,baseline,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_baseline,17,31.070359982550144,baseline,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_baseline,18,31.07957192696631,baseline,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_baseline,19,31.231298111379147,baseline,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_baseline,20,31.110864831134677,baseline,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_baseline,21,31.05944790877402,baseline,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_baseline,22,31.079052947461605,baseline,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_baseline,23,31.056280015036464,baseline,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_baseline,24,30.789010925218463,baseline,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_baseline,25,30.8812758885324,baseline,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_baseline,26,30.911789974197745,baseline,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_baseline,27,31.01783082820475,baseline,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_baseline,28,30.938609968870878,baseline,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_baseline,29,30.89614398777485,baseline,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_geometry_only,0,32.64099988155067,geometry_only,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_geometry_only,1,32.32340305112302,geometry_only,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_geometry_only,2,32.2568011470139,geometry_only,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_geometry_only,3,31.924075912684202,geometry_only,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_geometry_only,4,32.223808113485575,geometry_only,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_geometry_only,5,32.087642000988126,geometry_only,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_geometry_only,6,31.744603998959064,geometry_only,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_geometry_only,7,31.684427987784147,geometry_only,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_geometry_only,8,31.74163680523634,geometry_only,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_geometry_only,9,31.608066987246275,geometry_only,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_geometry_only,10,31.80964896455407,geometry_only,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_geometry_only,11,31.883243937045336,geometry_only,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_geometry_only,12,31.899118795990944,geometry_only,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_geometry_only,13,31.727985944598913,geometry_only,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_geometry_only,14,31.413090182468295,geometry_only,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_geometry_only,15,31.495168106630445,geometry_only,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_geometry_only,16,31.587962061166763,geometry_only,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_geometry_only,17,31.90607111901045,geometry_only,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_geometry_only,18,31.34043305180967,geometry_only,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_geometry_only,19,31.558848917484283,geometry_only,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_geometry_only,20,31.5185880754143,geometry_only,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_geometry_only,21,31.792131019756198,geometry_only,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_geometry_only,22,31.37520607560873,geometry_only,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_geometry_only,23,31.47639916278422,geometry_only,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_geometry_only,24,31.510226894170046,geometry_only,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_geometry_only,25,31.632773112505674,geometry_only,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_geometry_only,26,31.668632989749312,geometry_only,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_geometry_only,27,31.55597299337387,geometry_only,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_geometry_only,28,31.509364023804665,geometry_only,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_geometry_only,29,31.85400296933949,geometry_only,3,30,cuda
