dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
iso17,iso17,spice,19,sevennet_baseline,0,29.90244305692613,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,1,29.65161600150168,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,2,29.40418105572462,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,3,29.438283061608672,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,4,29.68497504480183,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,5,29.945466201752424,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,6,29.71026790328324,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,7,29.41989293321967,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,8,29.47604493238032,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,9,29.38500395976007,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,10,29.492295114323497,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,11,29.490038054063916,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,12,29.238471994176507,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,13,29.335018014535308,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,14,29.448922956362367,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,15,29.30276608094573,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,16,29.333835002034903,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,17,29.315606923773885,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,18,29.318599961698055,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,19,29.66745221056044,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,20,29.410879826173186,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,21,29.1853251401335,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,22,29.328305972740054,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,23,29.510481981560588,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,24,29.17202189564705,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,25,29.412137111648917,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,26,29.313047183677554,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,27,29.280250892043114,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,28,29.589927988126874,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,29,29.381501954048872,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_geometry_only,0,30.40747600607574,geometry_only,3,30,cuda
iso17,iso17,spice,19,sevennet_geometry_only,1,29.989758972078562,geometry_only,3,30,cuda
iso17,iso17,spice,19,sevennet_geometry_only,2,30.256866943091154,geometry_only,3,30,cuda
iso17,iso17,spice,19,sevennet_geometry_only,3,29.807779006659985,geometry_only,3,30,cuda
iso17,iso17,spice,19,sevennet_geometry_only,4,30.082331970334053,geometry_only,3,30,cuda
iso17,iso17,spice,19,sevennet_geometry_only,5,29.907790012657642,geometry_only,3,30,cuda
iso17,iso17,spice,19,sevennet_geometry_only,6,29.734669951722026,geometry_only,3,30,cuda
iso17,iso17,spice,19,sevennet_geometry_only,7,29.61471281014383,geometry_only,3,30,cuda
iso17,iso17,spice,19,sevennet_geometry_only,8,29.733801959082484,geometry_only,3,30,cuda
iso17,iso17,spice,19,sevennet_geometry_only,9,29.903395799919963,geometry_only,3,30,cuda
iso17,iso17,spice,19,sevennet_geometry_only,10,29.874133877456188,geometry_only,3,30,cuda
iso17,iso17,spice,19,sevennet_geometry_only,11,29.95487581938505,geometry_only,3,30,cuda
iso17,iso17,spice,19,sevennet_geometry_only,12,30.042887898162007,geometry_only,3,30,cuda
iso17,iso17,spice,19,sevennet_geometry_only,13,30.108866980299354,geometry_only,3,30,cuda
iso17,iso17,spice,19,sevennet_geometry_only,14,29.964789981022477,geometry_only,3,30,cuda
iso17,iso17,spice,19,sevennet_geometry_only,15,30.807027826085687,geometry_only,3,30,cuda
