dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,0,29.975651064887643,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,1,29.726027976721525,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,2,29.27626296877861,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,3,29.324315022677183,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,4,29.490879038348794,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,5,29.410718008875847,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,6,29.617022024467587,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,7,29.73364992067218,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,8,29.241780983284116,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,9,29.512292006984353,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,10,29.597577871754766,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,11,29.346561059355736,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,12,29.503457015380263,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,13,29.643593123182654,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,14,29.67826509848237,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,15,29.542703879997134,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,16,29.48168502189219,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,17,29.408562928438187,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,18,29.61062896065414,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,19,29.204393969848752,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,20,29.471056070178747,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,21,29.659515945240855,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,22,29.234423069283366,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,23,29.68770801089704,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,24,29.513625195249915,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,25,29.644734924659133,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,26,31.074923928827047,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,27,30.14967986382544,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,28,29.69588083215058,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,29,29.513242887333035,baseline,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_geometry_only,0,30.2444938570261,geometry_only,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_geometry_only,1,29.806226957589388,geometry_only,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_geometry_only,2,30.008831061422825,geometry_only,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_geometry_only,3,29.993077041581273,geometry_only,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_geometry_only,4,30.725481919944286,geometry_only,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_geometry_only,5,30.120031908154488,geometry_only,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_geometry_only,6,30.085906852036715,geometry_only,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_geometry_only,7,29.852346051484346,geometry_only,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_geometry_only,8,29.91915005259216,geometry_only,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_geometry_only,9,29.949954012408853,geometry_only,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_geometry_only,10,29.67687603086233,geometry_only,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_geometry_only,11,30.0141719635576,geometry_only,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_geometry_only,12,30.02967801876366,geometry_only,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_geometry_only,13,29.963861918076873,geometry_only,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_geometry_only,14,30.037380987778306,geometry_only,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_geometry_only,15,29.66739283874631,geometry_only,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_geometry_only,16,29.825252015143633,geometry_only,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_geometry_only,17,29.678566148504615,geometry_only,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_geometry_only,18,30.094563961029053,geometry_only,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_geometry_only,19,29.878184897825122,geometry_only,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_geometry_only,20,29.96209100820124,geometry_only,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_geometry_only,21,30.080621829256415,geometry_only,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_geometry_only,22,30.153038911521435,geometry_only,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_geometry_only,23,29.72128218971193,geometry_only,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_geometry_only,24,30.095734866335988,geometry_only,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_geometry_only,25,30.011978931725025,geometry_only,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_geometry_only,26,29.9757590983063,geometry_only,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_geometry_only,27,29.99866707250476,geometry_only,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_geometry_only,28,30.05158598534763,geometry_only,3,30,cuda
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_geometry_only,29,29.801176860928535,geometry_only,3,30,cuda
