dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,0,56.169799994677305,baseline,3,30,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,1,55.5350910872221,baseline,3,30,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,2,55.10282889008522,baseline,3,30,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,3,54.82374411076307,baseline,3,30,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,4,54.790048860013485,baseline,3,30,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,5,54.84554287977517,baseline,3,30,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,6,55.134346010163426,baseline,3,30,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,7,54.831815883517265,baseline,3,30,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,8,54.80954493395984,baseline,3,30,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,9,54.91968593560159,baseline,3,30,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,10,54.8794309142977,baseline,3,30,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,11,54.97940699569881,baseline,3,30,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,12,54.97231497429311,baseline,3,30,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,13,55.0009049475193,baseline,3,30,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,14,54.83839591033757,baseline,3,30,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,15,54.98479609377682,baseline,3,30,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,16,54.9377768766135,baseline,3,30,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,17,54.94586704298854,baseline,3,30,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,18,54.81096403673291,baseline,3,30,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,19,54.92283101193607,baseline,3,30,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,20,55.1273450255394,baseline,3,30,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,21,54.9568310379982,baseline,3,30,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,22,55.119305150583386,baseline,3,30,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,23,54.88202907145023,baseline,3,30,cuda
