dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,sevennet_baseline,0,104.26897904835641,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,sevennet_baseline,1,104.37632096000016,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,sevennet_baseline,2,104.92135491222143,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,sevennet_baseline,3,104.75625703111291,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,sevennet_baseline,4,104.91805779747665,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,sevennet_baseline,5,104.48031895793974,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,sevennet_baseline,6,104.27549411542714,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,sevennet_baseline,7,104.11600209772587,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,sevennet_baseline,8,104.0324098430574,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,sevennet_baseline,9,103.8788240402937,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,sevennet_baseline,10,104.40776008181274,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,sevennet_baseline,11,104.10207300446928,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,sevennet_baseline,12,104.20028609223664,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,sevennet_baseline,13,104.14005699567497,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,sevennet_baseline,14,104.09305919893086,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,sevennet_baseline,15,104.17522699572146,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,sevennet_baseline,16,103.8699820637703,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,sevennet_baseline,17,103.98261295631528,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,sevennet_baseline,18,103.79349486902356,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,sevennet_baseline,19,103.8017279934138,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,sevennet_baseline,20,104.31819595396519,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,sevennet_baseline,21,104.2442168109119,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,sevennet_baseline,22,103.87767595238984,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,sevennet_baseline,23,104.2133029550314,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,sevennet_baseline,24,104.17953692376614,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,sevennet_baseline,25,104.27778982557356,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,sevennet_baseline,26,103.88545598834753,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,sevennet_baseline,27,104.52429414726794,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,sevennet_baseline,28,104.37345691025257,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,sevennet_baseline,29,103.87029591947794,baseline,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,sevennet_geometry_only,0,105.59784807264805,geometry_only,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,sevennet_geometry_only,1,105.48460111021996,geometry_only,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,sevennet_geometry_only,2,105.32821202650666,geometry_only,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,sevennet_geometry_only,3,105.31419795006514,geometry_only,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,sevennet_geometry_only,4,105.46397580765188,geometry_only,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,sevennet_geometry_only,5,105.20453890785575,geometry_only,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,sevennet_geometry_only,6,105.3821318782866,geometry_only,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,sevennet_geometry_only,7,105.3042949642986,geometry_only,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,sevennet_geometry_only,8,105.1261150278151,geometry_only,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,sevennet_geometry_only,9,105.43381096795201,geometry_only,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,sevennet_geometry_only,10,105.14628700911999,geometry_only,3,30,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,sevennet_geometry_only,11,105.28810089454055,geometry_only,3,30,cuda
